"Segment"	"en-ZZ"	"es-AR"	"ID"	"File"
"2538"	"Medium"	"Medio"	"stimulus2_1_stimulus2_45_517c866cd9fbc7.43288021_0"	"PISA_esp-ARG_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1778"	"Medium"	"Moderada"	"sim_1_simSlopeMed_517c866c229f33.08839423_0"	"PISA_esp-ARG_SCI_S615-Tsunami_en15_MS2022.xlf"
"2531"	"None"	"Nulo"	"stimulus2_1_stimulus2_35_517c866cd9c221.62218651_0"	"PISA_esp-ARG_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2334"	"Medium"	"Medio"	"js_translation_medium_517c866cc0bb10.48262966_0"	"PISA_esp-ARG_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"946"	"&lt;b&gt;DEVELOPMENT AND DISASTER&lt;/b&gt;"	"&lt;b&gt;Urbanización Y Desastre&lt;/b&gt;"	"S514_stimulus2_title2_5c3f629b872e54.36441439_0"	"PISA_esp-ARG_SCI_S514-DevelopmentAndDisaster_en21_MS2022.xlf"
"1927"	"&lt;b&gt;Sound in Marine Habitats&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;El sonido en los hábitats marinos &lt;/b&gt;&lt;br /&gt; Pregunta"	"S626_question2_itemTitle_2_51484257ed0b68.78002511_0"	"PISA_esp-ARG_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"2429"	"increase"	"aumentará"	"question3_1_o3_1_517c866cca6dd3.87035140_0"	"PISA_esp-ARG_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2536"	"None"	"Nulo"	"stimulus2_1_stimulus2_43_517c866cd9f405.42115461_0"	"PISA_esp-ARG_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1700"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt; Leé la introducción. Después hacé clic en la flecha SIGUIENTE.&lt;/i&gt;"	"question0_1_itemDirections00_517c866c1493e8.49871839_0"	"PISA_esp-ARG_SCI_S615-Tsunami_en15_MS2022.xlf"
"1257"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Hacé clic en una opción para responder a la pregunta.&lt;/i&gt;"	"S603_question5_itemDirections5_5138b289dbdd91.86400384_0"	"PISA_esp-ARG_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
