"Segment"	"en-ZZ"	"de-DE"	"ID"	"File"
"2739"	"&lt;b&gt;Carbon Dioxide in Earth's Atmosphere&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt; Kohlendioxid in der Erdatmosphäre&lt;/b&gt;&lt;br /&gt; Frage"	"S645_question5_itemTitle5_5180507a837bb1.50024156_0"	"PISA_deu-DEU_SCI_S645-CarbonDioxideInEarthsAtmosphere_en15_MS2022.xlf"
"2376"	"decrease"	"abnehmen"	"question5_1_o5b_2_51940bae44c087.97376885_0"	"PISA_deu-DEU_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2344"	"increase"	"zunehmen"	"question3_1_o3b_1_51940bae404fe9.18189162_0"	"PISA_deu-DEU_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2374"	"select"	"wähle"	"question5_1_o5b_0_51940bae44bb33.45794359_0"	"PISA_deu-DEU_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2734"	"&lt;b&gt;Carbon Dioxide in Earth's Atmosphere&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt; Kohlendioxid in der Erdatmosphäre&lt;/b&gt;&lt;br /&gt; Frage"	"S645_question4_itemTitle4_5180507a81f077.18602071_0"	"PISA_deu-DEU_SCI_S645-CarbonDioxideInEarthsAtmosphere_en15_MS2022.xlf"
"936"	"lower"	"niedriger"	"S602_question4_S602Q04SELECT32_515e3a71ecff57.11412426_0"	"PISA_deu-DEU_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"1066"	"Elephants and Acacia Trees"	"Elefanten und Akazienbäume"	"S603_stimulus1_title1_515e3a720f0d05.94739019_0"	"PISA_deu-DEU_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"82"	"Fats"	"Fett"	"S326_stimulus2_t2tr2td1_50ec4a46d0c071.49124898_0"	"PISA_deu-DEU_SCI_S326-Milk_en15_MS2022.xlf"
"1619"	"Medium"	"Mittel"	"sim_1_simSlopeMed_5193d35634cca0.37401536_0"	"PISA_deu-DEU_SCI_S615-Tsunami_en15_MS2022.xlf"
"2372"	"decrease"	"abnehmen"	"question5_1_o5_2_51940bae44b5e8.31917190_0"	"PISA_deu-DEU_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2345"	"decrease"	"abnehmen"	"question3_1_o3b_2_51940bae405248.03074236_0"	"PISA_deu-DEU_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"645"	"Bacteria"	"Bakterien"	"S478_question1_question1_3_50ed1db11bc2a0.62010578_0"	"PISA_deu-DEU_SCI_S478-Antibiotics_en15_MS2022.xlf"
"976"	"Rural"	"Ländlich"	"S602_stimulus2_le3_515e3a71f29bc9.05626063_0"	"PISA_deu-DEU_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"1523"	"Medium"	"Mittel"	"js_translation_slopeMedium_5193d356223111.88387023_0"	"PISA_deu-DEU_SCI_S615-Tsunami_en15_MS2022.xlf"
"2585"	"In this simulation, you will be able to see how different types of light bulbs with different power levels function. The light bulb tester will show the amount of light output (measured in lumens) as well as the light bulb's efficiency (measured in lumens per watt)."	"In dieser Simulation kannst du sehen, wie unterschiedliche Lampenarten mit unterschiedlicher Leistung funktionieren. Der Lampentester zeigt die Lichtmenge (gemessen in Lumen) sowie die Effizienz der Lampe (gemessen in Lumen pro Watt)."	"question2_1_Q02P1_51940c1020aec2.48208157_0"	"PISA_deu-DEU_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2112"	"&lt;b&gt;Recovered/Vaccinated:&lt;/b&gt; Individuals in this state either had the disease and then recovered from it or have been vaccinated to prevent the disease. In the simulation, these individuals cannot get the disease."	"&lt;b&gt;Genesen/Geimpft:&lt;/b&gt; Personen in diesem Zustand hatten entweder die Krankheit und wurden wieder gesund oder sie wurden zur Vorbeugung geimpft. In der Simulation können diese Personen die Krankheit nicht bekommen."	"question000_1_t1tr3td2_5193fde59921c3.30526260_0"	"PISA_deu-DEU_SCI_S634-Vaccination_en15_MS2022.xlf"
"1769"	"&lt;i&gt; Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes.&lt;/i&gt;"	"&lt;i&gt; Vergiss nicht, &lt;b&gt;ein oder mehrere &lt;/b&gt; Kästchen auszuwählen.&lt;/i&gt;"	"S625_question3_Reminder_515e3a72606b12.91412290_0"	"PISA_deu-DEU_SCI_S625-WildfiresAndTheFireTriangle_en15_MS2022.xlf"
"242"	"Resistance to UV-radiation"	"Beständigkeit gegenüber UV- Strahlung:"	"S413_question3_q3t1tr5td1_50ec428071b485.35395626_0"	"PISA_deu-DEU_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2450"	"None"	"Keine"	"stimulus2_1_stimulus2_35_51940bae4fb0c7.49763146_0"	"PISA_deu-DEU_SCI_S635-SaveTheFish_en15_MS2022.xlf"
