"Segment"	"en-ZZ"	"ru-KZ"	"ID"	"File"
"2594"	"Ancestral Puebloans"	"Предки пуэбло"	"R550_ancestral_ancestral_l4_56fc785cc8e502.87212348_0"	"PISA_rus-KAZ_REA_R550-CliffPalace_en18_MS2022.xlf"
"2705"	"General Information"	"Общие сведения"	"R550_tours_tours_l2_56fc785cd3a437.22088880_0"	"PISA_rus-KAZ_REA_R550-CliffPalace_en18_MS2022.xlf"
"2658"	"General Information"	"Общие сведения"	"R550_hours_hours_l2_56fc785ccf6d72.95689156_0"	"PISA_rus-KAZ_REA_R550-CliffPalace_en18_MS2022.xlf"
"4551"	"Refer to the different webpages of the website on the right."	"Посмотрите на разные веб-страницы веб-сайта справа."	"R563_question09_q09itemDirections_56fc786b4ba5d3.14167925_0_0"	"PISA_rus-KAZ_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4566"	"Type your answers to the questions."	"Напечатайте Ваши ответы на вопрос."	"R563_question10_q10itemDirections_56fc786b4e31f5.41702157_1_0"	"PISA_rus-KAZ_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"2734"	"Summer"	"Летом"	"R550_question01_question01_4_56fc785cdd69d2.83330291_0"	"PISA_rus-KAZ_REA_R550-CliffPalace_en18_MS2022.xlf"
"4877"	"Newspaper Article"	"Газетная статья"	"R566_Stimulus04_stimulus4_4_56fc786b760df6.67373249_0"	"PISA_rus-KAZ_REA_R566-SkelligRocks_en18_MS2022.xlf"
"2670"	"Hours"	"&lt;b&gt;Часы работы&lt;/b&gt;"	"R550_hours_r0c2_56fc785ccf94b6.67315688_0"	"PISA_rus-KAZ_REA_R550-CliffPalace_en18_MS2022.xlf"
"4853"	"Newspaper Article"	"Газетная статья"	"R566_Stimulus01_stimulus1_4_56fc786b72cd07.38862724_0"	"PISA_rus-KAZ_REA_R566-SkelligRocks_en18_MS2022.xlf"
"958"	"20"	"1000"	"R466_stimulus_q3key_56cee1d1bc5497.05779894_0"	"PISA_rus-KAZ_REA_R466-WorkRight_en18_MS2022.xlf"
"4602"	"Click on the NEXT arrow to read the brochure."	"Кликните мышью по кнопке «ДАЛЕЕ», чтобы прочитать брошюру."	"q00body_q00p3_56fc783b5af5d9.50141633_0"	"PISA_rus-KAZ_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"2549"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Кликните мышью по одному из слов &lt;b&gt;«Да»&lt;/b&gt; или &lt;b&gt;«Нет»&lt;/b&gt; для каждого утверждения."	"R549_question09_q09p1_56fc786ad74676.94123719_1_0"	"PISA_rus-KAZ_REA_R549-MessageInABottle_en18_MS2022.xlf"
"5979"	"How should Charles respond?"	"Что Канату следует ему ответить?"	"R570_question07_q07p2_56fc787980d795.85902410_0"	"PISA_rus-KAZ_REA_R570-TheFavour_en18_MS2022.xlf"
"5312"	"Click on the NEXT arrow to read the webpage."	"Кликните мышью по кнопке «ДАЛЕЕ», чтобы прочитать текст веб-страницы."	"q0a-body_q0a-p3_56fc787919cf45.17795726_0"	"PISA_rus-KAZ_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4500"	"Refer to the different webpages of the website on the right."	"Посмотрите на разные веб-страницы веб-сайта справа."	"R563_question06_q06itemDirections_56fc786b45cd07.83714228_0_0"	"PISA_rus-KAZ_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4565"	"Refer to the different webpages of the website on the right."	"Посмотрите на разные веб-страницы веб-сайта справа."	"R563_question10_q10itemDirections_56fc786b4e31f5.41702157_0_0"	"PISA_rus-KAZ_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4469"	"Refer to the different webpages of the website on the right."	"Посмотрите на разные веб-страницы веб-сайта справа."	"R563_question04_q04itemDirections_56fc786b4263f7.31451763_0_0"	"PISA_rus-KAZ_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"3007"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Кликните мышью по одному из слов &lt;b&gt;«Да»&lt;/b&gt; или &lt;b&gt;«Нет»&lt;/b&gt; для каждого утверждения."	"R552_question04_q04p1_56fd794262d554.82542321_1_0"	"PISA_rus-KAZ_REA_R552-FestiRock_en18_MS2022.xlf"
"4391"	"Date"	"Дата"	"R563-stimulus-communtity_stimulus_culture_sports_10_56fc786b382e91.01452399_0"	"PISA_rus-KAZ_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"3965"	"Click on the NEXT arrow to read the article."	"Кликните мышью по кнопке «ДАЛЕЕ», чтобы прочитать эту статью."	"q00bbody_q00bp2_56fc784a832d02.66358957_0"	"PISA_rus-KAZ_REA_R560-GarbagePatch_en18_MS2022.xlf"
"4878"	"Website"	"Веб-сайт"	"R566_Stimulus04_stimulus4_6_56fc786b7611d9.06257189_0"	"PISA_rus-KAZ_REA_R566-SkelligRocks_en18_MS2022.xlf"
"4449"	"Refer to the different webpages of the website on the right."	"Посмотрите на разные веб-страницы веб-сайта справа."	"R563_question02_q02itemDirections_56fc786b3ef669.06586663_0_0"	"PISA_rus-KAZ_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"2688"	"General Information"	"Общие сведения"	"R550_map_map_l2_56fc785cd17d02.68864643_0"	"PISA_rus-KAZ_REA_R550-CliffPalace_en18_MS2022.xlf"
"4442"	"Refer to the different webpages of the website on the right."	"Посмотрите на разные веб-страницы веб-сайта справа."	"R563_question01_q01itemDirections_56fc786b3d91e6.22628556_0_0"	"PISA_rus-KAZ_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"2646"	"General Information"	"Общие сведения"	"R550_general_info_gi_l2_56fc785ccd9039.75364311_0"	"PISA_rus-KAZ_REA_R550-CliffPalace_en18_MS2022.xlf"
"4876"	"Website"	"Веб-сайт"	"R566_Stimulus03_stimulus3_6_56fc786b74d361.28053469_0"	"PISA_rus-KAZ_REA_R566-SkelligRocks_en18_MS2022.xlf"
"4875"	"Newspaper Article"	"Газетная статья"	"R566_Stimulus03_stimulus3_4_56fc786b74cf78.80226002_0"	"PISA_rus-KAZ_REA_R566-SkelligRocks_en18_MS2022.xlf"
"2035"	"Is the statement true or false?"	"Согласно брошюре, данное утверждение верное или неверное?"	"R545_question03_Q03tr1th1_56fc7821ad8e59.97792072_0"	"PISA_rus-KAZ_REA_R545-MachuPicchu_en18_MS2022.xlf"
"6109"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Затем кликните мышью по кнопке «ДАЛЕЕ».&lt;/i&gt;"	"q00body_q00itemDirections_56fd23111a5057.38756393_1_0"	"PISA_rus-KAZ_REA_R590-Sentences01_en18_MS2022.xlf"
"2735"	"Autumn"	"Осенью"	"R550_question01_question01_5_56fc785cdd6f33.13931411_0"	"PISA_rus-KAZ_REA_R550-CliffPalace_en18_MS2022.xlf"
"4518"	"Refer to the different webpages of the website on the right."	"Посмотрите на разные веб-страницы веб-сайта справа."	"R563_question07_q07itemDirections_56fc786b47b763.06450393_0_0"	"PISA_rus-KAZ_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"1777"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Затем кликните мышью по кнопке «ДАЛЕЕ».&lt;/i&gt;"	"question0a_1_itemDirections00_56fc782164e353.11298372_1_0"	"PISA_rus-KAZ_REA_R544-Tesla_en18_MS2022.xlf"
"3152"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Затем кликните мышью по кнопке «ДАЛЕЕ».&lt;/i&gt;"	"question00b_1_itemDirections0b_56fc784a5b0b61.65001921_1_0"	"PISA_rus-KAZ_REA_R553-HealthForum_en18_MS2022.xlf"
"2707"	"Ancestral Puebloans"	"Предки пуэбло"	"R550_tours_tours_l4_56fc785cd3adf1.25063481_0"	"PISA_rus-KAZ_REA_R550-CliffPalace_en18_MS2022.xlf"
"2596"	"Ancestral Puebloans"	"Предки пуэбло"	"R550_ancestral_ancestral-content-header_56fc785cc8f307.88522279_0"	"PISA_rus-KAZ_REA_R550-CliffPalace_en18_MS2022.xlf"
"5925"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each activity."	"Кликните мышью по одному из слов &lt;b&gt;«Да»&lt;/b&gt; или &lt;b&gt;«Нет»&lt;/b&gt; для каждого из этих дел."	"R570_question04_q04p1_56fc78797ba9b4.63482118_1_0"	"PISA_rus-KAZ_REA_R570-TheFavour_en18_MS2022.xlf"
"4485"	"Refer to the different webpages of the website on the right."	"Посмотрите на разные веб-страницы веб-сайта справа."	"R563_question05_q05itemDirections_56fc786b43f8f6.16712887_0_0"	"PISA_rus-KAZ_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"3544"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Затем кликните мышью по кнопке «ДАЛЕЕ».&lt;/i&gt;"	"question00a_1_itemDirections00_56fc786b06b0d0.94993680_1_0"	"PISA_rus-KAZ_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"2621"	"Ancestral Puebloans"	"Предки пуэбло"	"R550_cliff_palace_cp_l4_56fc785ccaf904.58193490_0"	"PISA_rus-KAZ_REA_R550-CliffPalace_en18_MS2022.xlf"
"4944"	"Click on the NEXT arrow to read the website."	"Кликните мышью по кнопке «ДАЛЕЕ», чтобы прочитать веб-сайт."	"q00b-body_q00b-p2_56fc786b7c7ef2.52502321_0"	"PISA_rus-KAZ_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5580"	"Click on the NEXT arrow to read the webpage."	"Кликните мышью по кнопке «ДАЛЕЕ», чтобы прочитать текст веб-страницы."	"q0a-body_q0a-p2_56fc784ab0c4f8.74675205_0"	"PISA_rus-KAZ_REA_R568-SpaceDebris_en18_MS2022.xlf"
"2619"	"General Information"	"Общие сведения"	"R550_cliff_palace_cp_l2_56fc785ccaeff5.57842989_0"	"PISA_rus-KAZ_REA_R550-CliffPalace_en18_MS2022.xlf"
"2736"	"Winter"	"Зимой"	"R550_question01_question01_6_56fc785cdd7479.34532891_0"	"PISA_rus-KAZ_REA_R550-CliffPalace_en18_MS2022.xlf"
"5876"	"Click on the NEXT arrow to read the story."	"Кликните мышью по кнопке «ДАЛЕЕ», чтобы прочитать сказку."	"q00c-body_q00c-p2_56fc787976c2f9.32730316_0"	"PISA_rus-KAZ_REA_R570-TheFavour_en18_MS2022.xlf"
"2648"	"Ancestral Puebloans"	"Предки пуэбло"	"R550_general_info_gi_l4_56fc785ccd9e25.13125133_0"	"PISA_rus-KAZ_REA_R550-CliffPalace_en18_MS2022.xlf"
"980"	"&lt;b&gt;Important!  Do not forget to attach:&lt;/b&gt;&lt;br /&gt; — A copy of your proof of purchase&lt;br /&gt; — The bar code(s) or price tag(s) of the original products&lt;br /&gt;"	"&lt;b&gt;Важно! Не забудьте приложить:&lt;/b&gt;&lt;br /&gt; &amp;mdash; Копию чеков, подтверждающих Вашу покупку. Копию, чеков, подтверждающих Вашу покупку.&lt;br /&gt; &amp;mdash; Штрих-код(ы) или ценник(и) приобретенных вами товаров.&lt;br /&gt;"	"R466_stimulus_sect3right_56cee1d1bc9d11.68091838_0"	"PISA_rus-KAZ_REA_R466-WorkRight_en18_MS2022.xlf"
"5536"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Кликните мышью по одному из слов &lt;b&gt;«Да»&lt;/b&gt; или &lt;b&gt;«Нет»&lt;/b&gt; для каждого утверждения."	"R568_question07_q07p1_56fc784aab9828.09212164_1_0"	"PISA_rus-KAZ_REA_R568-SpaceDebris_en18_MS2022.xlf"
"3312"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Затем кликните мышью по кнопке «ДАЛЕЕ».&lt;/i&gt;"	"question00_itemDirections00_56fc783ab76215.52042641_1_0"	"PISA_rus-KAZ_REA_R556-Microlending_en18_MS2022.xlf"
"2660"	"Ancestral Puebloans"	"Предки пуэбло"	"R550_hours_hours_l4_56fc785ccf78f4.09670808_0"	"PISA_rus-KAZ_REA_R550-CliffPalace_en18_MS2022.xlf"
"3552"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Затем кликните мышью по кнопке «ДАЛЕЕ».&lt;/i&gt;"	"question00b_1_itemDirections00_56fc786b079021.97854133_1_0"	"PISA_rus-KAZ_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"2250"	"Click on a choice to answer the question.&lt;/i&gt;"	"Выберите ответ и кликните по нему мышью..&lt;/i&gt;"	"R547_question6_itemDirections_56fc782e0d8454.46459147_1_0"	"PISA_rus-KAZ_REA_R547-BookSurvey_en18_MS2022.xlf"
"2592"	"General Information"	"Общие сведения"	"R550_ancestral_ancestral_l2_56fc785cc8da26.81359740_0"	"PISA_rus-KAZ_REA_R550-CliffPalace_en18_MS2022.xlf"
"565"	"his disappointment"	"о своих обманутых надеждах"	"R220_question_question3_3_56cee1d0a14fb8.33318320_0"	"PISA_rus-KAZ_REA_R220-SouthPole_en18_MS2022.xlf"
"3678"	"Tyson Electronics"	"«Казах электроникс»"	"R558_question09_question09_1_56fc786b14f066.72805285_0"	"PISA_rus-KAZ_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"4068"	"Type your answer to the question."	"Выберите ответ, кликните по нему мышью, а затем напечатайте пояснение к Вашему ответу."	"R561_question02_q02itemDirections_56fc785d28cac5.31556981_1_0"	"PISA_rus-KAZ_REA_R561-OlympicFlag_en18_MS2022.xlf"
"4463"	"Refer to the different webpages of the website on the right."	"Посмотрите на разные веб-страницы веб-сайта справа."	"R563_question03_q03itemDirections_56fc786b410592.73244337_0_0"	"PISA_rus-KAZ_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"2266"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Выберите ответы в таблице и кликните по ним мышью. &lt;/i&gt;"	"R547_question7_itemDirections_56fc782e0f7dd6.16533398_1_0"	"PISA_rus-KAZ_REA_R547-BookSurvey_en18_MS2022.xlf"
"3145"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Затем кликните мышью по кнопке «ДАЛЕЕ».&lt;/i&gt;"	"question00a_1_itemDirections0a_56fc784a5a26a5.39697544_1_0"	"PISA_rus-KAZ_REA_R553-HealthForum_en18_MS2022.xlf"
"2690"	"Ancestral Puebloans"	"Предки пуэбло"	"R550_map_map_l4_56fc785cd18831.80713295_0"	"PISA_rus-KAZ_REA_R550-CliffPalace_en18_MS2022.xlf"
"4744"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Затем кликните мышью по кнопке «ДАЛЕЕ».&lt;/i&gt;"	"question00a_1_itemDirections00_56fc785d589cb2.39315232_1_0"	"PISA_rus-KAZ_REA_R565-SittingDisease_en18_MS2022.xlf"
"5709"	"Use drag and drop to answer the question."	"Чтобы ответить на вопрос, перетащите названия мест с помощью мыши."	"q2R569_question_q02itemDirections_56fc78794f33a1.24376468_1_0"	"PISA_rus-KAZ_REA_R569-TheCleanup_en18_MS2022.xlf"
"2733"	"Spring"	"Весной"	"R550_question01_question01_3_56fc785cdd6460.09428460_0"	"PISA_rus-KAZ_REA_R550-CliffPalace_en18_MS2022.xlf"
"4537"	"Refer to the different webpages of the website on the right."	"Посмотрите на разные веб-страницы веб-сайта справа."	"R563_question08_q08itemDirections_56fc786b49ca39.25233524_0_0"	"PISA_rus-KAZ_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"970"	"Town/ City:"	""	"R466_stimulus_line10_56cee1d1bc7962.47942080_0"	"PISA_rus-KAZ_REA_R466-WorkRight_en18_MS2022.xlf"
"4116"	"Use drag and drop to answer the question."	"Чтобы ответить на вопрос, перетащите события с помощью мыши."	"R561_question05_q05itemDirections_56fc785d2dbd00.55276440_1_0"	"PISA_rus-KAZ_REA_R561-OlympicFlag_en18_MS2022.xlf"
"5744"	"Cans"	"Банки из-под напитков"	"q4R569_question_question04_3_56fc787951f3d9.01263757_0"	"PISA_rus-KAZ_REA_R569-TheCleanup_en18_MS2022.xlf"
"1785"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Затем кликните мышью по кнопке «ДАЛЕЕ».&lt;/i&gt;"	"question0b_1_itemDirections00_56fc782165fc64.42851849_1_0"	"PISA_rus-KAZ_REA_R544-Tesla_en18_MS2022.xlf"
