"Segment"	"en-ZZ"	"tr-TR"	"ID"	"File"
"4242"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ &lt;b&gt;Bir ya da daha fazla&lt;/b&gt; kutucuğu seçmeyi unutmayınız."	"q1MA149_question_q1p3_5c9d21652ae817.33454873_0"	"PISA_tur-TUR_MAT_MA149-FloorArea_en21_MS2022.xlf"
"3864"	"269 kJ"	"276 kJ"	"MA144_stimulusb_rr3c2_5c9d2164ccaf11.37166809_0"	"PISA_tur-TUR_MAT_MA144-Yogurt_en21_MS2022.xlf"
"4580"	"D"	"R"	"MA154_stimulus1_img1bLbl2_5c9d2165588dd1.17990179_0"	"PISA_tur-TUR_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4577"	"D"	"R"	"MA154_stimulus1_img1aLbl2_5c9d2165588ab8.21634755_0"	"PISA_tur-TUR_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"891"	"To run this simulation, follow these steps:"	"Hesap makinesini kullanmak için aşağıdaki adımları takip ediniz:"	"q00body_q0p1_5c9d2136e26543.48980409_0"	"PISA_tur-TUR_MAT_MA112-Metabolism_en21_MS2022.xlf"
"2049"	"Once the cells in the calculator have been updated, click on the “Calculate” button again."	"Hesaplama aracındaki hücrelere yeni değerler girdikten sonra, tekrar “Hesapla” butonuna tıklayınız."	"question00_1_q0li6_5c9d21370830a5.25906408_0"	"PISA_tur-TUR_MAT_MA125-PaintingARoom_en21_MS2022.xlf"
"956"	"To run this simulation, follow these steps:"	"Hesap makinesini kullanmak için aşağıdaki adımları takip ediniz:"	"menu_1_aMenu_part1_p1_5c9d2136e90d65.41091853_0"	"PISA_tur-TUR_MAT_MA112-Metabolism_en21_MS2022.xlf"
"4597"	"D"	"R"	"MA154_stimulus3_img2Lbl2_5c9d21655aa2b4.02398709_0"	"PISA_tur-TUR_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"1039"	"84+"	"85+"	"MA113S02_stimulus_tr10td7_5c9d214a666350.37673801_0"	"PISA_tur-TUR_MAT_MA113-HeartRate_en21_MS2022.xlf"
"1558"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"&lt;b&gt;✓ Bir veya daha fazla &lt;/b&gt; kutucuğu seçmeyi unutmayınız."	"MA120_question3_Q03p3_5c9d214ae4afb4.01507702_0"	"PISA_tur-TUR_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"4590"	"D"	"R"	"MA154_stimulus2_img2Lbl2_5c9d2165598ae0.74047303_0"	"PISA_tur-TUR_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"5423"	"This is what happens when you select Column D and click the “Run” button."	"D Sütununu seçtiğinizde ve &quot;Çalıştır&quot; butonuna tıkladığınızda sağdaki işlem gerçekleşir."	"js_translation_steperror3_5c9d2137d73449.84859205_0_0"	"PISA_tur-TUR_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"3488"	"Click on one or more boxes to answer the question."	"Soruyu cevaplamak için iki kutucuğa tıklayınız."	"q3CMA137_question_q3itemDirections_5c9d2164739181.43159279_1_0"	"PISA_tur-TUR_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"1545"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"&lt;b&gt;✓ Bir veya daha fazla &lt;/b&gt; kutucuğu seçmeyi unutmayınız."	"MA120_question2_Q02p3_5c9d214ae38a80.91484290_0"	"PISA_tur-TUR_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"5075"	"Statement"	"Soru"	"q1MA161_question_q1tr1th1_5c9d2137a0deb4.05869160_0"	"PISA_tur-TUR_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"1132"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each of the statements in the table below."	"Aşağıdaki tabloda ifadelerin her biri için &lt;b&gt; Doğru &lt;/b&gt; ya da &lt;b&gt; Yanlış&lt;/b&gt; seçeneklerinden birine tıklayınız."	"Q02MA113_question_Q02P2_5c9d214a6c3ca7.40682286_0"	"PISA_tur-TUR_MAT_MA113-HeartRate_en21_MS2022.xlf"
