"Segment"	"en-ZZ"	"ru-BY"	"ID"	"File"
"2109"	"In the simulation, an individual in the population will be in one of the following three states at all times."	"В данной симуляции каждый отдельный представитель данной популяции будет находится все время в одном из трех следующих состояний."	"question000_1_q000P2_5193fde5990fa4.58817131_0"	"PISA_rus-BLR_SCI_S634-Vaccination_en15_MS2022.xlf"
"271"	"Medium"	"средняя"	"S413_question3_q3t4tr2td2_50f47903ba0d04.87114179_0"	"PISA_rus-BLR_SCI_S413-PlasticAge_en15_MS2022.xlf"
"1447"	"Species A"	"Вид A"	"S608_stimulus2_le21_515e3a72353145.75321740_0"	"PISA_rus-BLR_SCI_S608-Ammonoids_en15_MS2022.xlf"
"2375"	"increase"	"увеличивается"	"question5_1_o5b_1_51940bae44bde1.09195708_0"	"PISA_rus-BLR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2525"	"Can this question be answered by scientific experiments?"	"Могут ли научные эксперименты дать ответ на этот вопрос?"	"S638_question4_Q4_tr1th1_51804fe1883fb9.47923889_0"	"PISA_rus-BLR_SCI_S638-OilSpills_en15_MS2022.xlf"
"2376"	"decrease"	"уменьшается"	"question5_1_o5b_2_51940bae44c087.97376885_0"	"PISA_rus-BLR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2370"	"select"	"Выберите"	"question5_1_o5_0_51940bae44b0b3.00306533_0"	"PISA_rus-BLR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1357"	"Birds leave nests"	"Птицы покидают гнёзда"	"S607_stimulus1_sl14_517407135d1832.09141585_0"	"PISA_rus-BLR_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"2455"	"None"	"Нулевая"	"stimulus2_1_stimulus2_43_51940bae4fc8e8.55900256_0"	"PISA_rus-BLR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"645"	"Bacteria"	"На бактерии"	"S478_question1_question1_3_50f479f6a332b1.72509740_0"	"PISA_rus-BLR_SCI_S478-Antibiotics_en15_MS2022.xlf"
"1963"	"tyre"	"шина"	"S627_question2_attr_alt_attr_question2_3_51740713b2a651.32045175_0"	"PISA_rus-BLR_SCI_S627-CarTyres_en15_MS2022.xlf"
"2945"	"Uranus"	"Уран"	"S648_stimulus1_le4_517407af7dbca8.58872486_0"	"PISA_rus-BLR_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2683"	"Good!&lt;br /&gt; Please click on the NEXT arrow to continue."	"Отлично!&lt;br /&gt; Пожалуйста, нажмите на стрелку ДАЛЬШЕ, чтобы продолжить."	"sim_1_dialogMsgText2_51940c102b9894.02724093_0"	"PISA_rus-BLR_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2339"	"select"	"Выберите"	"question3_1_o3_0_51940bae4043d8.73867895_0"	"PISA_rus-BLR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1523"	"Medium"	"Средний"	"js_translation_slopeMedium_5193d356223111.88387023_0"	"PISA_rus-BLR_SCI_S615-Tsunami_en15_MS2022.xlf"
"1347"	"Birds leave nests"	"Птицы покидают гнёзда"	"S607_stimulus1_sl04_517407135cdb41.55545007_0"	"PISA_rus-BLR_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"2942"	"Venus"	"Венера"	"S648_stimulus1_le1_517407af7daf63.70073035_0"	"PISA_rus-BLR_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2623"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on a choice and then select data in the table to answer the question.&lt;/i&gt;"	"&lt;i&gt;Выполните симуляцию для получения данных на основании приведённой ниже информации. Для ответа на вопрос отметьте нужный вариант ответа, а затем выберите данные в таблице&lt;/i&gt;"	"question5_1_itemDirections05_51940c10264da7.01923279_0"	"PISA_rus-BLR_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2450"	"None"	"Нулевая"	"stimulus2_1_stimulus2_35_51940bae4fb0c7.49763146_0"	"PISA_rus-BLR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"106"	"&lt;b&gt;Wild Oat Grass&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Дикий овёс&lt;/b&gt;&lt;br /&gt; вопрос"	"S408_question2_itemTitle_2_50f478cfd8d701.44325730_0"	"PISA_rus-BLR_SCI_S408-WildOatGrass_en15_MS2022.xlf"
"128"	"&lt;b&gt;Wild Oat Grass&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Дикий овёс&lt;/b&gt;&lt;br /&gt; вопрос"	"S408_question4_itemTitle_4_50f478cfde3666.87261607_0"	"PISA_rus-BLR_SCI_S408-WildOatGrass_en15_MS2022.xlf"
"2777"	"To select a row of data to answer a question, click anywhere on that row. The row(s) you select will be marked with a star."	"Чтобы выбрать строку с данными для ответа на вопрос, нажмите в любом месте этой строки. Выбранная вами строка (строки) будет помечена звездочкой."	"menu_1_menuP5_51940c10332141.68408868_0"	"PISA_rus-BLR_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"111"	"&lt;b&gt;Wild Oat Grass&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Дикий овёс&lt;/b&gt;&lt;br /&gt; вопрос"	"S408_question3_itemTitle_3_50f478cfdb29d5.45602024_0"	"PISA_rus-BLR_SCI_S408-WildOatGrass_en15_MS2022.xlf"
"2243"	"None"	"Нулевая"	"js_translation_none_51940bae34a2a5.02729819_0"	"PISA_rus-BLR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1962"	"tyre"	"шина"	"S627_question2_attr_alt_attr_question2_2_51740713b2a471.20508599_0"	"PISA_rus-BLR_SCI_S627-CarTyres_en15_MS2022.xlf"
"2944"	"Mars"	"Марс"	"S648_stimulus1_le3_517407af7db842.87617149_0"	"PISA_rus-BLR_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2371"	"increase"	"увеличивается"	"question5_1_o5_1_51940bae44b359.11003691_0"	"PISA_rus-BLR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2372"	"decrease"	"уменьшается"	"question5_1_o5_2_51940bae44b5e8.31917190_0"	"PISA_rus-BLR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1619"	"Medium"	"Средний"	"sim_1_simSlopeMed_5193d35634cca0.37401536_0"	"PISA_rus-BLR_SCI_S615-Tsunami_en15_MS2022.xlf"
"2344"	"increase"	"увеличится"	"question3_1_o3b_1_51940bae404fe9.18189162_0"	"PISA_rus-BLR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2862"	"Good!&lt;br /&gt; Please click on the NEXT arrow to continue."	"Отлично!&lt;br /&gt; Пожалуйста, нажмите на стрелку ДАЛЬШЕ, чтобы продолжить."	"sim_1_sim_3_51940c104145d8.73020862_0"	"PISA_rus-BLR_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2343"	"select"	"Выберите"	"question3_1_o3b_0_51940bae404d70.24748279_0"	"PISA_rus-BLR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2374"	"select"	"Выберите"	"question5_1_o5b_0_51940bae44bb33.45794359_0"	"PISA_rus-BLR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2340"	"increase"	"увеличится"	"question3_1_o3_1_51940bae404654.16466940_0"	"PISA_rus-BLR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2943"	"Earth"	"Земля"	"S648_stimulus1_le2_517407af7db406.82055732_0"	"PISA_rus-BLR_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2659"	"Compact CFL"	"Компактная люминес-&lt;br /&gt;центная лампа"	"sim_1_q02sim3_51940c102b1c94.13513006_0"	"PISA_rus-BLR_SCI_S643-LightBulbs_en15_MS2022.xlf"
"1541"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;Прочитайте ведение. Затем нажмите на стрелку ДАЛЬШЕ.&lt;/i&gt;"	"question0_1_itemDirections00_5193d3562518e5.63977402_0"	"PISA_rus-BLR_SCI_S615-Tsunami_en15_MS2022.xlf"
"2461"	"Good!&lt;br /&gt; Please click on the NEXT arrow to continue."	"Отлично!&lt;br /&gt; Пожалуйста, нажмите на стрелку ДАЛЬШЕ, чтобы продолжить."	"stimulus2_1_stimulus2_49_51940bae4fe598.93213774_0"	"PISA_rus-BLR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
