"Segment"	"en-ZZ"	"th-TH"	"ID"	"File"
"442"	"Click on a choice to answer the question."	"&lt;br /&gt;แล้วคลิกหนึ่งตัวเลือกเพื่อตอบคำถาม"	"M105_question5_itemDirections5_5c9d2136771724.04274916_2_0"	"PISA_tha-THA_MAT_MA105-CleanEnergy_en21_MS2022.xlf"
"3223"	"&lt;b&gt; Owns a Car &lt;/b&gt;"	"&lt;b&gt; เป็นเจ้าของ&lt;br /&gt;รถยนต์ &lt;/b&gt;"	"Q2MA134_question_question02_4_5c9d216433c0d3.87989580_0"	"PISA_tha-THA_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"2738"	"Slept 8 hours or less"	"นอนหลับ&lt;br /&gt;น้อยกว่าหรือเท่ากับ 8 ชั่วโมง"	"MA130_question02_Q02tr1th2_5c9d214b8c2e46.45049939_0"	"PISA_tha-THA_MAT_MA130-SleepNReactionTime_en21_MS2022.xlf"
"593"	"Click on a choice to answer the question."	"แล้วคลิกหนึ่งตัวเลือกเพื่อตอบ&lt;br /&gt;คำถาม"	"MA108q02_question_q02itemDirections_5c9d2136c1f750.90859666_2_0"	"PISA_tha-THA_MAT_MA108-Fountains_en21_MS2022.xlf"
"2342"	"Click on a choice and then type an explanation to answer the question."	"ให้คลิกหนึ่งตัวเลือก&lt;br /&gt; แล้วพิมพ์คำอธิบายเพื่อตอบคำถาม"	"Q2MA122_question_Q2ItmDirP1Id_5c9d214b6c1d02.17010694_1_0"	"PISA_tha-THA_MAT_MA127-PredictingHeight_en21_MS2022.xlf"
"4766"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"จงคลิกเลือก &lt;b&gt;จริง&lt;/b&gt; หรือ &lt;b&gt;เท็จ&lt;/b&gt; ในแต่ละข้อความ"	"q2MA158_question_q2p2_5c9d21657cb501.68112298_0"	"PISA_tha-THA_MAT_MA158-EyeColour_en21_MS2022.xlf"
"960"	"To edit the value in a cell, click anywhere in the cell, delete it, then type in a new value."	"หากต้องการแก้ไขค่าที่อยู่ในช่อง ให้คลิกตำแหน่งใดก็ได้ในช่องนั้น แล้วลบค่านั้นออก จากนั้นให้พิมพ์ค่าใหม่ลงไป&lt;br /&gt;"	"menu_1_aMenu_part1_li2_5c9d2136e912a9.52248706_0_0"	"PISA_tha-THA_MAT_MA112-Metabolism_en21_MS2022.xlf"
"1039"	"84+"	"85 ขึ้นไป"	"MA113S02_stimulus_tr10td7_5c9d214a666350.37673801_0"	"PISA_tha-THA_MAT_MA113-HeartRate_en21_MS2022.xlf"
"2329"	"Using the number keys, type your answers to the question."	"ให้ใช้แป้นตัวเลข&lt;br /&gt; พิมพ์คำตอบของนักเรียนเพื่อตอบคำถาม"	"Q1MA122_question_Q1ItmDirP1Id_5c9d214b6b01e6.44403601_1_0"	"PISA_tha-THA_MAT_MA127-PredictingHeight_en21_MS2022.xlf"
"5147"	"Select from the drop-down menus to answer the question."	"แล้วเลือกจากรายการตามที่แสดงเพื่อตอบคำถาม"	"q3MA160_question_q3itemDirections_5c9d2137a54ef3.72087436_2_0"	"PISA_tha-THA_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"1878"	"Use drag and drop to answer the question."	"ให้ใช้การลากและวาง&lt;br /&gt;เพื่อตอบคำถาม"	"MA128_question1_q1itemDirections_5c9d214b319101.94990115_1_0"	"PISA_tha-THA_MAT_MA123-SolarSystem_en21_MS2022.xlf"
"1482"	"Using the number keys, type your answer to the question."	"ให้ใช้&lt;br /&gt;แป้นตัวเลข พิมพ์คำตอบของนักเรียนเพื่อตอบคำถาม"	"MA119_question3_itemDirections3_5c9d214ad81398.66377695_1_0"	"PISA_tha-THA_MAT_MA119-MusicSurvey_en21_MS2022.xlf"
