"Segment"	"en-ZZ"	"th-TH"	"ID"	"File"
"528"	"Jul"	"กค"	"R220_stimulus_jul_50d374879a7323.48365472_0"	"PISA_tha-THA_REA_R220-SouthPole_en15_MS2022.xlf"
"2098"	"Click on the choices in the table to answer the question."	"&lt;br/&gt;ให้คลิกตัวเลือกในตารางเพื่อตอบคำถาม"	"R545_question03_Q03itemDirections_56fc7821ad84c2.36903751_1_0"	"PISA_tha-THA_REA_R545-MachuPicchu_en18_MS2022.xlf"
"3993"	"Refer to “The Great Pacific Garbage Patch” on the right."	"จากเรื่อง&amp;nbsp; “แพขยะขนาดใหญ่แห่งแปซิฟิก”&amp;nbsp; ทางด้านขวา&amp;nbsp;"	"R560_question06_q06itemDirections_56fc784a7f68d8.83936530_0_0"	"PISA_tha-THA_REA_R560-GarbagePatch_en18_MS2022.xlf"
"1854"	"Click on the NEXT arrow to read the second source."	"ให้คลิกที่ลูกศร&lt;b&gt;ถัดไป&lt;/b&gt;เพื่ออ่านแหล่งข้อมูลที่สอง"	"question0b_1_q00p2_56fc7821660387.38299255_0"	"PISA_tha-THA_REA_R544-Tesla_en18_MS2022.xlf"
"4584"	"Refer to the different webpages of the website on the right."	"จากแต่ละเว็บเพจของเว็บไซต์ทางด้านขวา"	"R563_question07_q07itemDirections_56fc786b47b763.06450393_0_0"	"PISA_tha-THA_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4888"	"Click on a choice to answer the question.&lt;/i&gt;"	"ให้คลิกหนึ่งตัวเลือกเพื่อตอบคำถาม&lt;/i&gt;"	"R565_question7_itemDirections_56fc785d61d9f9.86494574_1_0"	"PISA_tha-THA_REA_R565-SittingDisease_en18_MS2022.xlf"
"4632"	"Type your answers to the questions."	"ให้พิมพ์คำตอบ&lt;br /&gt;ของนักเรียนเพื่อตอบคำถาม"	"R563_question10_q10itemDirections_56fc786b4e31f5.41702157_1_0"	"PISA_tha-THA_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"6171"	"Click &lt;b&gt;YES&lt;/b&gt; if the sentence makes sense."	"คลิกที่ &lt;b&gt;ใช่&lt;/b&gt; ถ้าประโยคนั้นสมเหตุสมผล"	"q3R590_question_q3p1_56fd23111960a4.54446684_1_0"	"PISA_tha-THA_REA_R590-Sentences01_en18_MS2022.xlf"
"205"	"£15"	"450 บาท"	"R102_stimulus_tr22td3_50d367074f4c69.09592769_0"	"PISA_tha-THA_REA_R102-Shirts_en15_MS2022.xlf"
"5656"	"Click on a choice and type an explanation to answer the question."	"ให้คลิกหนึ่งตัวเลือก แล้วพิมพ์คำอธิบายเพื่อตอบคำถาม"	"R568_question10_q10itemDirections_56fc784ab36f21.34700073_1_0"	"PISA_tha-THA_REA_R568-SpaceDebris_en18_MS2022.xlf"
"525"	"Apr"	"มย"	"R220_stimulus_apr_50d374879a6953.93691157_0"	"PISA_tha-THA_REA_R220-SouthPole_en15_MS2022.xlf"
"4818"	"Click on a choice to answer the question.&lt;/i&gt;"	"ให้คลิกหนึ่งตัวเลือกเพื่อตอบคำถาม&lt;/i&gt;"	"R565_question01_itemDirections_56fc785d59a4c9.01449593_1_0"	"PISA_tha-THA_REA_R565-SittingDisease_en18_MS2022.xlf"
"1041"	"WORK RIGHT"	"&lt;span class=&quot;black&quot;&gt;ครบ 10 ปี&lt;/span&gt; ออฟฟิศโปร"	"R466_stimulus_stimulus2_1_50d37b37d621d7.62671892_0"	"PISA_tha-THA_REA_R466-WorkRight_en15_MS2022.xlf"
"1914"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;จากทั้งสองแหล่งข้อมูลทางด้านขวา&amp;nbsp; สามารถเลือกอ่านโดยการคลิกที่แต่ละแท็บ"	"R544_question13_itemDirections_56fc7821777325.89058352_0_0"	"PISA_tha-THA_REA_R544-Tesla_en18_MS2022.xlf"
"5467"	"Image Credit: NASA"	"&lt;br /&gt;เครติดภาพ:  NASA"	"page2_stimulus_stimulusTab1_3_56fc784aa14495.49572288_1_0"	"PISA_tha-THA_REA_R568-SpaceDebris_en18_MS2022.xlf"
"1941"	"Click on a choice to answer the question.&lt;/i&gt;"	"ให้คลิกหนึ่งตัวเลือกเพื่อตอบคำถาม&lt;/i&gt;"	"R544_question_itemDirections_56fc7821795366.48145010_1_0"	"PISA_tha-THA_REA_R544-Tesla_en18_MS2022.xlf"
"4585"	"Click on one or more boxes to answer the question."	"ให้คลิกที่กรอบสี่เหลี่ยมหนึ่งกรอบหรือมากกว่าหนึ่งกรอบเพื่อตอบคำถาม"	"R563_question07_q07itemDirections_56fc786b47b763.06450393_1_0"	"PISA_tha-THA_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4007"	"Refer to “The Great Pacific Garbage Patch” on the right."	"จากเรื่อง&amp;nbsp; “แพขยะขนาดใหญ่แห่งแปซิฟิก”&amp;nbsp; ทางด้านขวา&amp;nbsp;"	"R560_question07_q07itemDirections_56fc784a80bb23.32450086_0_0"	"PISA_tha-THA_REA_R560-GarbagePatch_en18_MS2022.xlf"
