"Segment"	"en-ZZ"	"mk-MK"	"ID"	"File"
"4374"	"Refer to the different webpages of the website on the right."	"Погледнете ги различните веб-страници на веб-сајтот десно."	"R563_question06_q06itemDirections_5c9d225ab08fb8.61774619_0_0"	"PISA_mkd-MKD_REA_R563-QuestionOfTheWeek_en21_MS2022.xlf"
"3990"	"Read the information below."	"Прочитај ги информациите подолу."	"q00b-body_q00b-p1_5c9d225a4fc501.93826266_0_0"	"PISA_mkd-MKD_REA_R561-OlympicFlag_en21_MS2022.xlf"
"3316"	"Click on a choice to answer the question.&lt;/i&gt;"	"Кликни на избор за да одговориш на прашањето&lt;/i&gt;"	"R553_question4_q04itemDirections_5c9d219fde8d53.78783329_1_0"	"PISA_mkd-MKD_REA_R553-HealthForum_en21_MS2022.xlf"
"3458"	"Click on a choice to answer the question.&lt;/i&gt;"	"Кликни на избор за да одговориш на прашањето&lt;/i&gt;"	"R556_question3_itemDirections_5c9d21a0235112.70152956_2_0"	"PISA_mkd-MKD_REA_R556-Microlending_en21_MS2022.xlf"
"2212"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"Кликни на избор и потоа напиши објаснување за да одговориш на прашањето.&lt;/i&gt;"	"R544_question12_itemDirections_5c9d219eaecf11.08950368_1_0"	"PISA_mkd-MKD_REA_R544-Tesla_en21_MS2022.xlf"
"4895"	"on the right."	"десно&quot;."	"R567_question03_q03itemDirections_5c9d225b5d0026.69007205_1_0"	"PISA_mkd-MKD_REA_R567-SmokeJumpers_en21_MS2022.xlf"
"4570"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Потоа притисни на стрелката СЛЕДНО.&lt;/i&gt;"	"question00a_1_itemDirections00_5c9d225af0b1a4.44659479_1_0"	"PISA_mkd-MKD_REA_R565-SittingDisease_en21_MS2022.xlf"
"2527"	"Click on a choice to answer the question.&lt;/i&gt;"	"Кликни на избор за да одговориш на прашањето&lt;/i&gt;"	"R547_question6_itemDirections_5c9d219f1d98c8.80414353_1_0"	"PISA_mkd-MKD_REA_R547-BookSurvey_en21_MS2022.xlf"
"3511"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Кликни на изборите во табелата за да одговориш на прашањето&lt;/i&gt;."	"R556_question10_itemDirections_5c9d21a02dd603.46615228_1_0"	"PISA_mkd-MKD_REA_R556-Microlending_en21_MS2022.xlf"
"4995"	"Click on a choice to answer the question."	"Кликни за да одговориш на прашањето."	"R568_question10_q10itemDirections_5c9d225b6c40d0.03274707_1_0"	"PISA_mkd-MKD_REA_R567-SmokeJumpers_en21_MS2022.xlf"
"3710"	"Click on the NEXT arrow to read the article."	"Кликни на стрелката СЛЕДНО и прочитај го написот."	"q00body_q00p2_5c9d225a083717.02980991_0"	"PISA_mkd-MKD_REA_R559-NaliniNadkarni_en21_MS2022.xlf"
"3727"	"Click on a choice to answer the question."	"Кликни за да одговориш на прашањето."	"R559_question02_q02itemDirections_5c9d225a0a89e5.45985887_1_0"	"PISA_mkd-MKD_REA_R559-NaliniNadkarni_en21_MS2022.xlf"
"2493"	"Click on a choice to answer the question.&lt;/i&gt;"	"Кликни на избор за да одговориш на прашањето&lt;/i&gt;"	"R547_question01_itemDirections_5c9d219f166ae3.43581469_1_0"	"PISA_mkd-MKD_REA_R547-BookSurvey_en21_MS2022.xlf"
"3738"	"Click on a choice to answer the question."	"Кликни за да одговориш на прашањето."	"R559_question03_q03itemDirections_5c9d225a0bca08.34875790_1_0"	"PISA_mkd-MKD_REA_R559-NaliniNadkarni_en21_MS2022.xlf"
"5345"	"Click on a choice to answer the question."	"Кликни за да одговориш на прашањето."	"q3R569_question_q03itemDirections_5c9d225bc19df3.83780861_1_0"	"PISA_mkd-MKD_REA_R569-TheCleanup_en21_MS2022.xlf"
"4905"	"Click on a choice to answer the question."	"Кликни за да одговориш на прашањето."	"R567_question04_q04itemDirections_5c9d225b5e6145.15954865_2_0"	"PISA_mkd-MKD_REA_R567-SmokeJumpers_en21_MS2022.xlf"
"4152"	"Click on a choice to answer the question."	"Кликни за да одговориш на прашањето."	"R562_question05_q05itemDirections_5c9d225a8a72c7.90956094_1_0"	"PISA_mkd-MKD_REA_R562-OpeningNight_en21_MS2022.xlf"
"1947"	"Monday"	"Понеделник"	"Q09R542_question_Q09r2c1_5c9d219e5fac90.76388633_0"	"PISA_mkd-MKD_REA_R542-BulletinBoard_en21_MS2022.xlf"
"5628"	"Read the information below."	"Прочитај ги информациите подолу."	"q0cR590_question_q0citemDirections_5c9d225c188e29.39374988_0_0"	"PISA_mkd-MKD_REA_R590-Sentences01_en21_MS2022.xlf"
"5356"	"Click on a choice to answer the question."	"Кликни за да одговориш на прашањето."	"q4R569_question_q04itemDirections_5c9d225bc32b91.09930143_1_0"	"PISA_mkd-MKD_REA_R569-TheCleanup_en21_MS2022.xlf"
"4350"	"Click on a choice to answer the question."	"Кликни за да одговориш на прашањето."	"R563_question04_q04itemDirections_5c9d225aacdf88.57641426_1_0"	"PISA_mkd-MKD_REA_R563-QuestionOfTheWeek_en21_MS2022.xlf"
"4793"	"Click on a choice to answer the question."	"Кликни за да одговориш на прашањето."	"R566_question06_q06itemDirections_5c9d225b2fd044.38681925_1_0"	"PISA_mkd-MKD_REA_R566-SkelligRocks_en21_MS2022.xlf"
"3591"	"&lt;i&gt;Read the Introduction."	"&lt;i&gt;Прочитај го воведот."	"question00a_1_itemDirections00_5c9d2259cfa214.87345836_0_0"	"PISA_mkd-MKD_REA_R558-MicrowaveOvens_en21_MS2022.xlf"
"3443"	"Click on a choice to answer the question.&lt;/i&gt;"	"Кликни на избор за да одговориш на прашањето&lt;/i&gt;"	"R556_question1_itemDirections_5c9d21a0206c18.88355179_2_0"	"PISA_mkd-MKD_REA_R556-Microlending_en21_MS2022.xlf"
"2274"	"Click on a choice to answer the question.&lt;/i&gt;"	"Кликни на избор за да одговориш на прашањето&lt;/i&gt;"	"R544_question9_itemDirections_5c9d219eb9e0e2.04420842_1_0"	"PISA_mkd-MKD_REA_R544-Tesla_en21_MS2022.xlf"
"1950"	"Thursday"	"Четрвток"	"Q09R542_question_Q09r5c1_5c9d219e5fb422.78194686_0"	"PISA_mkd-MKD_REA_R542-BulletinBoard_en21_MS2022.xlf"
"4780"	"Click on a choice to answer the question."	"Кликни за да одговориш на прашањето."	"R566_question05_q05itemDirections_5c9d225b2e4c18.97287601_1_0"	"PISA_mkd-MKD_REA_R566-SkelligRocks_en21_MS2022.xlf"
"5297"	"Read the information below."	"Прочитај ги информациите подолу."	"q00b-body_q00b-itemDirections_5c9d225bbd1911.77188529_0_0"	"PISA_mkd-MKD_REA_R569-TheCleanup_en21_MS2022.xlf"
"2744"	"Click on the choices in the table to answer the question."	"Кликни на опциите во табелата за да одговориш на прашањето."	"R549_question08_q08itemDirections_5c9d219f5152d7.03553824_1_0"	"PISA_mkd-MKD_REA_R549-MessageInABottle_en21_MS2022.xlf"
"1949"	"Wednesday"	"Среда"	"Q09R542_question_Q09r4c1_5c9d219e5fb1e5.97648079_0"	"PISA_mkd-MKD_REA_R542-BulletinBoard_en21_MS2022.xlf"
"4022"	"Click on the choices in the table to answer the question."	"Кликни на изборите во табелата за да одговориш на прашањето."	"R561_question04_q04itemDirections_5c9d225a584ac1.71572491_1_0"	"PISA_mkd-MKD_REA_R561-OlympicFlag_en21_MS2022.xlf"
"3846"	"Click on a choice to answer the question."	"Кликни за да одговориш на прашањето."	"R560_question04_q04itemDirections_5c9d225a2b2482.58661381_1_0"	"PISA_mkd-MKD_REA_R560-GarbagePatch_en21_MS2022.xlf"
"1742"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Кликни на  &lt;b&gt; Точно &lt;/b&gt; или &lt;b&gt; Неточно &lt;/b&gt; за секоја изјава."	"Q07_question_Q07p2_5c9d219e3bd593.06084435_1_0"	"PISA_mkd-MKD_REA_R541-Plastic_en21_MS2022.xlf"
"2240"	"Click on a choice to answer the question.&lt;/i&gt;"	"Кликни на избор за да одговориш на прашањето&lt;/i&gt;"	"R544_question_itemDirections_5c9d219eb20160.68433201_1_0"	"PISA_mkd-MKD_REA_R544-Tesla_en21_MS2022.xlf"
"4728"	"Click on the NEXT arrow to read the article."	"Кликни на стрелката СЛЕДНО и прочитај го написот."	"q00a-body_q00a-p2_5c9d225b241d39.66934073_0"	"PISA_mkd-MKD_REA_R566-SkelligRocks_en21_MS2022.xlf"
"3642"	"Click on a search result to answer the question.&lt;/i&gt;"	"Кликни на резултатот од пребарувањето за да одговориш на прашањето.&lt;/i&gt;"	"R558_question7_itemDirections_5c9d2259de3d30.86993518_1_0"	"PISA_mkd-MKD_REA_R558-MicrowaveOvens_en21_MS2022.xlf"
"2337"	"Click on the choices in the table to answer the question."	"Кликни на опциите во табелата за да одговориш на прашањето."	"R545_question03_Q03itemDirections_5c9d219edb2657.97091233_1_0"	"PISA_mkd-MKD_REA_R545-MachuPicchu_en21_MS2022.xlf"
"2076"	"Click on a choice to answer the question.&lt;/i&gt;"	"Кликни на избор за да одговориш на прашањето&lt;/i&gt;"	"R543_question5_itemDirections_5c9d219e828549.10101766_1_0"	"PISA_mkd-MKD_REA_R543-Nobel_en21_MS2022.xlf"
"2201"	"Click on a choice to answer the question.&lt;/i&gt;"	"Кликни на избор за да одговориш на прашањето&lt;/i&gt;"	"R544_question11_itemDirections_5c9d219ead6f93.72484522_1_0"	"PISA_mkd-MKD_REA_R544-Tesla_en21_MS2022.xlf"
"5531"	"Click on a choice to answer the question."	"Кликни за да одговориш на прашањето."	"R570_question08_q08itemDirections_5c9d225bf00637.46983770_1_0"	"PISA_mkd-MKD_REA_R570-TheFavour_en21_MS2022.xlf"
"3868"	"Click on a choice to answer the question."	"Кликни за да одговориш на прашањето."	"R560_question07_q07itemDirections_5c9d225a2f6d99.11968305_1_0"	"PISA_mkd-MKD_REA_R560-GarbagePatch_en21_MS2022.xlf"
"1417"	"WORK RIGHT"	"Тип-топ Офис"	"R466_stimulus_stimulus2_1_5c3f627ecd2a93.18826411_0"	"PISA_mkd-MKD_REA_R466-WorkRight_en21_MS2022.xlf"
"4737"	"Read the information below."	"Прочитај ги информациите подолу."	"q00c-body_q00c-itemDirections_5c9d225b268d16.70648842_0_0"	"PISA_mkd-MKD_REA_R566-SkelligRocks_en21_MS2022.xlf"
"5053"	"Image Credit: NASA"	"Фотографија: НАСА"	"page2_stimulus_stimulusTab1_2_5c9d225b8c6386.71216999_1_0"	"PISA_mkd-MKD_REA_R568-SpaceDebris_en21_MS2022.xlf"
"2223"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Кликни на изборите во табелата за да одговориш на прашањето&lt;/i&gt;."	"R544_question13_itemDirections_5c9d219eb05504.42221208_1_0"	"PISA_mkd-MKD_REA_R544-Tesla_en21_MS2022.xlf"
"5128"	"Click on a choice to answer the question."	"Кликни за да одговориш на прашањето."	"R568_question03_q03itemDirections_5c9d225b919bb2.38251586_1_0"	"PISA_mkd-MKD_REA_R568-SpaceDebris_en21_MS2022.xlf"
"1431"	"."	"денари."	"R466_stimulus_line5_5c3f627ecd3733.64607319_0_0"	"PISA_mkd-MKD_REA_R466-WorkRight_en21_MS2022.xlf"
"3469"	"Click on a choice to answer the question.&lt;/i&gt;"	"Кликни на избор за да одговориш на прашањето&lt;/i&gt;"	"R556_question4_itemDirections_5c9d21a024b0e0.57299231_1_0"	"PISA_mkd-MKD_REA_R556-Microlending_en21_MS2022.xlf"
"4590"	"Type your answer to the question.&lt;/i&gt;"	"Напиши го твојот одговорот на прашањето.&lt;/i&gt;"	"R565_question2_itemDirections_5c9d225af32f63.48100809_1_0"	"PISA_mkd-MKD_REA_R565-SittingDisease_en21_MS2022.xlf"
"3592"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Потоа притисни на стрелката СЛЕДНО.&lt;/i&gt;"	"question00a_1_itemDirections00_5c9d2259cfa214.87345836_1_0"	"PISA_mkd-MKD_REA_R558-MicrowaveOvens_en21_MS2022.xlf"
"1430"	"20"	"2.000"	"R466_stimulus_q3key_5c3f627ecd3606.93689252_0"	"PISA_mkd-MKD_REA_R466-WorkRight_en21_MS2022.xlf"
"5508"	"Click on a choice to answer the question."	"Кликни за да одговориш на прашањето."	"R570_question05_q05itemDirections_5c9d225beb6572.44466392_1_0"	"PISA_mkd-MKD_REA_R570-TheFavour_en21_MS2022.xlf"
"620"	"On 1 June 1910, on an old Scottish whaler, the Terra Nova, the party of the Englishman (sixty-five men, seventeen ponies and thirty dogs) set out from the continent of Europe."	"На 1ви јуни 1910 год. еден англиски екипаж, составен од шеесет и пет мажи, седумнаесет пони коњи и триесет кучиња, се качил на стар шкотски брод за ловење китови, наречен „Тера Нова&quot;, и отпловил од европскиот континент."	"R220_stimulus_p1_5c3f6272b4d3f0.94454873_0_0"	"PISA_mkd-MKD_REA_R220-SouthPole_en21_MS2022.xlf"
"3653"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Притисни на опциите во табелата за да одговориш на прашањето.&lt;/i&gt;"	"R558_question8_itemDirections_5c9d2259dff4b4.26787399_1_0"	"PISA_mkd-MKD_REA_R558-MicrowaveOvens_en21_MS2022.xlf"
"3749"	"Click on a choice to answer the question."	"Кликни за да одговориш на прашањето."	"R559_question05_q05itemDirections_5c9d225a0e2ce7.46367068_1_0"	"PISA_mkd-MKD_REA_R559-NaliniNadkarni_en21_MS2022.xlf"
"1415"	"WORK RIGHT"	"Тип-топ Офис"	"R466_stimulus_title_5c3f627ecd2752.84552014_0"	"PISA_mkd-MKD_REA_R466-WorkRight_en21_MS2022.xlf"
"4609"	"Type your answer to the question.&lt;/i&gt;"	"Напиши го твојот одговорот на прашањето.&lt;/i&gt;"	"R565_question4_itemDirections_5c9d225b01d412.72172684_1_0"	"PISA_mkd-MKD_REA_R565-SittingDisease_en21_MS2022.xlf"
"4598"	"Click on a choice to answer the question.&lt;/i&gt;"	"Притисни на избор за да го одговориш прашањето.&lt;/i&gt;"	"R565_question_itemDirections_5c9d225b006c81.28991002_1_0"	"PISA_mkd-MKD_REA_R565-SittingDisease_en21_MS2022.xlf"
"4986"	"Read the information below."	"Прочитај ги информациите подолу."	"q0b-body_q0b-itemDirections_5c9d225b6a82b7.29262010_0_0"	"PISA_mkd-MKD_REA_R567-SmokeJumpers_en21_MS2022.xlf"
"4375"	"Click on a choice to answer the question."	"Кликни за да одговориш на прашањето."	"R563_question06_q06itemDirections_5c9d225ab08fb8.61774619_1_0"	"PISA_mkd-MKD_REA_R563-QuestionOfTheWeek_en21_MS2022.xlf"
"5006"	"Click on the choices in the table to answer the question."	"Кликни на изборите во табелата за да одговориш на прашањето."	"R567_question11_q11itemDirections_5c9d225b6e1bf5.70371706_1_0"	"PISA_mkd-MKD_REA_R567-SmokeJumpers_en21_MS2022.xlf"
"4349"	"Refer to the different webpages of the website on the right."	"Погледнете ги различните веб-страници на веб-сајтот десно."	"R563_question04_q04itemDirections_5c9d225aacdf88.57641426_0_0"	"PISA_mkd-MKD_REA_R563-QuestionOfTheWeek_en21_MS2022.xlf"
"358"	"T"	"Ч"	"R219_stimulus_stimulus_7_5c3f627120f6d9.50022289_0"	"PISA_mkd-MKD_REA_R219-Employment_en21_MS2022.xlf"
"3600"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Потоа притисни на стрелката СЛЕДНО.&lt;/i&gt;"	"question00b_1_itemDirections00_5c9d2259d0a923.54695152_1_0"	"PISA_mkd-MKD_REA_R558-MicrowaveOvens_en21_MS2022.xlf"
"4579"	"Click on a choice to answer the question.&lt;/i&gt;"	"Притисни на избор за да го одговориш прашањето.&lt;/i&gt;"	"R565_question01_itemDirections_5c9d225af1ed07.51831905_1_0"	"PISA_mkd-MKD_REA_R565-SittingDisease_en21_MS2022.xlf"
"5167"	"Click on a choice to answer the question."	"Кликни за да одговориш на прашањето."	"R568_question08_q08itemDirections_5c9d225b990248.85148475_1_0"	"PISA_mkd-MKD_REA_R568-SpaceDebris_en21_MS2022.xlf"
"3609"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Притисни на опциите во табелата за да одговориш на прашањето.&lt;/i&gt;"	"R558_question2_itemDirections_5c9d2259d6cf69.19154311_1_0"	"PISA_mkd-MKD_REA_R558-MicrowaveOvens_en21_MS2022.xlf"
