"Segment"	"en-ZZ"	"sq-AL"	"ID"	"File"
"1427"	"Type your answer to the question."	"Jep përgjigjen tënde për pyetjen."	"Q04R542_question_Q04itemDirections_56fc78210a7121.90579681_1_0"	"PISA_sqi-ALB_REA_R542-BulletinBoard_en18_MS2022.xlf"
"5178"	"Type your answer to the question."	"Jep përgjigjen tënde për pyetjen."	"R567_question03_q03itemDirections_56fc78790e6414.00199794_1_0"	"PISA_sqi-ALB_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5203"	"True"	"E Vërtetë"	"R567_question05_q05tr1th2_56fc787910f8b1.79894974_0"	"PISA_sqi-ALB_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"2088"	"Type your answer to the question."	"Jep përgjigjen tënde për pyetjen."	"R545_question04_Q09itemDirections_56fc7821b30c73.16221683_1_0"	"PISA_sqi-ALB_REA_R545-MachuPicchu_en18_MS2022.xlf"
"4408"	"A PUBLICATION OF ZEDTOWN HIGH SCHOOL"	"BOTIM I SHKOLLËS SË MESME E QYTETIT ZED"	"R563-stimulus-news_news-caption_56fc786b3a39f3.22500385_0"	"PISA_sqi-ALB_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"1247"	"False"	"E gabuar"	"Q07_question_tr1th3_56fc7820d48d81.68230758_0"	"PISA_sqi-ALB_REA_R541-Plastic_en18_MS2022.xlf"
"5227"	"&lt;b&gt;Smokejumpers&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Zjarrëfikësit me Parashutë&lt;/b&gt;&lt;br /&gt;"	"R567_question07_q07itemTitle_56fc787913c8e8.03622391_0_0"	"PISA_sqi-ALB_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4068"	"Type your answer to the question."	"Zgjidh një altenativë dhe ma pas jep përgjigjen tënde për pyetjen."	"R561_question02_q02itemDirections_56fc785d28cac5.31556981_1_0"	"PISA_sqi-ALB_REA_R561-OlympicFlag_en18_MS2022.xlf"
"2475"	"Type your answer to the question."	"Jep përgjigjen tënde për pyetjen."	"R549_question04_q04itemDirections_56fc786ad05882.39043317_1_0"	"PISA_sqi-ALB_REA_R549-MessageInABottle_en18_MS2022.xlf"
"4876"	"Website"	"Uebsajt"	"R566_Stimulus03_stimulus3_6_56fc786b74d361.28053469_0"	"PISA_sqi-ALB_REA_R566-SkelligRocks_en18_MS2022.xlf"
