"Segment"	"en-ZZ"	"ja-JP"	"ID"	"File"
"1878"	"Use drag and drop to answer the question."	"ドラッグ＆ドロップを使って、下の問いに答えてください。"	"MA128_question1_q1itemDirections_5c9d214b319101.94990115_1_0"	"PISA_jpn-JPN_MAT_MA123-SolarSystem_en21_MS2022.xlf"
"3545"	"Click on a choice to answer the question."	"下の問いの答えを一つ&lt;/br&gt;クリックしてください。"	"q2CMA138_question_q2itemDirections_5c9d21648472a1.52007146_1_0"	"PISA_jpn-JPN_MAT_MA138-ShoeSizes_en21_MS2022.xlf"
"1432"	"Click on the choices in the table to answer the question."	"下の表の中から、次の問いの答えをクリックしてください。"	"MA117_question04_q04itemDirections_5c9d214ab14856.16755359_1_0"	"PISA_jpn-JPN_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"5190"	"Click on a choice and then type an explanation to answer the question."	"下の問いの答えを一つクリックし、その理由を入力してください。"	"q4MA161_question_q4itemDirections_5c9d2137a76b55.99656517_2_0"	"PISA_jpn-JPN_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"5019"	"Mean"	"平均値"	"MA161_stimulus_mean_5c9d213799a198.65253612_0"	"PISA_jpn-JPN_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"512"	"Click on a choice to answer the question."	"下の問いの答えを一つクリックしてください。"	"MA107Q01_question_q01itemDirections_5c9d2136af0a87.95937958_1_0"	"PISA_jpn-JPN_MAT_MA107-FieldOfVision_en21_MS2022.xlf"
"2922"	"Using the number keys, type your answers to the question."	"下の問いの答えを半角の数字で&lt;br/&gt;入力してください。"	"Q1MA131_question_Q1ItmDirP1Id_5c9d214bb46039.90032313_1_0"	"PISA_jpn-JPN_MAT_MA132-WaterTemperature_en21_MS2022.xlf"
"4124"	"Click on a choice to answer the question."	"下の問いの答えを一つクリックしてください。"	"MA147q4_question_q4itemDirections_5c9d21650b66f4.19975110_1_0"	"PISA_jpn-JPN_MAT_MA147-AeroplaneTickets_en21_MS2022.xlf"
"4556"	"To run more tests, change the settings on one or both sliders and click on the “Run” button again."	"別のシミュレーションを実行するには、スライダーで片方または両方の設定を変更し、「実行」ボタンを&lt;br/&gt;もう一度クリックしてください。"	"menu_1_MA153menu_OL1Li4_5c9d21374af773.66067353_0"	"PISA_jpn-JPN_MAT_MA153-Gears_en21_MS2022.xlf"
"1343"	"Using the number keys, type your answer to the question."	"&lt;br/&gt;下の問いの答えを半角の数字で入力してください。"	"MA116_question3_itemDirections3_5c9d214a9c49c7.11195988_1_0"	"PISA_jpn-JPN_MAT_MA116-InternationalSchool_en21_MS2022.xlf"
"1839"	"Click on a choice to answer the question."	"下の問いの答えを一つクリックしてください。"	"MA121_question03_Q03itemDirections_5c9d214b07d797.77931049_1_0"	"PISA_jpn-JPN_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"4097"	"Click on a choice to answer the question."	"下の問いの答えを一つクリックしてください。"	"MA147q2_question_q2itemDirections_5c9d216508ba43.16937301_1_0"	"PISA_jpn-JPN_MAT_MA147-AeroplaneTickets_en21_MS2022.xlf"
"4422"	"Click on the choices in the table to answer the question."	"下の表の中から、次の&lt;br/&gt;問いの答えをクリックしてください。"	"q1MA152_question_q1itemDirections_5c9d21654f6b95.79333200_1_0"	"PISA_jpn-JPN_MAT_MA152-TheBetterDeal_en21_MS2022.xlf"
"41"	"Top view"	"上から&lt;br/&gt;見た図"	"MA112_question1_tr0td2_5c9d21361a7e45.51972452_0"	"PISA_jpn-JPN_MAT_MA101-BuildingBlocks_en21_MS2022.xlf"
"3795"	"Click on a choice to answer the question."	"下の問いの答えを一つ&lt;/br&gt;クリックしてください。"	"MA143_question04_q4itemDirections_5c9d2164c0e144.21102801_1_0"	"PISA_jpn-JPN_MAT_MA143-WildBirdFood_en21_MS2022.xlf"
"961"	"You can also clear all cells by clicking on “Clear”."	"「リセット」ボタンをクリックすると、&lt;br/&gt;すべてのセルの値を削除できます。"	"menu_1_aMenu_part1_li2_5c9d2136e912a9.52248706_1_0"	"PISA_jpn-JPN_MAT_MA112-Metabolism_en21_MS2022.xlf"
"4778"	"Click on a choice and then type an explanation to answer the question."	"下の問いの答えを一つクリックし、その理由を入力してください。"	"q3MA158_question_q3itemDirections_5c9d21657e1f71.24263233_1_0"	"PISA_jpn-JPN_MAT_MA158-EyeColour_en21_MS2022.xlf"
"2464"	"To run this simulation, follow these steps:"	"このシミュレーションの実行方法を、以下の手順で確認&lt;br/&gt;してください。"	"MA128_questionS3_q3p1_2_5c9d21372c05c8.86619113_0"	"PISA_jpn-JPN_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"1471"	"Click on a choice to answer the question."	"下の&lt;br/&gt;問いの答えを一つクリックしてください。"	"MA119_question1_itemDirections1_5c9d214ad702a0.84429473_1_0"	"PISA_jpn-JPN_MAT_MA119-MusicSurvey_en21_MS2022.xlf"
"2098"	"Click on a choice to answer the question."	"下の問いの答えを&lt;/br&gt;一つクリックしてください。"	"MA125_question3_q03itemDirections_5c9d21370cb648.59997288_1_0"	"PISA_jpn-JPN_MAT_MA125-PaintingARoom_en21_MS2022.xlf"
"4560"	"In this simulation, you will explore relationships between two types of gears."	"このシミュレーションでは、二種類の歯車の関係を&lt;br/&gt;調べることができます。"	"menu2_1_menu_p1_5c9d21374c4c62.30682772_0"	"PISA_jpn-JPN_MAT_MA153-Gears_en21_MS2022.xlf"
"4534"	"To run this simulation, follow these steps:"	"このシミュレーションの実行方法を、以下の手順で確認&lt;br/&gt;してください。"	"MA153_questionS3_q0ap1_5c9d2137481033.59674945_0"	"PISA_jpn-JPN_MAT_MA153-Gears_en21_MS2022.xlf"
"4312"	"Explain your answer."	"理由を説明してください。"	"q3MA150_question_q3p4_5c9d21653a0672.84676440_0"	"PISA_jpn-JPN_MAT_MA150-TriangularPattern_en21_MS2022.xlf"
