"Segment"	"en-ZZ"	"sq-MK"	"ID"	"File"
"2360"	"Medium"	"Mesatar"	"stimulus2_1_stimulus2_45_57bc4b0907e570.22338836_0"	"PISA_sqi-MKD_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"1278"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt; Kliko një alternativë për t'ju përgjigjur pyetjes.&lt;/i&gt;"	"S603_question5_itemDirections5_57bc4b08774a52.67402251_0"	"PISA_sqi-MKD_SCI_S603-ElephantsAndAcaciaTrees_en18_MS2022.xlf"
"1250"	"&lt;b&gt;Elephants and Acacia Trees&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Elefantët dhe Pemët e Akacies&lt;/b&gt;&lt;br /&gt; Pyetja"	"S603_question3_itemTitle3_57bc4b08744780.46907679_0"	"PISA_sqi-MKD_SCI_S603-ElephantsAndAcaciaTrees_en18_MS2022.xlf"
"2977"	"Mars"	"Marsit"	"S648_question2_o2_3_57bc4b094f7291.20395387_0"	"PISA_sqi-MKD_SCI_S648-HabitableZone_en18_MS2022.xlf"
"1949"	"Sound in Marine Habitats"	"Tingulli në Habitetat Detare"	"S626_stimulus2_attr_alt_attr_stimulus2_5_57bc4b08ca5fe3.30762870_0"	"PISA_sqi-MKD_SCI_S626-SoundInMarineHabitats_en18_MS2022.xlf"
"2661"	"&lt;b&gt;Comparing Light Bulbs&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt; Krahasimi i Llambave të Dritës &lt;/b&gt;&lt;br /&gt; Pyetja"	"question5_1_itemTitle05_57bc4b0929d8f7.80805327_0"	"PISA_sqi-MKD_SCI_S643-LightBulbs_en18_MS2022.xlf"
"1976"	"Sound in Marine Habitats"	"Tingulli në Habitetat Detare"	"S626_stimulus3_attr_alt_attr_stimulus3_1_57bc4b08cc14b5.47101410_0"	"PISA_sqi-MKD_SCI_S626-SoundInMarineHabitats_en18_MS2022.xlf"
"1975"	"Sound-emitting device"	"Pajisje tingull-lëshuese"	"S626_stimulus3_device2_57bc4b08cc03c5.80335795_0"	"PISA_sqi-MKD_SCI_S626-SoundInMarineHabitats_en18_MS2022.xlf"
"1977"	"Sound in Marine Habitats"	"Tingulli në Habitetat Detare"	"S626_stimulus3_attr_alt_attr_stimulus3_2_57bc4b08cc1637.36220279_0"	"PISA_sqi-MKD_SCI_S626-SoundInMarineHabitats_en18_MS2022.xlf"
"1979"	"Sound in Marine Habitats"	"Tingulli në Habitetat Detare"	"S626_stimulus3_attr_alt_attr_stimulus3_4_57bc4b08cc18b6.14075022_0"	"PISA_sqi-MKD_SCI_S626-SoundInMarineHabitats_en18_MS2022.xlf"
"2650"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on one or more boxes to answer the question.&lt;/i&gt;"	"&lt;i&gt;Fillo simulimin për të mbledhur të dhënat e bazuara në informacionin e mëposhtëm. Kliko një ose më shumë kuti për t'ju përgjigjur pyetjes.&lt;/i&gt;"	"question4_1_itemDirections04_57bc4b09289957.52821016_0"	"PISA_sqi-MKD_SCI_S643-LightBulbs_en18_MS2022.xlf"
"1228"	"&lt;b&gt;Elephants and Acacia Trees&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Elefantët dhe Pemët e Akacies&lt;/b&gt;&lt;br /&gt; Pyetja"	"S603_question2_itemTitle2_57bc4b0872d046.49401196_0"	"PISA_sqi-MKD_SCI_S603-ElephantsAndAcaciaTrees_en18_MS2022.xlf"
"2283"	"&lt;i&gt;Run the simulation to collect data based on the information below.  Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"&lt;i&gt;Drejto simulimin për të mbledhur të dhënat e bazuara në informacionin e mëposhtëm. Kliko një alternativë dhe më pas jep një shpjegim për t'ju përgjigjur pyetjes.&lt;/i&gt;"	"question4_1_itemDirections04_57bc4b08f38221.68423475_0"	"PISA_sqi-MKD_SCI_S634-Vaccination_en18_MS2022.xlf"
"2354"	"Low"	"I ulët"	"stimulus2_1_stimulus2_36_57bc4b0907cd59.62888742_0"	"PISA_sqi-MKD_SCI_S635-SaveTheFish_en18_MS2022.xlf"
