"Segment"	"en-ZZ"	"es-UY"	"ID"	"File"
"1055"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Haz clic en una opción para responder.&lt;/i&gt;"	"S603_question5_itemDirections5_5138b289dbdd91.86400384_0"	"PISA_esp-URY_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"1769"	"&lt;i&gt; Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes.&lt;/i&gt;"	"&lt;i&gt; Recuerda seleccionar &lt;b&gt;una o varias&lt;/b&gt; casillas.&lt;/i&gt;"	"S625_question3_Reminder_5138b1f5ed92c9.68850673_0"	"PISA_esp-URY_SCI_S625-WildfiresAndTheFireTriangle_en15_MS2022.xlf"
"1523"	"Medium"	"Moderada"	"js_translation_slopeMedium_517c866c11dfe4.07185303_0"	"PISA_esp-URY_SCI_S615-Tsunami_en15_MS2022.xlf"
"1699"	"S620 Tornadoes Q03"	"S620 Tornados P04"	"S620_question3_unknownID_51543fc57c5163.58205974_0"	"PISA_esp-URY_SCI_S620-Tornadoes_en15_MS2022.xlf"
"2245"	"Medium"	"Medio"	"js_translation_medium_517c866cc0bb10.48262966_0"	"PISA_esp-URY_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2092"	"To run this simulation, you can use the following controls:"	"Para ejecutar esta simulación, puedes utilizar los siguientes controles:"	"menu_1_aMenuP3_5179d18b0a1a87.78061985_0"	"PISA_esp-URY_SCI_S634-Vaccination_en15_MS2022.xlf"
"2110"	"&lt;b&gt;Susceptible:&lt;/b&gt; Individuals in this state are not vaccinated to prevent the disease and may get the disease."	"&lt;b&gt;Vulnerable:&lt;/b&gt; Los individuos en este estado no se han vacunado para prevenir la enfermedad y se pueden enfermar."	"question000_1_t1tr1td2_5179d18b0d6e34.82811537_0"	"PISA_esp-URY_SCI_S634-Vaccination_en15_MS2022.xlf"
"2344"	"increase"	"aumentará"	"question3_1_o3b_1_517c866cca8149.85234485_0"	"PISA_esp-URY_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1964"	"S627 Car Tyres Q03"	"S627 Neumáticos de auto P03"	"S627_question3_unknownID_51543fc5d8b8f0.79632901_0"	"PISA_esp-URY_SCI_S627-CarTyres_en15_MS2022.xlf"
"2457"	"Medium"	"Medio"	"stimulus2_1_stimulus2_45_517c866cd9fbc7.43288021_0"	"PISA_esp-URY_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2345"	"decrease"	"disminuirá"	"question3_1_o3b_2_517c866cca8617.75823500_0"	"PISA_esp-URY_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2456"	"Low"	"Bajo"	"stimulus2_1_stimulus2_44_517c866cd9f842.05399866_0"	"PISA_esp-URY_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2341"	"decrease"	"disminuirá"	"question3_1_o3_2_517c866cca7289.26782965_0"	"PISA_esp-URY_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2500"	"Disadvantage"	"Inconveniente"	"S638_question2_header2_516583516ee8a9.85837732_0"	"PISA_esp-URY_SCI_S638-OilSpills_en15_MS2022.xlf"
"2246"	"High"	"Alto"	"js_translation_high_517c866cc0c011.23722423_0"	"PISA_esp-URY_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2328"	"In this simulation, you will be able to explore how the level of fishing of cod and herring affects the biomass of each type of organism in the bay after a five-year period."	"En esta simulación, podrás explorar cómo afectan los volúmenes de pesca de bacalao y arenque a la biomasa de cada tipo de organismo de la bahía después de un periodo de cinco años."	"question2_1_P21_517c866cc892f7.27640294_0"	"PISA_esp-URY_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2453"	"High"	"Alto"	"stimulus2_1_stimulus2_38_517c866cd9d2d9.65194173_0"	"PISA_esp-URY_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2776"	"To delete any row of data, click on the delete button next to that row."	"Para borrar una fila de datos, haz clic en el botón “Borrar” que encontrarás junto a la fila."	"menu_1_menuP4_5179d18c75ad75.67833698_0"	"PISA_esp-URY_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"1042"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Haz clic en una opción para responder.&lt;/i&gt;"	"S603_question4_itemDirections4_5138b289d66ef2.15561880_0"	"PISA_esp-URY_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"90"	"3.4g"	"3,4,g"	"S326_stimulus2_t3tr3td2_50ec4a1c08d0c3.30296540_0"	"PISA_esp-URY_SCI_S326-Milk_en15_MS2022.xlf"
"2920"	"Explain your answer."	""	"S648_question4_q4p2_51543fc709c324.52297278_0"	"PISA_esp-URY_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2375"	"increase"	"aumentará"	"question5_1_o5b_1_517c866cce8f65.81474457_0"	"PISA_esp-URY_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"925"	"&lt;b&gt;Urban Heat Island Effect&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt; El efecto isla urbana de calor&lt;/b&gt;&lt;br /&gt; Pregunta"	"S602_question4_qitemTitle4_5146f1d321d3e6.33512336_0"	"PISA_esp-URY_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2450"	"None"	"Nulo"	"stimulus2_1_stimulus2_35_517c866cd9c221.62218651_0"	"PISA_esp-URY_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1541"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt; Lee la introducción. Haz clic en la flecha SIGUIENTE.&lt;/i&gt;"	"question0_1_itemDirections00_517c866c1493e8.49871839_0"	"PISA_esp-URY_SCI_S615-Tsunami_en15_MS2022.xlf"
"2451"	"Low"	"Bajo"	"stimulus2_1_stimulus2_36_517c866cd9c7a6.07608979_0"	"PISA_esp-URY_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2372"	"decrease"	"disminuirá"	"question5_1_o5_2_517c866cce87d1.86453744_0"	"PISA_esp-URY_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2112"	"&lt;b&gt;Recovered/Vaccinated:&lt;/b&gt; Individuals in this state either had the disease and then recovered from it or have been vaccinated to prevent the disease. In the simulation, these individuals cannot get the disease."	"&lt;b&gt;Recuperado / vacunado:&lt;/b&gt; Los individuos en este estado contrajeron la enfermedad y se recuperaron o fueron vacunados para prevenirla. En la simulación, estos individuos no se pueden enfermar."	"question000_1_t1tr3td2_5179d18b0d87f4.53527504_0"	"PISA_esp-URY_SCI_S634-Vaccination_en15_MS2022.xlf"
"1707"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Haz clic en una opción para responder.&lt;/i&gt;"	"S620_Q5_itemDirections5_51543fc5816999.55030035_0"	"PISA_esp-URY_SCI_S620-Tornadoes_en15_MS2022.xlf"
"1029"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Haz clic en una opción para responder.&lt;/i&gt;"	"S603_question3_itemDirections3_5138b289d1b4e8.95919050_0"	"PISA_esp-URY_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"1816"	"&lt;b&gt;Sound in Marine Habitats&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;El sonido en los hábitats marinos &lt;/b&gt;&lt;br /&gt; Pregunta"	"S626_question3_itemTitle_3_51484257f14358.64460797_0"	"PISA_esp-URY_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"2771"	"To run this simulation, you can use the following controls:"	"Para ejecutar esta simulación, puedes utilizar los siguientes controles:"	"menu_1_menuP2_5179d18c759b73.95768713_0"	"PISA_esp-URY_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2374"	"select"	"Selecciona"	"question5_1_o5b_0_517c866cce8ce4.25365685_0"	"PISA_esp-URY_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2458"	"High"	"Alto"	"stimulus2_1_stimulus2_46_517c866cd9ff55.61792598_0"	"PISA_esp-URY_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2102"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;Lee la introducción. Haz clic en la flecha SIGUIENTE.&lt;/i&gt;"	"CS634_intro_itemDirections0_5179d18b0b9014.87025385_0"	"PISA_esp-URY_SCI_S634-Vaccination_en15_MS2022.xlf"
"2304"	"To run this simulation, you can use the following controls:"	"Para ejecutar  la simulación, puedes usar los siguientes controles:"	"menu_1_menuP2_517c866cc3d340.63445361_0"	"PISA_esp-URY_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2466"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;Lee la introducción. Luego, haz clic en la flecha SIGUIENTE.&lt;/i&gt;"	"S638_question0_itemDirections0_516e90e7982602.88504439_0"	"PISA_esp-URY_SCI_S638-OilSpills_en15_MS2022.xlf"
"2243"	"None"	"Nulo"	"js_translation_none_517c866cc0b129.17051160_0"	"PISA_esp-URY_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2867"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;Lee la introducción. Haz clic en la flecha SIGUIENTE.&lt;/i&gt;"	"S648_Q0_itemDirections0_51543fc6ecc6d6.10259623_0"	"PISA_esp-URY_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2455"	"None"	"Nulo"	"stimulus2_1_stimulus2_43_517c866cd9f405.42115461_0"	"PISA_esp-URY_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2777"	"To select a row of data to answer a question, click anywhere on that row. The row(s) you select will be marked with a star."	"Para seleccionar una fila de datos para responder a una pregunta, haz clic en cualquier parte de la fila. La fila o filas que selecciones se marcarán con una estrella."	"menu_1_menuP5_5179d18c75b138.29008136_0"	"PISA_esp-URY_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2820"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"&lt;i&gt;Basándote en la siguiente información, ejecuta la simulación para obtener datos. Haz clic en una opción y escribe una explicación para responder.&lt;/i&gt;"	"question5_1_itemDirections05_5179d18c7fbf06.16538288_0"	"PISA_esp-URY_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2997"	"&lt;b&gt;Invasive Species&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Especies invasoras&lt;/b&gt;&lt;br /&gt; Pregunta"	"S657_question3_itemTitleqS3_51543fc90f3329.53871036_0"	"PISA_esp-URY_SCI_S657-InvasiveSpecies_en15_MS2022.xlf"
"2525"	"Can this question be answered by scientific experiments?"	"Esta pregunta, ¿puede responderse por medio de experimentos científicos?"	"S638_question4_Q4_tr1th1_516583517289b0.71320718_0"	"PISA_esp-URY_SCI_S638-OilSpills_en15_MS2022.xlf"
"2784"	"To see how all the controls in this simulation work, follow these steps:"	"Para ver cómo funcionan todos los controles en esta simulación, sigue estos pasos:"	"question1_1_q01p2_5179d18c787771.34906238_0"	"PISA_esp-URY_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2774"	"The Run button to display the results."	"El botón Ejecutar para mostrar los resultados."	"menu_1_menuLi3_5179d18c75a577.37741917_0"	"PISA_esp-URY_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"3010"	"&lt;b&gt;Invasive Species&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Especies invasoras&lt;/b&gt;&lt;br /&gt; Pregunta"	"S657_question4_itemTitleqS4_51543fc913f809.27524802_0"	"PISA_esp-URY_SCI_S657-InvasiveSpecies_en15_MS2022.xlf"
"1829"	"&lt;b&gt;Sound in Marine Habitats&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;El sonido en los hábitats marinos &lt;/b&gt;&lt;br /&gt; Pregunta"	"S626_question4_itemTitle_4_51484258014321.57686303_0"	"PISA_esp-URY_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"2610"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on one or more boxes to answer the question.&lt;/i&gt;"	"&lt;i&gt;Basándote en la siguiente información, ejecuta la simulación para obtener datos. Haz clic en una o más casillas para responder.&lt;/i&gt;"	"question4_1_itemDirections04_5179d18c3c3109.76596197_0"	"PISA_esp-URY_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2340"	"increase"	"aumentará"	"question3_1_o3_1_517c866cca6dd3.87035140_0"	"PISA_esp-URY_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2452"	"Medium"	"Medio"	"stimulus2_1_stimulus2_37_517c866cd9cda5.35528622_0"	"PISA_esp-URY_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2779"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;Lee la introducción. A continuación, haz clic en la flecha SIGUIENTE.&lt;/i&gt;"	"question0_1_itemDirections00_5179d18c770887.32162936_0"	"PISA_esp-URY_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2943"	"Earth"	"Tierra"	"S648_stimulus1_le2_51543fc7166672.48981646_0"	"PISA_esp-URY_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2244"	"Low"	"Bajo"	"js_translation_low_517c866cc0b622.59988102_0"	"PISA_esp-URY_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"736"	"Yes"	"SÍ"	"S498_question3_question3_1_50ec5d1e9e7db1.64966568_0"	"PISA_esp-URY_SCI_S498-ExperimentalDigestion_en15_MS2022.xlf"
"936"	"lower"	"menores"	"S602_question4_S602Q04SELECT32_5146f1d3220c05.59682257_0"	"PISA_esp-URY_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2339"	"select"	"Selecciona"	"question3_1_o3_0_517c866cca6a23.08277732_0"	"PISA_esp-URY_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1803"	"&lt;b&gt;Sound in Marine Habitats&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;El sonido en los hábitats marinos &lt;/b&gt;&lt;br /&gt; Pregunta"	"S626_question2_itemTitle_2_51484257ed0b68.78002511_0"	"PISA_esp-URY_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"935"	"higher"	"mayores"	"S602_question4_S602Q04SELECT31_5146f1d3220749.32583095_0"	"PISA_esp-URY_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2370"	"select"	"Selecciona"	"question5_1_o5_0_517c866cce82f5.31457343_0"	"PISA_esp-URY_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2371"	"increase"	"aumentará"	"question5_1_o5_1_517c866cce8576.85368889_0"	"PISA_esp-URY_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2343"	"select"	"Selecciona"	"question3_1_o3b_0_517c866cca7c35.96356868_0"	"PISA_esp-URY_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2376"	"decrease"	"disminuirá"	"question5_1_o5b_2_517c866cce91e1.21839113_0"	"PISA_esp-URY_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2833"	"&lt;i&gt;For this question you will not need to use the simulation. Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"&lt;i&gt;Para responder a esta pregunta no es necesario que utilices la simulación. Haz clic en una opción y, a continuación, escribe una explicación para responder.&lt;/i&gt;"	"question6_1_itemDirections06_5179d18c825225.54248492_0"	"PISA_esp-URY_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2407"	"✔ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔ Recuerda seleccionar &lt;b&gt;una o más&lt;/b&gt; casillas."	"S662_question7_q7p3_517c866cd3a419.20990440_0"	"PISA_esp-URY_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1619"	"Medium"	"Moderada"	"sim_1_simSlopeMed_517c866c229f33.08839423_0"	"PISA_esp-URY_SCI_S615-Tsunami_en15_MS2022.xlf"
