"Segment"	"en-ZZ"	"es-MX"	"ID"	"File"
"2587"	"Cette simulation vous permet d’observer comment différents types d’ampoules fonctionnent à différents niveaux d’énergie. Le testeur d’ampoules indique la quantité de lumière émise (mesurée en lumens) ainsi que l’efficacité lumineuse de l’ampoule (mesurée en lumens par watt)."	"Esta simulación te permite observar cómo funcionan diferentes tipos de focos con distintos niveles de potencia. El probador de focos indica la cantidad de luz emitida (medida en lumens) así como la eficiencia luminosa del foco (medida en lumens por watt)."	"question2_1_Q02P1_51940c2ad85628.33325889_0"	"PISA_esp-MEX_SCI_S643-LightBulbs_fr15_MS2022.xlf"
"2792"	"&lt;i&gt;Exécutez la simulation pour recueillir des données en vous basant sur les informations fournies ci-dessous. Pour répondre à la question, cliquez sur l'un des choix de réponse.&lt;/i&gt;"	"&lt;i&gt;Ejecuta la simulación para obtener datos basados en la información que está a continuación. Para responder a la pregunta, selecciona una opción.&lt;/i&gt;"	"question2_1_itemDirections02_51940c2b012ef3.67556001_0"	"PISA_esp-MEX_SCI_S646-Nanoparticles_fr15_MS2022.xlf"
"2588"	"Pour voir comment fonctionnent les différentes commandes utilisées dans cette simulation, suivez ces étapes :"	"Para ver cómo funcionan los controles de la simulación sigue estos pasos:"	"question2_1_Q02P2_51940c2ad85c03.54737536_0"	"PISA_esp-MEX_SCI_S643-LightBulbs_fr15_MS2022.xlf"
"794"	"The provision of assistance to victims of natural disasters"	"El suministro de ayuda a víctimas de desastres naturales"	"S514_question3_tr4td1_50ed2967cbb7e9.81118868_0"	"PISA_esp-MEX_SCI_S514-DevelopmentAndDisaster_en15_MS2022.xlf"
"2087"	"Cuiseur solaire"	"Cocina solar"	"S629_stimulus1_attr_alt_attr_stimulus1_2_515e341de59ef6.59351038_0"	"PISA_esp-MEX_SCI_S629-SolarCooker_fr15_MS2022.xlf"
"1119"	"✓ &lt;i&gt;N'oubliez pas de sélectionner &lt;b&gt;une ou plusieurs&lt;/b&gt; cases.&lt;/i&gt;"	"✓ &lt;i&gt; Recuerda seleccionar &lt;b&gt;una o más&lt;/b&gt; opciones.&lt;/i&gt;"	"S604_question3_q3p2_51804f1f847b87.66385627_0"	"PISA_esp-MEX_SCI_S604-WaterFromFog_fr15_MS2022.xlf"
"2810"	"&lt;i&gt;Exécutez la simulation pour recueillir des données en vous basant sur les informations fournies ci-dessous. Pour répondre à la question, cliquez sur l'un des choix de réponse.&lt;/i&gt;"	"&lt;i&gt;Ejecuta la simulación para obtener datos basados en la información que está a continuación. Para responder a la pregunta, selecciona una opción.&lt;/i&gt;"	"question4_1_itemDirections04_51940c2b054e00.32818573_0"	"PISA_esp-MEX_SCI_S646-Nanoparticles_fr15_MS2022.xlf"
"1250"	"L'énergie géothermique"	"Energía geotérmica"	"S605_stimulus4_title4_515e341d9e79d5.95856307_0"	"PISA_esp-MEX_SCI_S605-GeothermalEnergy_fr15_MS2022.xlf"
"2894"	"Mars"	"Marte"	"S648_question2_o2_3_517304a619ef37.94823363_0"	"PISA_esp-MEX_SCI_S648-HabitableZone_fr15_MS2022.xlf"
"2086"	"Cuiseur solaire"	"Cocina solar"	"S629_stimulus1_attr_alt_attr_stimulus1_1_515e341de59da4.51559001_0"	"PISA_esp-MEX_SCI_S629-SolarCooker_fr15_MS2022.xlf"
"2312"	"Pour sélectionner une ligne de données afin de répondre à une question, cliquez n'importe où sur la ligne. La ou les lignes sélectionnées seront marquées d'une étoile. &lt;br /&gt;"	"Para seleccionar cualquier renglón de datos que responda a la pregunta, da clic en el renglón. El o los renglones seleccionados  quedarán marcados con una estrella. &lt;br /&gt;"	"menu_1_menu_3_51940bdd9a0af2.26110027_0"	"PISA_esp-MEX_SCI_S635-SaveTheFish_fr15_MS2022.xlf"
"2612"	"&lt;i&gt;Exécutez la simulation pour recueillir des données en vous basant sur les informations fournies ci-dessous. Pour répondre à la question, cliquez sur une ou plusieurs cases.&lt;/i&gt;"	"&lt;i&gt;Ejecuta la simulación para obtener datos basados en la información que está a continuación. Para responder a la pregunta, selecciona una o más opciones.&lt;/i&gt;"	"question4_1_itemDirections04_51940c2adcb322.49737777_0"	"PISA_esp-MEX_SCI_S643-LightBulbs_fr15_MS2022.xlf"
"2778"	"Pour supprimer une ligne de données, cliquez sur le bouton « Supprimer » à côté de cette ligne. &lt;br /&gt;"	"Para eliminar cualquier renglón de datos, da clic en el botón “Borrar” que está al lado del renglón. &lt;br /&gt;"	"menu_1_menuP4_51940c2af0bf00.14568354_0"	"PISA_esp-MEX_SCI_S646-Nanoparticles_fr15_MS2022.xlf"
"1213"	"L'énergie géothermique"	"Energía geotérmica"	"S605_stimulus1_attr_alt_attr_stimulus1_1_515e341d98bd36.52162529_0"	"PISA_esp-MEX_SCI_S605-GeothermalEnergy_fr15_MS2022.xlf"
"2096"	"Le bouton « Exécuter » pour afficher les résultats."	"Botón &quot;Ejecutar&quot; para mostrar los resultados."	"menu_1_aMenuLi2_5193fe2e052d66.30401215_0"	"PISA_esp-MEX_SCI_S634-Vaccination_fr15_MS2022.xlf"
"1215"	"L'énergie géothermique"	"Energía geotérmica"	"S605_stimulus2_title2_515e341d9a84a9.67478524_0"	"PISA_esp-MEX_SCI_S605-GeothermalEnergy_fr15_MS2022.xlf"
