"Segment"	"en-ZZ"	"fr-CA"	"ID"	"File"
"5356"	"1,95 m"	"1,90 m"	"R567_question09_q09tr7td3_56fc78d51e82f5.88439742_0"	"PISA_fra-CAN_REA_R567-SmokeJumpers_fr18_MS2022.xlf"
"1976"	"&lt;i&gt;Référez-vous aux informations fournie sous « Une étincelle de génie » à droite."	"&lt;i&gt;Référez-vous aux informations fournies sous « Une étincelle de génie » à droite."	"R544_question5_itemDirections_56fd7267122380.43790887_0_0"	"PISA_fra-CAN_REA_R544-Tesla_fr18_MS2022.xlf"
"1042"	"is 10 years old&lt;br /&gt; And will reimburse you up to £"	"a 10 ans&lt;br /&gt; Et vous rembourse jusqu’à"	"R466_stimulus_line1_50c7c8f8c05bd8.32773502_0"	"PISA_fra-CAN_REA_R466-WorkRight_en15_MS2022.xlf"
"889"	"&lt;b&gt;Chocolate and Health&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Le chocolat et la santé&lt;/b&gt;&lt;br /&gt; Question"	"R455_question_itemTitle_50c7ba79202786.13275572_0"	"PISA_fra-CAN_REA_R455-ChocolateAndHealth_en15_MS2022.xlf"
"1072"	"GENERAL TERMS OF THE 10 YEARS £100 OFFER&lt;br /&gt; 1.  The promotion excludes wholesalers and retailers who sell this range of products. 2.  The offer only concerns the following ranges of Work Right products: Stationery, print and promotion products, technology supplies. Any other range of Work Right products is excluded from the offer, in particular furniture products."	"CONDITIONS GÉNÉRALES DE L’OFFRE 10 ANS - 100 $&lt;br /&gt; 1.  Cette promotion n’est pas ouverte aux grossistes et détaillants qui vendent cette gamme de produits.  2. L’offre porte uniquement sur les gammes de produits O-Buro suivantes : papeterie, matériel d’impression et de promotion, produits informatiques. Sont exclues de l’offre toutes les autres gammes de produits O-Buro, dont celle du mobilier."	"R466_stimulus_section4_50c7c8f8c0d578.49703450_0"	"PISA_fra-CAN_REA_R466-WorkRight_en15_MS2022.xlf"
"4940"	"Site web"	"Site Web"	"R566_Stimulus03_stimulus3_6_56fc78e0dd0e13.92768069_0"	"PISA_fra-CAN_REA_R566-SkelligRocks_fr18_MS2022.xlf"
"301"	"T"	"J"	"R219_stimulus_stimulus_7_50c7b727625724.63964402_0"	"PISA_fra-CAN_REA_R219-Employment_en15_MS2022.xlf"
"5133"	"Pour répondre à la question, cliquez sur l’un des choix de réponse puis tapez votre explication."	"Pour répondre à la question, cliquez sur l’un des choix de réponse, puis tapez votre explication."	"R566_question09_q09itemDirections_56fc78e105f952.89206178_1_0"	"PISA_fra-CAN_REA_R566-SkelligRocks_fr18_MS2022.xlf"
"1329"	"Référez-vous à la page web à droite."	"Référez-vous à la page Web à droite."	"Q05_question_Q05itemDirections_56fc7928745fc3.59393736_0_0"	"PISA_fra-CAN_REA_R541-Plastic_fr18_MS2022.xlf"
"1700"	"&lt;i&gt;Référez-vous aux informations fournies sous  « Alfred Bernhard Nobel » à droite."	"&lt;i&gt;Référez-vous aux informations fournies sous  « Alfred Bernhard Nobel » à droite. Tapez votre réponse à la question."	"R543_question4_itemDirections_56fc7928ddd920.05816967_0_0"	"PISA_fra-CAN_REA_R543-Nobel_fr18_MS2022.xlf"
