"Segment"	"en-ZZ"	"az-QZ"	"ID"	"File"
"5024"	"Click a choice to answer the question."	"Sonra NÖVBƏTİ oxunu basın."	"R566_question06_q06itemDirections_56fc786b8a1669.36610157_1_0"	"PISA_aze-QAZ_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5861"	"&lt;b&gt;The Favour&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt; Xahiş&lt;/b&gt;&lt;br /&gt;"	"q00b-body_itemTitle00b_56fc787975ab49.86902513_0"	"PISA_aze-QAZ_REA_R570-TheFavour_en18_MS2022.xlf"
"4946"	"Read the information below."	"Girişi oxuyun."	"q00c-body_q00c-itemDirections_56fc786b7db3f5.52043399_0_0"	"PISA_aze-QAZ_REA_R566-SkelligRocks_en18_MS2022.xlf"
"4327"	"Culture &amp; Events"	"&amp;bull;	Mədəniyyət və Tədbirlər"	"R563-stimulus-communtity_stimulus_culture_community_4_56fc786b34e3a0.79001709_0"	"PISA_aze-QAZ_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"2216"	"Click on a choice to answer the question.&lt;/i&gt;"	"Suala cavab vermək üçün düyməni seçdiyiniz variantın üzərində sıxın. &lt;/i&gt;"	"R547_question01_itemDirections_56fc782e08b391.57814376_1_0"	"PISA_aze-QAZ_REA_R547-BookSurvey_en18_MS2022.xlf"
"2050"	"&lt;b&gt;Machu Picchu&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Maçu Piçu &lt;/b&gt;&lt;br /&gt;"	"R545_question04_Q04itemTitle_56fc7821af0cd6.64888567_0_0"	"PISA_aze-QAZ_REA_R545-MachuPicchu_en18_MS2022.xlf"
"4381"	"About Us"	"Haqqımızda"	"R563-stimulus-communtity_stimulus_culture_sports_5_56fc786b3809e6.65774760_0"	"PISA_aze-QAZ_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5180"	"Give one example."	"Bir nümunə göstərin."	"R567_question03_q03p2_56fc78790e6a67.23961686_0"	"PISA_aze-QAZ_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5536"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Hər fikir üçün &lt;b&gt;Bəli&lt;/b&gt; və ya &lt;b&gt;Xeyr&lt;/b&gt; düyməsinə sıxın."	"R568_question07_q07p1_56fc784aab9828.09212164_1_0"	"PISA_aze-QAZ_REA_R568-SpaceDebris_en18_MS2022.xlf"
"1182"	"&lt;b&gt;Plastic&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt; Plastik&lt;/b&gt;&lt;br /&gt;"	"Q02_question_Q02itemTitle_56fc7820cebc10.22922893_0_0"	"PISA_aze-QAZ_REA_R541-Plastic_en18_MS2022.xlf"
"5057"	"✓ &lt;i&gt;Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes.&lt;/i&gt;"	"&amp;check; &lt;i&gt;&lt;b&gt;Bir və ya daha çox &lt;/b&gt; bəndi seçməyi unutmayın.&lt;/i&gt;"	"R566_question08_q08p2_56fc786b8e20a7.54435316_0"	"PISA_aze-QAZ_REA_R566-SkelligRocks_en18_MS2022.xlf"
"4068"	"Type your answer to the question."	"Suala cavab vermək üçün seçiminizə vurun və cavabınızı yazılı izah edin."	"R561_question02_q02itemDirections_56fc785d28cac5.31556981_1_0"	"PISA_aze-QAZ_REA_R561-OlympicFlag_en18_MS2022.xlf"
"2202"	"Click on a choice to answer the question.&lt;/i&gt;"	"Suala cavab vermək üçün düyməni seçdiyiniz variantın üzərində sıxın. &lt;/i&gt;"	"R547_question2_itemDirections_56fc782e072020.06902189_1_0"	"PISA_aze-QAZ_REA_R547-BookSurvey_en18_MS2022.xlf"
"6093"	"Then click on the NEXT arrow."	"Sonra NÖVBƏTI oxunu basın."	"q0cR590_question_q0citemDirections_56fd2311163946.15922865_1_0"	"PISA_aze-QAZ_REA_R590-Sentences01_en18_MS2022.xlf"
"1875"	"Click on a choice to answer the question.&lt;/i&gt;"	"Suala cavab vermək üçün düyməni seçdiyiniz variantın üzərində sıxın. &lt;/i&gt;"	"R544_question_itemDirections_56fc7821795366.48145010_1_0"	"PISA_aze-QAZ_REA_R544-Tesla_en18_MS2022.xlf"
"2250"	"Click on a choice to answer the question.&lt;/i&gt;"	"Suala cavab vermək üçün düyməni seçdiyiniz variantın üzərində sıxın. &lt;/i&gt;"	"R547_question6_itemDirections_56fc782e0d8454.46459147_1_0"	"PISA_aze-QAZ_REA_R547-BookSurvey_en18_MS2022.xlf"
"1247"	"False"	"Yanlış"	"Q07_question_tr1th3_56fc7820d48d81.68230758_0"	"PISA_aze-QAZ_REA_R541-Plastic_en18_MS2022.xlf"
"2863"	"&lt;b&gt;From:&lt;/b&gt; Pierre"	"&lt;b&gt;Göndərən:&lt;/b&gt; Pyer"	"pg1_stimulus_pg1-li3-2_56fd7942571da5.87356752_0"	"PISA_aze-QAZ_REA_R552-FestiRock_en18_MS2022.xlf"
"5923"	"Click on the choices in the table to answer the question."	"Suala cavab vermək üçün düyməni seçdiyiniz variantın üzərində sıxın."	"R570_question04_q04itemDirections_56fc78797ba5c3.15040997_1_0"	"PISA_aze-QAZ_REA_R570-TheFavour_en18_MS2022.xlf"
"3483"	"Web Search"	"İnternet şəbəkəsində axtarış"	"R558_stimulus3_spgh1_56fc786b02eed0.64758830_0"	"PISA_aze-QAZ_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"3417"	"Click on a choice to answer the question.&lt;/i&gt;"	"Suala cavab vermək üçün düyməni seçdiyiniz variantın üzərində sıxın. &lt;/i&gt;"	"R556_question8_itemDirections_56fc783adbd281.82516807_1_0"	"PISA_aze-QAZ_REA_R556-Microlending_en18_MS2022.xlf"
"4492"	"About Us"	"Haqqımızda"	"R563_question05_question05_6_56fc786b440c44.64641158_0"	"PISA_aze-QAZ_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"6108"	"&lt;i&gt;Read the information below."	"Aşağıdakı məlumatı oxuyun."	"q00body_q00itemDirections_56fd23111a5057.38756393_0_0"	"PISA_aze-QAZ_REA_R590-Sentences01_en18_MS2022.xlf"
"1380"	"Yes, that’s my plan, but I’m more interested in the tutoring post..."	"Hə, bu mənim planımda var, lakin indi daha çox repetitor məsələsi ilə maraqlanıram."	"Q01R542_question_Convp7_56fc782106bb52.01850166_1_0"	"PISA_aze-QAZ_REA_R542-BulletinBoard_en18_MS2022.xlf"
"458"	"On 14 December 1911, Amundsen and his companions reached the legendary 90°. On 25 January 1912, the victorious team was back at Framheim, the return journey completed in 97 days."	"14 dekabr 1911-ci ildə Amundsen və onun yoldaşları əfsanəvi 90-cı dərəcəyə çat - dılar. 25 yanvar 1912-ci ildə müzəffər komanda Framheymə qayıtdı. Geriyə səyahət 97 gün sürdü."	"R220_stimulus_p4_56d724d382ab13.52594760_0"	"PISA_aze-QAZ_REA_R220-SouthPole_en18_MS2022.xlf"
"5040"	"✓ &lt;i&gt;Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes.&lt;/i&gt;"	"&amp;check; &lt;i&gt;&lt;b&gt;Bir və ya daha çox&lt;/b&gt; bəndi seçməyi unutmayın.&lt;/i&gt;"	"R566_question07_q07p2_56fc786b8be128.35981027_0"	"PISA_aze-QAZ_REA_R566-SkelligRocks_en18_MS2022.xlf"
"956"	"&lt;b&gt;1/ Buy&lt;/b&gt; one or more Work Right products* on the same day from your usual retailer between 15th December  and 31st January:&lt;br /&gt;"	"&lt;b&gt;1/ Dekabrın 15-dən yanvarın 31-ə kimi&lt;/b&gt; istənilən gün satış məntəqəsindən 1 və ya daha artıq ofis məhsulları alın.&lt;br /&gt;"	"R466_stimulus_section2_56d724d64aef04.77017948_0"	"PISA_aze-QAZ_REA_R466-WorkRight_en18_MS2022.xlf"
"455"	"On 1 June 1910, on an old Scottish whaler, the Terra Nova, the party of the Englishman (sixty-five men, seventeen ponies and thirty dogs) set out from the continent of Europe. Preparations had taken nearly a year. The expedition had a dual purpose: to carry out a scientific research programme and also, of course, to conquer the South Pole. Suddenly, Scott was to discover a formidable rival, Norwegian Roald Amundsen."	"1 iyun 1910-cu ildə Şotlandiyanın &quot;Terra Nova&quot; adlı köhnə balina ovlayan gə - mi - sində bir qrup ingiltərəli (altmış beş nəfər insan, on yeddi poni və otuz it) Avropa qitə - sindən yola düşdü. Bu səfərə hazırlıq təxminən bir il vaxt aparmışdı. Ekspedisiyanın ikili məqsədi var idi: elmi tədqiqat proqramını həyata keçirmək və eyni zamanda, Cənub Qütbünü fəth etmək. Gözlənilmədən Skot özünün Norveçli Roald Amundsen kimi təhlükəli rəqibi olduğunu aşkar etdi."	"R220_stimulus_p1_56d724d3829e79.97428449_0"	"PISA_aze-QAZ_REA_R220-SouthPole_en18_MS2022.xlf"
