"Segment"	"en-ZZ"	"he-IL"	"ID"	"File"
"1375"	"Canada"	"ארצות הברית"	"M955_stimulus_tr4td1_50c790b74d5542.14337839_0"	"PISA_heb-ISR_MAT_M955-Migration_en15_MS2022.xlf"
"1378"	"China"	"ברזיל"	"M955_stimulus_tr5td1_50c790b74d60d3.38126780_0"	"PISA_heb-ISR_MAT_M955-Migration_en15_MS2022.xlf"
"1033"	"D"	"ד"	"M939_stimulus_label7_5c9d20c9a72ae6.49724453_0"	"PISA_heb-ISR_MAT_M939-Racing_en21_MS2022.xlf"
"1031"	"B"	"ב"	"M939_stimulus_label5_5c9d20c9a72959.78629404_0"	"PISA_heb-ISR_MAT_M939-Racing_en21_MS2022.xlf"
"917"	"2000"	"2,000"	"Q1M915_question_label11_50c78dae5a8935.07717979_0"	"PISA_heb-ISR_MAT_M915-CarbonTax_en15_MS2022.xlf"
"1569"	"&lt;b&gt;Spacers&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;מְרַווחים&lt;/b&gt;&lt;br /&gt; שאלה"	"Q2M992_question_Q2itemTitle_50c79fc335d8d2.72310938_0"	"PISA_heb-ISR_MAT_M992-Spacers_en15_MS2022.xlf"
"462"	"&lt;i&gt;Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;הקלידו את תשובתכם לשאלה בעזרת מקשי המספרים.&lt;/i&gt;"	"Q1M464_question_Q1itemDirections_50c7a51a9b4189.87977040_0"	"PISA_heb-ISR_MAT_M464-Fence_en15_MS2022.xlf"
"861"	"330 zeds"	"330 זדים"	"Q2M909_question_question2_4_50c79d61bb4c73.07082785_0"	"PISA_heb-ISR_MAT_M909-SpeedingFines_en15_MS2022.xlf"
"629"	"&lt;b&gt;Number Check&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;בקרה על מספר&lt;/b&gt;&lt;br /&gt; שאלה"	"Q2M603_question_Q2itemTitle_50c7864b492ee3.43242571_0"	"PISA_heb-ISR_MAT_M603-NumberCheck_en15_MS2022.xlf"
"333"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each of the statements below.&lt;br /&gt;"	"סמנו &lt;b&gt;נכון&lt;/b&gt; או &lt;b&gt;לא נכון&lt;/b&gt; בהתייחס לכל אחד מהמשפטים הבאים:&lt;br /&gt;"	"Q1M420_question_Q1itemStem_50c7792f8a9cb6.24841180_0"	"PISA_heb-ISR_MAT_M420-Transport_en15_MS2022.xlf"
"73"	"&lt;br /&gt; &lt;br /&gt; Show how you found your answer.&lt;br /&gt;"	"&lt;br /&gt; &lt;br /&gt; הראו כיצד הגעתם לפתרון.&lt;br /&gt;"	"Q3M155_question_Q3itemStem_50c7a1f82cafc2.19731104_0"	"PISA_heb-ISR_MAT_M155-PopulationPyramids_en15_MS2022.xlf"
"887"	"110 zeds"	"110 זדים"	"M909_stimulus_t1tr5td2_50c79d61bf3e54.56066252_0"	"PISA_heb-ISR_MAT_M909-SpeedingFines_en15_MS2022.xlf"
"1576"	"&lt;b&gt;Spacers&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;מְרווחים&lt;/b&gt;&lt;br /&gt; שאלה"	"Q3M992_question_Q3itemTitle_50c79fc33716c1.85436070_0"	"PISA_heb-ISR_MAT_M992-Spacers_en15_MS2022.xlf"
"1030"	"A"	"א"	"M939_stimulus_label4_5c9d20c9a72893.35708408_0"	"PISA_heb-ISR_MAT_M939-Racing_en21_MS2022.xlf"
"1032"	"C"	"ג"	"M939_stimulus_label6_5c9d20c9a72a10.26747370_0"	"PISA_heb-ISR_MAT_M939-Racing_en21_MS2022.xlf"
