"Segment"	"en-ZZ"	"fr-CA"	"ID"	"File"
"261"	"Density"	"Densité"	"S413_question3_q3t3tr3td1_50ec424cb78f33.52307494_0"	"PISA_fra-CAN_SCI_S413-PlasticAge_en15_MS2022.xlf"
"1445"	"S608 Ammonoids"	"S608 Ammonites"	"S608_stimulus2_unknownID_515e341da93d22.01058093_0"	"PISA_fra-CAN_SCI_S608-Ammonoids_fr15_MS2022.xlf"
"776"	"&lt;b&gt;Development and Disaster&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Aménagement et catastrophes&lt;/b&gt;&lt;br /&gt; Question"	"S514_question3_itemTitle3_50ed29e544c419.82247796_0"	"PISA_fra-CAN_SCI_S514-DevelopmentAndDisaster_en15_MS2022.xlf"
"764"	"&lt;b&gt;Development and Disaster&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Aménagement et catastrophes&lt;/b&gt;&lt;br /&gt; Question"	"S514_question2_itemTitle2_50ed29e5432d85.86315216_0"	"PISA_fra-CAN_SCI_S514-DevelopmentAndDisaster_en15_MS2022.xlf"
"1671"	"2500"	"2 500"	"S620_Q2_yq21_51730583e8ae70.01237164_0"	"PISA_fra-CAN_SCI_S620-Tornadoes_fr15_MS2022.xlf"
"645"	"Bacteria"	"Les bactéries."	"S478_question1_question1_3_50ed1d81c2c0e0.81140908_0"	"PISA_fra-CAN_SCI_S478-Antibiotics_en15_MS2022.xlf"
"2788"	"Pour voir comment fonctionnent les différentes commandes utilisées dans cette simulation, suivez ces étapes :"	"Pour voir comment fonctionnent les différentes commandes utilisées dans cette simulation, suivez ces étapes:"	"question1_1_q01p2_51940c2af38010.87579613_0"	"PISA_fra-CAN_SCI_S646-Nanoparticles_fr15_MS2022.xlf"
"1673"	"1500"	"1 500"	"S620_Q2_yq23_51730583e8b4d4.92536164_0"	"PISA_fra-CAN_SCI_S620-Tornadoes_fr15_MS2022.xlf"
"2775"	"Pour exécuter cette simulation, vous pouvez utiliser les commandes suivantes :"	"Pour exécuter cette simulation, vous pouvez utiliser les commandes suivantes:"	"menu_1_menuP2_51940c2af0a8e2.13754003_0"	"PISA_fra-CAN_SCI_S646-Nanoparticles_fr15_MS2022.xlf"
"272"	"Density"	"Densité"	"S413_question3_q3t4tr3td1_50ec424cb7c573.25481362_0"	"PISA_fra-CAN_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2550"	"S629 Solar Cooker"	"S638 Déversements de pétrole"	"S629_stimulus0_unknownID_5180500f5dfcb0.57361205_0"	"PISA_fra-CAN_SCI_S638-OilSpills_fr15_MS2022.xlf"
