"Segment"	"en-ZZ"	"es-SV"	"ID"	"File"
"1545"	"&lt;b&gt;Comprendre les tsunamis&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Comprender los tsunamis&lt;/b&gt;&lt;br /&gt; Pregunta"	"question6_1_itemTitle06_5193d4743919a7.94625425_0"	"PISA_esp-SLV_SCI_S615-Tsunami_fr15_MS2022.xlf"
"1614"	"Mai"	"May"	"S620_Q2_xq25_51730583e8d6c3.65245455_0"	"PISA_esp-SLV_SCI_S620-Tornadoes_fr15_MS2022.xlf"
"781"	"The provision of assistance to victims of natural disasters"	"El suministro de ayuda a víctimas de desastres naturales"	"S514_question3_tr4td1_50ed2967cbb7e9.81118868_0"	"PISA_esp-SLV_SCI_S514-DevelopmentAndDisaster_en15_MS2022.xlf"
"2109"	"Supprimer une ligne de données pour exécuter une nouvelle simulation."	"Eliminar un renglón de datos para ejecutar una nueva simulación."	"js_translation_deleteMsg_51940bdd960496.54778025_0"	"PISA_esp-SLV_SCI_S635-SaveTheFish_fr15_MS2022.xlf"
"1513"	"&lt;b&gt;Comprendre les tsunamis&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Comprender los tsunamis&lt;/b&gt;&lt;br /&gt; Pregunta"	"question3_1_itemTitle03_5193d47432f118.14493948_0"	"PISA_esp-SLV_SCI_S615-Tsunami_fr15_MS2022.xlf"
"2617"	"Pour supprimer une ligne de données, cliquez sur le bouton « Supprimer » à côté de cette ligne. &lt;br /&gt;"	"Para eliminar cualquier renglón de datos, da clic en el botón “Borrar” que está al lado del renglón. &lt;br /&gt;"	"menu_1_menuP4_51940c2af0bf00.14568354_0"	"PISA_esp-SLV_SCI_S646-Nanoparticles_fr15_MS2022.xlf"
"1969"	"Le bouton « Exécuter » pour afficher les résultats."	"Botón &quot;Ejecutar&quot; para mostrar los resultados."	"menu_1_aMenuLi2_5193fe2e052d66.30401215_0"	"PISA_esp-SLV_SCI_S634-Vaccination_fr15_MS2022.xlf"
"1327"	"Birds and Caterpillars Introduction"	"Pájaros y orugas Introducción"	"S607_stimulus1_attr_alt_attr_stimulus1_4_51730583b90805.56036077_0"	"PISA_esp-SLV_SCI_S607-BirdsAndCaterpillars_fr15_MS2022.xlf"
"2625"	"Pour voir comment fonctionnent les différentes commandes utilisées dans cette simulation, suivez ces étapes :"	"Para ver cómo funcionan los controles de la simulación sigue estos pasos:"	"question1_1_q01p2_51940c2af38010.87579613_0"	"PISA_esp-SLV_SCI_S646-Nanoparticles_fr15_MS2022.xlf"
"2185"	"Pour sélectionner une ligne de données afin de répondre à une question, cliquez n'importe où sur la ligne. La ou les lignes sélectionnées seront marquées d'une étoile. &lt;br /&gt;"	"Para seleccionar cualquier renglón de datos que responda a la pregunta, da clic en el renglón. El o los renglones seleccionados  quedarán marcados con una estrella. &lt;br /&gt;"	"menu_1_menu_3_51940bdd9a0af2.26110027_0"	"PISA_esp-SLV_SCI_S635-SaveTheFish_fr15_MS2022.xlf"
"2649"	"&lt;i&gt;Exécutez la simulation pour recueillir des données en vous basant sur les informations fournies ci-dessous. Pour répondre à la question, cliquez sur l'un des choix de réponse.&lt;/i&gt;"	"&lt;i&gt;Ejecuta la simulación para obtener datos basados en la información que está a continuación. Para responder a la pregunta, selecciona una opción.&lt;/i&gt;"	"question4_1_itemDirections04_51940c2b054e00.32818573_0"	"PISA_esp-SLV_SCI_S646-Nanoparticles_fr15_MS2022.xlf"
"1326"	"Birds and Caterpillars Introduction"	"Pájaros y orugas Introducción"	"S607_stimulus1_attr_alt_attr_stimulus1_3_51730583b906a0.52598118_0"	"PISA_esp-SLV_SCI_S607-BirdsAndCaterpillars_fr15_MS2022.xlf"
"1615"	"Juin"	"Jun"	"S620_Q2_xq26_51730583e8d984.55471758_0"	"PISA_esp-SLV_SCI_S620-Tornadoes_fr15_MS2022.xlf"
"2084"	"&lt;i&gt;Pour répondre à la question, cliquez sur une ou plusieurs cases.&lt;/i&gt;"	"&lt;i&gt;Para responder a la pregunta, selecciona una o más opciones. &lt;/i&gt;"	"CS634_Q05_itemDirections5_5193fe2e13f6f8.89805559_0"	"PISA_esp-SLV_SCI_S634-Vaccination_fr15_MS2022.xlf"
"2618"	"Pour sélectionner une ligne de données afin de répondre à une question, cliquez n'importe où sur la ligne. La ou les lignes sélectionnées seront marquées d'une étoile."	"Para seleccionar un renglón de datos que responda a la pregunta, da clic en el renglón. El o los renglones quedarán marcados con una estrella."	"menu_1_menuP5_51940c2af0c320.23628403_0"	"PISA_esp-SLV_SCI_S646-Nanoparticles_fr15_MS2022.xlf"
"2397"	"S629 Solar Cooker"	"S638 Derrames de petróleo"	"S629_stimulus0_unknownID_5180500f5dfcb0.57361205_0"	"PISA_esp-SLV_SCI_S638-OilSpills_fr15_MS2022.xlf"
"2775"	"Mars"	"Marte"	"S648_stimulus1_le3_517304a6246186.53866235_0"	"PISA_esp-SLV_SCI_S648-HabitableZone_fr15_MS2022.xlf"
"2674"	"&lt;i&gt;Pour cette question, vous n’avez pas besoin d’utiliser la simulation. Pour répondre à la question, cliquez sur l’un des choix de réponse puis tapez votre explication.&lt;/i&gt;"	"&lt;i&gt;Para esta pregunta, no tienes que usar la simulación. Para responderla, selecciona una opción y después escribe tu explicación.&lt;/i&gt;"	"question6_1_itemDirections06_51940c2b0bbec8.48107131_0"	"PISA_esp-SLV_SCI_S646-Nanoparticles_fr15_MS2022.xlf"
"2631"	"&lt;i&gt;Exécutez la simulation pour recueillir des données en vous basant sur les informations fournies ci-dessous. Pour répondre à la question, cliquez sur l'un des choix de réponse.&lt;/i&gt;"	"&lt;i&gt;Ejecuta la simulación para obtener datos basados en la información que está a continuación. Para responder a la pregunta, selecciona una opción.&lt;/i&gt;"	"question2_1_itemDirections02_51940c2b012ef3.67556001_0"	"PISA_esp-SLV_SCI_S646-Nanoparticles_fr15_MS2022.xlf"
"1997"	"&lt;i&gt;Exécutez la simulation pour recueillir des données en vous basant sur les informations fournies ci-dessous. Pour répondre à la question, cliquez sur une ou plusieurs cases.&lt;/i&gt;"	"&lt;i&gt;Ejecuta la simulación para obtener datos basados en la información que está a continuación. Para responder a la pregunta, selecciona una o más opciones.&lt;/i&gt;"	"question1_1_itemDirections01_5193fe2e0ae068.29636377_0"	"PISA_esp-SLV_SCI_S634-Vaccination_fr15_MS2022.xlf"
"2182"	"Le bouton « Exécuter » pour afficher les résultats."	"Botón &quot;Ejecutar&quot; para mostrar los resultados."	"menu_1_menuLi3_51940bdd99fbd4.02138962_0"	"PISA_esp-SLV_SCI_S635-SaveTheFish_fr15_MS2022.xlf"
"1111"	"Expliquez pourquoi.&lt;br /&gt;"	"Explica por qué.&lt;br /&gt;"	"S604_question4_q45_51804f1f878259.64856384_0"	"PISA_esp-SLV_SCI_S604-WaterFromFog_fr15_MS2022.xlf"
"1186"	"L'énergie géothermique"	"Energía geotérmica"	"S605_stimulus1_attr_alt_attr_stimulus1_1_515e341d98bd36.52162529_0"	"PISA_esp-SLV_SCI_S605-GeothermalEnergy_fr15_MS2022.xlf"
"1188"	"L'énergie géothermique"	"Energía geotérmica"	"S605_stimulus2_title2_515e341d9a84a9.67478524_0"	"PISA_esp-SLV_SCI_S605-GeothermalEnergy_fr15_MS2022.xlf"
