"Segment"	"en-ZZ"	"ru-MD"	"ID"	"File"
"2290"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Для ответа на вопрос отметьте в таблице нужные варианты ответа.&lt;/i&gt;"	"R544_question13_itemDirections_56fc7821777325.89058352_1_0"	"PISA_rus-MDA_REA_R544-Tesla_en18_MS2022.xlf"
"1486"	"The offer only concerns the following ranges of Work Right products: Stationery, print and promotion products, technology supplies."	"2. Предложение распространяется только на следующие товары, предлагаемые «Идеальным офисом» : канцелярские товары, картриджи, комплектующие, офисная техника."	"R466_stimulus_section4_5c3f627f16a9c9.30479496_5_0"	"PISA_rus-MDA_REA_R466-WorkRight_en21_MS2022.xlf"
"4905"	"Web Search"	"Поиск в Интернете"	"R566_stimulus02_pg02h1_56fc786b739df1.59155193_0"	"PISA_rus-MDA_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5799"	"Click on the NEXT arrow to read the story."	"Чтобы прочитать сказку, нажмите на стрелку ДАЛЕЕ."	"q00c-body_q00c-p2_56fc787976c2f9.32730316_0"	"PISA_rus-MDA_REA_R570-TheFavour_en18_MS2022.xlf"
"3834"	"Type your answer to the question.&lt;/i&gt;"	"Запишите свой ответ на вопрос.&lt;/i&gt;"	"R558_question4_itemDirections_56fc786b0c9040.22539487_1_0"	"PISA_rus-MDA_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"5689"	"Cans"	"Банки из-под напитков"	"q4R569_question_question04_3_56fc787951f3d9.01263757_0"	"PISA_rus-MDA_REA_R569-TheCleanup_en18_MS2022.xlf"
"3046"	"General Information"	"Общие сведения"	"R550_tours_tours_l2_56fc785cd3a437.22088880_0"	"PISA_rus-MDA_REA_R550-CliffPalace_en18_MS2022.xlf"
"5479"	"Refer to the Web Search on the right."	"Воспользуйтесь страницей «Поиск в Интернете», расположенной справа."	"R568_question05_q05itemDirections_56fc784aa8cd49.98790140_0_0"	"PISA_rus-MDA_REA_R568-SpaceDebris_en18_MS2022.xlf"
"2962"	"Ancestral Puebloans"	"Предки пуэбло"	"R550_cliff_palace_cp_l4_56fc785ccaf904.58193490_0"	"PISA_rus-MDA_REA_R550-CliffPalace_en18_MS2022.xlf"
"1761"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Отметьте &lt;b&gt;«Верно»&lt;/b&gt; или &lt;b&gt;«Неверно»&lt;/b&gt; для каждого утверждения."	"Q07_question_Q07p2_56fc7820d48153.65791538_1_0"	"PISA_rus-MDA_REA_R541-Plastic_en18_MS2022.xlf"
"5126"	"Web Search"	"Поиск в Интернете"	"R567_stimulus3_pg03h1_56fc7879075bd6.57758343_0"	"PISA_rus-MDA_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"616"	"&lt;b&gt;SOUTH POLE - Document 1&lt;/b&gt;"	"&lt;b&gt;ЮЖНЫЙ ПОЛЮС - Документ 1&lt;/b&gt;"	"R220_stimulus_title_5c3f62736c3369.97156802_0"	"PISA_rus-MDA_REA_R220-SouthPole_en21_MS2022.xlf"
"4575"	"Refer to the different webpages of the website on the right."	"Воспользуйтесь текстами различных веб-страниц веб-сайта, расположенными справа."	"R563_question02_q02itemDirections_56fc786b3ef669.06586663_0_0"	"PISA_rus-MDA_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5836"	"Click on the choices in the table to answer the question."	"Для ответа на вопрос отметьте в таблице нужные варианты ответа."	"R570_question04_q04itemDirections_56fc78797ba5c3.15040997_1_0"	"PISA_rus-MDA_REA_R570-TheFavour_en18_MS2022.xlf"
"1431"	"."	"лей."	"R466_stimulus_line5_5c3f627f168187.97895610_0_0"	"PISA_rus-MDA_REA_R466-WorkRight_en21_MS2022.xlf"
