"Segment"	"en-ZZ"	"es-CL"	"ID"	"File"
"5441"	"Web Search"	"Búsqueda en Internet"	"R568_stimulus4_pg04h1_56fc784a9ffbb6.57025971_0"	"PISA_esp-CHL_REA_R568-SpaceDebris_en18_MS2022.xlf"
"520"	"continuous&lt;br /&gt;daylight"	"Luz de día&lt;br /&gt;continua"	"R220_stimulus_label7_50c7c0c2542d68.79452385_0"	"PISA_esp-CHL_REA_R220-SouthPole_en15_MS2022.xlf"
"5250"	"Refer to “What is a Smokejumper?” on the right."	"Consulta  &quot;¿Qué es un bombero paracaidista?&quot; a la derecha."	"R567_question04_q04itemDirections_56fc78790f8a73.23597526_0_0"	"PISA_esp-CHL_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4942"	"Website"	"Sitio Web"	"R566_Stimulus03_stimulus3_6_56fc786b74d361.28053469_0"	"PISA_esp-CHL_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5844"	"Click on a choice and then type an explanation to answer the question."	"Haz clic en una alternativa y después escribe una explicación para responder la pregunta."	"q7R569_question_q7itemDirections_56fc7879565396.04415883_1_0"	"PISA_esp-CHL_REA_R569-TheCleanup_en18_MS2022.xlf"
"3218"	"Then click on the NEXT arrow.&lt;/i&gt;"	"A continuación, haz clic en la flecha SIGUIENTE.&lt;/i&gt;."	"question00b_1_itemDirections0b_56fc784a5b0b61.65001921_1_0"	"PISA_esp-CHL_REA_R553-HealthForum_en18_MS2022.xlf"
"493"	"Amundsen wanted victory at the South Pole. On 14 January 1911, he disembarked in the Antarctic, in the Bay of Whales. He prepared to spend the winter with eight companions and 116 dogs at Framheim, a base built on the Ross Barrier. On 20 October 1911, Amundsen and four of his men set out from Framheim to conquer the South Pole with twelve dogs per sledge. On 17 November, at around 85° South, they reached the foot of a chain of mountains, the Transantarctic Chain, and would now have to find a way across. They then began a terrifying climb up a glacier, the Axel Heiberg, full of crevasses."	"Amundsen quería la victoria en el Polo Sur. El 14 de enero de 1911, desembarcó en la Antártida, en la Bahía de las Ballenas. Se preparó para pasar el invierno con ocho compañeros y 116 perros en Framheim, una base construida en la Barrera de Ross. El 20 de octubre de 1911, Amundsen y cuatro de sus hombres abandonaron Framheim para conquistar el Polo Sur, con doce perros por trineo. El 17 de noviembre, aproximadamente a 85º   Sur, llegaron al pie de un cordón cordillerano, el Cordón Transantártico, y en ese momento, tuvieron que buscar un camino para cruzarlo. Entonces, empezaron la terrible escalada de un glaciar, el Axel Heiberg, lleno de grietas."	"R220_stimulus_p2_50c7c0c2517422.92851805_0"	"PISA_esp-CHL_REA_R220-SouthPole_en15_MS2022.xlf"
"588"	"continuous&lt;br /&gt;daylight"	"Luz de día&lt;br /&gt;continua"	"R220_stimulus_label6_50c7c0c25b8745.41021490_0"	"PISA_esp-CHL_REA_R220-SouthPole_en15_MS2022.xlf"
"567"	"&lt;b&gt;SOUTH POLE - Document 1&lt;/b&gt;"	"&lt;b&gt;POLO SUR - DOCUMENTO 1&lt;/b&gt;"	"R220_stimulus_title_50c7c0c25851f3.76511767_0"	"PISA_esp-CHL_REA_R220-SouthPole_en15_MS2022.xlf"
"1843"	"Then click on the NEXT arrow.&lt;/i&gt;"	"A continuación, haz clic en la flecha SIGUIENTE.&lt;/i&gt;"	"question0a_1_itemDirections00_56fc782164e353.11298372_1_0"	"PISA_esp-CHL_REA_R544-Tesla_en18_MS2022.xlf"
"5267"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Haz clic en &lt;b&gt;Verdadera&lt;/b&gt; o &lt;b&gt;Falsa&lt;/b&gt; en cada afirmación."	"R567_question05_q05p1_56fc787910f162.59215709_1_0"	"PISA_esp-CHL_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5602"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Haz clic en &lt;b&gt;Sí&lt;/b&gt; o &lt;b&gt;No&lt;/b&gt; en cada afirmación."	"R568_question07_q07p1_56fc784aab9828.09212164_1_0"	"PISA_esp-CHL_REA_R568-SpaceDebris_en18_MS2022.xlf"
"3123"	"Click on a choice and then type an explanation to answer the question."	"Haz clic en una alternativa y a continuación escribe una explicación para responder la pregunta."	"R552_question08_q08itemDirections_56fd79426a23e6.65077049_1_0"	"PISA_esp-CHL_REA_R552-FestiRock_en18_MS2022.xlf"
"4944"	"Website"	"Sitio Web"	"R566_Stimulus04_stimulus4_6_56fc786b7611d9.06257189_0"	"PISA_esp-CHL_REA_R566-SkelligRocks_en18_MS2022.xlf"
"4334"	"Click on a choice and then type an explanation to answer the question."	"Haz clic en una alternativa y a continuación escribe una explicación para responder a la pregunta."	"R562_question06_q06itemDirections_56fc783b465e44.74175451_1_0"	"PISA_esp-CHL_REA_R562-OpeningNight_en18_MS2022.xlf"
"1545"	"Tutors for All"	"Clases particulares para todos"	"Q08R542_question_question8_6_56fc7821105e50.84474711_0"	"PISA_esp-CHL_REA_R542-BulletinBoard_en18_MS2022.xlf"
"3863"	"Web Search"	"Búsqueda en Internet"	"R560_stimulus_pg01h1_56fc784a758e66.84463135_0"	"PISA_esp-CHL_REA_R560-GarbagePatch_en18_MS2022.xlf"
"5296"	"Refer to the Web Search on the right."	"Consulta la búsqueda en internet a la derecha."	"R567_question07_q07itemDirections_56fc787913cff0.88321485_0_0"	"PISA_esp-CHL_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5243"	"Refer to “What is a Smokejumper?” on the right."	"Consulta  &quot;¿Qué es un bombero paracaidista?&quot; a la derecha."	"R567_question03_q03itemDirections_56fc78790e6414.00199794_0_0"	"PISA_esp-CHL_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4134"	"Type your answer to the question."	"Haz clic en una alternativa y luego escribe una explicación para responder la pregunta."	"R561_question02_q02itemDirections_56fc785d28cac5.31556981_1_0"	"PISA_esp-CHL_REA_R561-OlympicFlag_en18_MS2022.xlf"
"5286"	"Refer to the Web Search on the right."	"Consulta la búsqueda en internet a la derecha."	"R567_question06_q06itemDirections_56fc7879127de3.09243109_0_0"	"PISA_esp-CHL_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"513"	"&lt;b&gt;SOUTH POLE - Document 2&lt;/b&gt;"	"&lt;b&gt;POLO SUR - DOCUMENTO  2&lt;/b&gt;"	"R220_stimulus_title_50c7c0c25410f8.42302052_0"	"PISA_esp-CHL_REA_R220-SouthPole_en15_MS2022.xlf"
"2249"	"Then click on the Next arrow."	"A continuación, haz clic en la flecha Siguiente."	"q00bbody_question00c_1_56fc782e029172.52657575_1_0"	"PISA_esp-CHL_REA_R547-BookSurvey_en18_MS2022.xlf"
"5786"	"Park"	"Parque"	"q2R569_question_source2_56fc78794f5ed5.21217846_0"	"PISA_esp-CHL_REA_R569-TheCleanup_en18_MS2022.xlf"
"2103"	"False"	"Falsa"	"R545_question03_Q03tr1th3_56fc7821ad93b8.10756218_0"	"PISA_esp-CHL_REA_R545-MachuPicchu_en18_MS2022.xlf"
"5656"	"Click on a choice and type an explanation to answer the question."	"Haz clic en una alternativa y escribe una explicación para responder la pregunta."	"R568_question10_q10itemDirections_56fc784ab36f21.34700073_1_0"	"PISA_esp-CHL_REA_R568-SpaceDebris_en18_MS2022.xlf"
"2102"	"True"	"Verdadera"	"R545_question03_Q03tr1th2_56fc7821ad9111.87122059_0"	"PISA_esp-CHL_REA_R545-MachuPicchu_en18_MS2022.xlf"
"4167"	"True"	"Verdadera"	"R561_question04_q04tr1th2_56fc785d2bc6f9.19184840_0"	"PISA_esp-CHL_REA_R561-OlympicFlag_en18_MS2022.xlf"
"5269"	"True"	"Verdadera"	"R567_question05_q05tr1th2_56fc787910f8b1.79894974_0"	"PISA_esp-CHL_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5655"	"Refer to both sources on the right by clicking on each of the tabs."	"Consulta las dos fuentes a la derecha haciendo clic en cada pestaña."	"R568_question10_q10itemDirections_56fc784ab36f21.34700073_0_0"	"PISA_esp-CHL_REA_R568-SpaceDebris_en18_MS2022.xlf"
"519"	"continuous&lt;br /&gt;daylight"	"Luz de día&lt;br /&gt;continua"	"R220_stimulus_label6_50c7c0c2542793.65750600_0"	"PISA_esp-CHL_REA_R220-SouthPole_en15_MS2022.xlf"
"2101"	"Is the statement true or false?"	"Según el folleto, ¿la afirmación es verdadera o falsa?"	"R545_question03_Q03tr1th1_56fc7821ad8e59.97792072_0"	"PISA_esp-CHL_REA_R545-MachuPicchu_en18_MS2022.xlf"
"304"	"S"	"D"	"R219_stimulus_stimulus_10_50c7b7f7228f57.50519598_0"	"PISA_esp-CHL_REA_R219-Employment_en15_MS2022.xlf"
"488"	"&lt;b&gt;SOUTH POLE - Document 1&lt;/b&gt;"	"&lt;b&gt;POLO SUR - Documento 1&lt;/b&gt;"	"R220_stimulus_title_50c7c0c2515af5.49802159_0"	"PISA_esp-CHL_REA_R220-SouthPole_en15_MS2022.xlf"
"1071"	"&lt;b&gt;Important!  Do not forget to attach:&lt;/b&gt;&lt;br /&gt; — A copy of your proof of purchase&lt;br /&gt; — The bar code(s) or price tag(s) of the original products&lt;br /&gt;"	"&lt;b&gt;¡Importante! No olvide adjuntar:&lt;/b&gt;&lt;br /&gt; &amp;mdash; una copia de su boleta de compraventa&lt;br /&gt; &amp;mdash; el código o códigos de barras y la etiqueta o etiquetas con el precio de los productos originales&lt;br /&gt;"	"R466_stimulus_sect3right_50c7c9bb7003e5.32674058_0"	"PISA_esp-CHL_REA_R466-WorkRight_en15_MS2022.xlf"
