"Segment"	"en-ZZ"	"ru-RU"	"ID"	"File"
"639"	"Then click on the NEXT arrow to view the first question."	"Затем нажмите на стрелку ДАЛЕЕ для ответа напервый вопрос."	"R404_question_introBullet3_50d37aa7c7c797.96042253_0"	"PISA_rus-RUS_REA_R404-Sleep_en15_MS2022.xlf"
"4551"	"Refer to the different webpages of the website on the right."	"Воспользуйтесь текстами различных веб-страниц веб-сайта, расположенными справа."	"R563_question05_q05itemDirections_56fc786b43f8f6.16712887_0_0"	"PISA_rus-RUS_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5441"	"Web Search"	"Поиск в Интернете"	"R568_stimulus4_pg04h1_56fc784a9ffbb6.57025971_0"	"PISA_rus-RUS_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5269"	"True"	"Верно"	"R567_question05_q05tr1th2_56fc787910f8b1.79894974_0"	"PISA_rus-RUS_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"1070"	"£300 or more&lt;br /&gt;"	"от 7000 руб. и вышеe&lt;br /&gt;"	"R466_stimulus_sect3left_50d37b7b1eac23.24380537_0"	"PISA_rus-RUS_REA_R466-WorkRight_en15_MS2022.xlf"
"2101"	"Is the statement true or false?"	"Согласно информации, представленной в брошюре, верно или неверно данное утверждение?"	"R545_question03_Q03tr1th1_56fc7821ad8e59.97792072_0"	"PISA_rus-RUS_REA_R545-MachuPicchu_en18_MS2022.xlf"
"930"	"&lt;b&gt;Biscuits&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;ПЕЧЕНЬ&lt;/b&gt;&lt;br /&gt; Вопрос"	"R456_question_itemTitle_50d36825009359.16768736_0"	"PISA_rus-RUS_REA_R456-Biscuits_en15_MS2022.xlf"
"3739"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Воспользуйтесь текстами обоих источников, расположенными справа, выбрав одну из вкладок."	"R558_question09_itemDirections_56fc786b14e033.98417900_0_0"	"PISA_rus-RUS_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"2726"	"Ancestral Puebloans"	"Предки пуэбло"	"R550_hours_hours_l4_56fc785ccf78f4.09670808_0"	"PISA_rus-RUS_REA_R550-CliffPalace_en18_MS2022.xlf"
"5073"	"Refer to the Web Search on the right."	"Воспользуйтесь страницей «Поиск в Интернете», расположенной справа."	"R566_question05_q05itemDirections_56fc786b884b06.27057078_0_0"	"PISA_rus-RUS_REA_R566-SkelligRocks_en18_MS2022.xlf"
"2801"	"Autumn"	"Осенью"	"R550_question01_question01_5_56fc785cdd6f33.13931411_0"	"PISA_rus-RUS_REA_R550-CliffPalace_en18_MS2022.xlf"
"4920"	"Web Search"	"Поиск в Интернете"	"R566_stimulus02_pg02h1_56fc786b739df1.59155193_0"	"PISA_rus-RUS_REA_R566-SkelligRocks_en18_MS2022.xlf"
"301"	"T"	"Чт"	"R219_stimulus_stimulus_7_50d36e0bd6ed84.58517892_0"	"PISA_rus-RUS_REA_R219-Employment_en15_MS2022.xlf"
"5163"	"Web Search"	"Поиск в Интернете"	"R567_stimulus3_pg03h1_56fc7879075bd6.57758343_0"	"PISA_rus-RUS_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4901"	"&lt;i&gt;Refer to the posters on the right by clicking on each of the tabs."	"&lt;i&gt;Воспользуйтесь текстами плакатов, расположенными справа, нажимая на каждю из вкладок."	"R565_question8_itemDirections_56fc785d634c08.07217589_0_0"	"PISA_rus-RUS_REA_R565-SittingDisease_en18_MS2022.xlf"
"4529"	"Refer to the different webpages of the website on the right."	"Воспользуйтесь текстами различных веб-страниц веб-сайта, расположенными справа."	"R563_question03_q03itemDirections_56fc786b410592.73244337_0_0"	"PISA_rus-RUS_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4535"	"Refer to the different webpages of the website on the right."	"Воспользуйтесь текстами различных веб-страниц веб-сайта, расположенными справа."	"R563_question04_q04itemDirections_56fc786b4263f7.31451763_0_0"	"PISA_rus-RUS_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5810"	"Cans"	"Банки из-под напитков"	"q4R569_question_question04_3_56fc787951f3d9.01263757_0"	"PISA_rus-RUS_REA_R569-TheCleanup_en18_MS2022.xlf"
"2802"	"Winter"	"Зимой"	"R550_question01_question01_6_56fc785cdd7479.34532891_0"	"PISA_rus-RUS_REA_R550-CliffPalace_en18_MS2022.xlf"
"2658"	"General Information"	"Общие сведения"	"R550_ancestral_ancestral_l2_56fc785cc8da26.81359740_0"	"PISA_rus-RUS_REA_R550-CliffPalace_en18_MS2022.xlf"
"5602"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Отметьте &lt;b&gt;«Да»&lt;/b&gt; или &lt;b&gt;«Нет»&lt;/b&gt; для каждого утверждения."	"R568_question07_q07p1_56fc784aab9828.09212164_1_0"	"PISA_rus-RUS_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5286"	"Refer to the Web Search on the right."	"Воспользуйтесь страницей «Поиск в Интернете», расположенной справа."	"R567_question06_q06itemDirections_56fc7879127de3.09243109_0_0"	"PISA_rus-RUS_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4457"	"Date"	"Дата"	"R563-stimulus-communtity_stimulus_culture_sports_10_56fc786b382e91.01452399_0"	"PISA_rus-RUS_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4603"	"Refer to the different webpages of the website on the right."	"Воспользуйтесь текстами различных веб-страниц веб-сайта, расположенными справа."	"R563_question08_q08itemDirections_56fc786b49ca39.25233524_0_0"	"PISA_rus-RUS_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"2102"	"True"	"Верно"	"R545_question03_Q03tr1th2_56fc7821ad9111.87122059_0"	"PISA_rus-RUS_REA_R545-MachuPicchu_en18_MS2022.xlf"
"2724"	"General Information"	"Общие сведения"	"R550_hours_hours_l2_56fc785ccf6d72.95689156_0"	"PISA_rus-RUS_REA_R550-CliffPalace_en18_MS2022.xlf"
"5296"	"Refer to the Web Search on the right."	"Воспользуйтесь страницей «Поиск в Интернете», расположенной справа."	"R567_question07_q07itemDirections_56fc787913cff0.88321485_0_0"	"PISA_rus-RUS_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"2773"	"Ancestral Puebloans"	"Предки пуэбло"	"R550_tours_tours_l4_56fc785cd3adf1.25063481_0"	"PISA_rus-RUS_REA_R550-CliffPalace_en18_MS2022.xlf"
