"Segment"	"en-ZZ"	"es-UY"	"ID"	"File"
"4508"	"Refer to the different webpages of the website on the right."	"Lee las diferentes páginas del sitio web a la derecha."	"R563_question01_q01itemDirections_56fc786b3d91e6.22628556_0_0"	"PISA_esp-URY_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"3993"	"Refer to “The Great Pacific Garbage Patch” on the right."	"Lee la información sobre &quot;La Gran mancha de basura del Pacífico&quot; a la derecha."	"R560_question06_q06itemDirections_56fc784a7f68d8.83936530_0_0"	"PISA_esp-URY_REA_R560-GarbagePatch_en18_MS2022.xlf"
"3717"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Lee los dos textos de la derecha haciendo clic en cada pestaña."	"R558_question8_itemDirections_56fc786b1259f5.61081922_0_0"	"PISA_esp-URY_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"2102"	"True"	"Verdadera"	"R545_question03_Q03tr1th2_56fc7821ad9111.87122059_0"	"PISA_esp-URY_REA_R545-MachuPicchu_en18_MS2022.xlf"
"4944"	"Website"	"Sitio Web"	"R566_Stimulus04_stimulus4_6_56fc786b7611d9.06257189_0"	"PISA_esp-URY_REA_R566-SkelligRocks_en18_MS2022.xlf"
"4368"	"ZEDTOWN YOUTH MAGAZINE"	"REVISTA JUVENIL DE ZEDLANDIA"	"R563-stimulus-culture_news-h1_56fc786b333736.14493263_0"	"PISA_esp-URY_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"2058"	"Then click on the NEXT arrow."	"Después Haz clic en la flecha SIGUIENTE."	"R545_question00_q00itemDirections_56fc7821a9d332.06999644_1_0"	"PISA_esp-URY_REA_R545-MachuPicchu_en18_MS2022.xlf"
"1848"	"Click on the NEXT arrow to read the first source."	"Haz clic en la flecha SIGUIENTE para leer la primera fuente."	"question0a_1_q00p2_56fc782164ea92.65756040_0"	"PISA_esp-URY_REA_R544-Tesla_en18_MS2022.xlf"
"1501"	"Refer to the Bulletin Board on the right."	"Lee la cartelera  de anuncios de la derecha."	"Q05R542_question_Q05itemDirections_56fc78210d1328.39002237_0_0"	"PISA_esp-URY_REA_R542-BulletinBoard_en18_MS2022.xlf"
"2101"	"Is the statement true or false?"	"Según el folleto, ¿es la afirmación verdadera o falsa?"	"R545_question03_Q03tr1th1_56fc7821ad8e59.97792072_0"	"PISA_esp-URY_REA_R545-MachuPicchu_en18_MS2022.xlf"
"500"	"his disappointment"	"su desencanto:"	"R220_stimulus_stimulusH_5_50d374c4dbb647.43818037_0"	"PISA_esp-URY_REA_R220-SouthPole_en15_MS2022.xlf"
"4319"	"Refer to “Opening Night” on the right."	"Lee el texto de &quot;Noche de estreno&quot; a la derecha."	"R562_question05_q05itemDirections_56fc783b44e892.36199768_0_0"	"PISA_esp-URY_REA_R562-OpeningNight_en18_MS2022.xlf"
"4617"	"Refer to the different webpages of the website on the right."	"Lee las diferentes páginas del sitio web a la derecha."	"R563_question09_q09itemDirections_56fc786b4ba5d3.14167925_0_0"	"PISA_esp-URY_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5008"	"Then click on the NEXT arrow."	"Después haz clic  en la flecha SIGUIENTE."	"q00b-body_q00b-itemDirections_56fc786b7c7802.60907040_1_0"	"PISA_esp-URY_REA_R566-SkelligRocks_en18_MS2022.xlf"
"4566"	"Refer to the different webpages of the website on the right."	"Lee las diferentes páginas del sitio web a la derecha."	"R563_question06_q06itemDirections_56fc786b45cd07.83714228_0_0"	"PISA_esp-URY_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5246"	"Give one example."	"Brinda un ejemplo."	"R567_question03_q03p2_56fc78790e6a67.23961686_0"	"PISA_esp-URY_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"1069"	"Between £150 and £299.99&lt;br /&gt;"	"Entre $1500 y $2999.90&lt;br /&gt;"	"R466_stimulus_sect3left_50d37b722032f0.34621788_0"	"PISA_esp-URY_REA_R466-WorkRight_en15_MS2022.xlf"
"6175"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Después Haz clic en la flecha SIGUIENTE&lt;/i&gt;."	"q00body_q00itemDirections_56fd23111a5057.38756393_1_0"	"PISA_esp-URY_REA_R590-Sentences01_en18_MS2022.xlf"
"4632"	"Type your answers to the questions."	"Escribe tu respuesta a la pregunta."	"R563_question10_q10itemDirections_56fc786b4e31f5.41702157_1_0"	"PISA_esp-URY_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4303"	"Refer to “Opening Night” on the right."	"Lee el texto de &quot;Noche de estreno&quot; a la derecha."	"R562_question03_q03itemDirections_56fc783b428212.20980560_0_0"	"PISA_esp-URY_REA_R562-OpeningNight_en18_MS2022.xlf"
"4007"	"Refer to “The Great Pacific Garbage Patch” on the right."	"Lee la información sobre &quot;La Gran mancha de basura del Pacífico&quot; a la derecha."	"R560_question07_q07itemDirections_56fc784a80bb23.32450086_0_0"	"PISA_esp-URY_REA_R560-GarbagePatch_en18_MS2022.xlf"
"5073"	"Refer to the Web Search on the right."	"Consulta la búsqueda en internet a la derecha."	"R566_question05_q05itemDirections_56fc786b884b06.27057078_0_0"	"PISA_esp-URY_REA_R566-SkelligRocks_en18_MS2022.xlf"
"4313"	"Refer to “Opening Night” on the right."	"Lee el texto de &quot;Noche de estreno&quot; a la derecha."	"R562_question04_q04itemDirections_56fc783b43b603.36272366_0_0"	"PISA_esp-URY_REA_R562-OpeningNight_en18_MS2022.xlf"
"1071"	"&lt;b&gt;Important!  Do not forget to attach:&lt;/b&gt;&lt;br /&gt; — A copy of your proof of purchase&lt;br /&gt; — The bar code(s) or price tag(s) of the original products&lt;br /&gt;"	"&lt;b&gt;¡Importante! No olvide adjuntar:&lt;/b&gt;&lt;br /&gt; &amp;mdash;-	Una copia de su boleta&lt;br /&gt; &amp;mdash; Los código(s) de barras o la(s) etiqueta(s) con el precio de los productos originales&lt;br /&gt;"	"R466_stimulus_sect3right_50d37b72203ac0.80721990_0"	"PISA_esp-URY_REA_R466-WorkRight_en15_MS2022.xlf"
"4729"	"Refer to “Portrait of a Photographer” on the right."	"Lee el artículo  &quot;Retrato de un fotógrafo&quot; a la derecha."	"R564_question05_q05itemDirections_56fc783b60b828.68348774_0_0"	"PISA_esp-URY_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
