"Segment"	"en-ZZ"	"ar-MA"	"ID"	"File"
"676"	"Neil"	"هيثم"	"M800_stimulus_tr1td4_5134b48c31cae2.43816337_0"	"PISA_ara-MAR_MAT_M800-ComputerGame_en15_MS2022.xlf"
"334"	"Statement"	"الجواب"	"Q1M420_question_Q1tr1th1_5134b489392cf6.63293886_0"	"PISA_ara-MAR_MAT_M420-Transport_en15_MS2022.xlf"
"675"	"Patricia"	"ماجدة"	"M800_stimulus_tr1td3_5134b48c31c166.28591305_0"	"PISA_ara-MAR_MAT_M800-ComputerGame_en15_MS2022.xlf"
"471"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;انقر على أحد الاختيارات للإجابة عن السؤال.&lt;/i&gt;"	"Q1M474_question_Q1itemDirections_5134b48a8347b8.05175524_0"	"PISA_ara-MAR_MAT_M474-RunningTime_en15_MS2022.xlf"
"677"	"Meagan"	"منية"	"M800_stimulus_tr1td5_5134b48c31d444.63468610_0"	"PISA_ara-MAR_MAT_M800-ComputerGame_en15_MS2022.xlf"
"274"	"Statement"	"الجواب"	"Q1M408_question_Q1tr1th1_5134b488de3e11.08986070_0"	"PISA_ara-MAR_MAT_M408-Lotteries_en15_MS2022.xlf"
"616"	"Statement"	"الجواب"	"Q1M603_question_Q1tr1th1_5134b48bccdb45.94120146_0"	"PISA_ara-MAR_MAT_M603-NumberCheck_en15_MS2022.xlf"
"674"	"Paul"	"نزار"	"M800_stimulus_tr1td2_5134b48c31b870.29646039_0"	"PISA_ara-MAR_MAT_M800-ComputerGame_en15_MS2022.xlf"
"444"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;انقر على أحد الاختيارات للإجابة على السؤال.
&lt;/i&gt;"	"Q1M447_question_Q1itemDirections_5134b48a191106.36534062_0"	"PISA_ara-MAR_MAT_M447-TileArrangement_en15_MS2022.xlf"
"1280"	"m"	"م"	"Q3M949_question_sp2_5134b48f639356.01569898_0"	"PISA_ara-MAR_MAT_M949-RoofTrussDesign_en15_MS2022.xlf"
"652"	"Step 1:"	"مرحلة 1:"	"M603_stimulus2_s2_s1_1_5134b48bdc5dd7.25942051_0"	"PISA_ara-MAR_MAT_M603-NumberCheck_en15_MS2022.xlf"
"462"	"&lt;i&gt;Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;استعمل المفاتيح الرقمية لتَرقن إجابتك عن السؤال.
&lt;/i&gt;"	"Q1M464_question_Q1itemDirections_5134b48a5f2996.63578574_0"	"PISA_ara-MAR_MAT_M464-Fence_en15_MS2022.xlf"
