"Segment"	"en-ZZ"	"ru-MD"	"ID"	"File"
"4939"	"Mathematics"	"Математический"	"q2MA160_question_question02_22_5c9d21377de2f4.33135877_0"	"PISA_rus-MDA_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"3189"	"A"	"А"	"Q1MA134_question_Q01tr1td1SELECT1o1_5c9d2164317bf7.69076389_0"	"PISA_rus-MDA_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"2416"	"Select from the drop-down menus to answer the question."	"Выберите ответ на вопрос из выпадающих меню."	"Q1MA122_question_Q1ItmDirP1Id_5c9d21372895a9.88816326_1_0"	"PISA_rus-MDA_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"4922"	"Agriculture"	"Сельскохозяйственный"	"q2MA160_question_question02_6_5c9d21377dcfb6.94851687_0"	"PISA_rus-MDA_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"5190"	"Click on a choice and then type an explanation to answer the question."	"Для ответа на вопрос отметьте нужный вариант ответа, а затем запишите объяснение к нему."	"q4MA161_question_q4itemDirections_5c9d2137a76b55.99656517_2_0"	"PISA_rus-MDA_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"956"	"To run this simulation, follow these steps:"	"Чтобы воспользоваться калькулятором, выполните следующие действия:"	"menu_1_aMenu_part1_p1_5c9d2136e90d65.41091853_0"	"PISA_rus-MDA_MAT_MA112-Metabolism_en21_MS2022.xlf"
"4207"	"Explain your answer."	"&lt;br /&gt;Объясните свой ответ."	"q3MA148_question_q3p3_5c9d21651da120.58575580_0"	"PISA_rus-MDA_MAT_MA148-ChanceOfRain_en21_MS2022.xlf"
"3721"	"Type your answer to the question."	"Запишите цифрами свой ответ на вопрос."	"MA142_questionq2_q2itemDirections_5c9d2164b45da3.19087883_1_0"	"PISA_rus-MDA_MAT_MA142-WaterReservoir_en21_MS2022.xlf"
"3372"	"Click on a choice and then type an explanation to answer the question."	"Для ответа на вопрос отметьте нужный вариант ответа, а затем запишите объяснение к нему."	"MA136_question02_q2itemDirections_5c9d216461f9f0.70778441_1_0"	"PISA_rus-MDA_MAT_MA136-MovieRewards_en21_MS2022.xlf"
"4948"	"Agriculture"	"Сельскохозяйcтвенный"	"q3MA160_question_question03_5_5c9d21377f8502.68715278_0"	"PISA_rus-MDA_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"5402"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Отметьте &lt;b&gt;«Да»&lt;/b&gt; или &lt;b&gt; «Нет»&lt;/b&gt; для каждого утверждения."	"q3MA160_question_q3p2_5c9d2137d54e96.19323569_1_0"	"PISA_rus-MDA_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"4924"	"Economics"	"Экономический"	"q2MA160_question_question02_8_5c9d21377dd1b7.58813656_0"	"PISA_rus-MDA_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"3329"	"A"	"А"	"CMA135_question3_question03_19_5c9d2164520b42.34486685_0"	"PISA_rus-MDA_MAT_MA135-ElectricBicycle_en21_MS2022.xlf"
"3864"	"269 kJ"	"276 кДж"	"MA144_stimulusb_rr3c2_5c9d2164ccaf11.37166809_0"	"PISA_rus-MDA_MAT_MA144-Yogurt_en21_MS2022.xlf"
"4646"	"Click on a choice and then type an explanation to answer the question."	"Для ответа на вопрос отметьте нужный вариант ответа, а затем запишите объяснение к нему."	"q1MA156_question_q1itemDirections_5c9d21656932b0.11712938_1_0"	"PISA_rus-MDA_MAT_MA156-Points_en21_MS2022.xlf"
"4904"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Отметьте &lt;b&gt;«Да»&lt;/b&gt; или &lt;b&gt; «Нет»&lt;/b&gt; для каждого утверждения."	"q1MA160_question_q1p1_5c9d21377c3598.13096072_1_0"	"PISA_rus-MDA_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"4632"	"Explain your answer and include numerical values to support your explanation."	"Приведите числовые значения для подтверждения Вашего ответа."	"q3MA154_question_q3p3_5c9d21655e78d5.34923288_0"	"PISA_rus-MDA_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
