"Segment"	"en-ZZ"	"it-IT"	"ID"	"File"
"4904"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Clicca su &lt;b&gt;Sì&lt;/b&gt; o &lt;b&gt;No&lt;/b&gt; per ciascuna affermazione."	"q1MA160_question_q1p1_5c9d21377c3598.13096072_1_0"	"PISA_ita-ITA_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"3372"	"Click on a choice and then type an explanation to answer the question."	"Clicca su un'alternativa e poi digita una spiegazione per rispondere alla domanda."	"MA136_question02_q2itemDirections_5c9d216461f9f0.70778441_1_0"	"PISA_ita-ITA_MAT_MA136-MovieRewards_en21_MS2022.xlf"
"5190"	"Click on a choice and then type an explanation to answer the question."	"Clicca su una risposta e poi digita il motivo della tua scelta."	"q4MA161_question_q4itemDirections_5c9d2137a76b55.99656517_2_0"	"PISA_ita-ITA_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"4011"	"Click on a choice and then type an explanation to answer the question."	"Clicca su un'alternativa e poi digita una spiegazione per rispondere alla domanda."	"MA146q3_question_q3itemDirections_5c9d2164ee45c4.14040171_1_0"	"PISA_ita-ITA_MAT_MA146-Fuel_en21_MS2022.xlf"
"2416"	"Select from the drop-down menus to answer the question."	"Per rispondere alla domanda, scegli un'alternativa da ciascun menu a tendina."	"Q1MA122_question_Q1ItmDirP1Id_5c9d21372895a9.88816326_1_0"	"PISA_ita-ITA_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"3914"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Clicca su &lt;b&gt;Vero&lt;/b&gt; o &lt;b&gt;Falso&lt;/b&gt; per ogni affermazione."	"q3MA144_question_q3p1_5c9d2164d149f9.75927623_1_0"	"PISA_ita-ITA_MAT_MA144-Yogurt_en21_MS2022.xlf"
"4598"	"A"	"Z"	"MA154_stimulus3_img2Lbl3_5c9d21655aa3a4.29260706_0"	"PISA_ita-ITA_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"1545"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ Ricordati di selezionare &lt;b&gt;una o più&lt;/b&gt; caselle"	"MA120_question2_Q02p3_5c9d214ae38a80.91484290_0"	"PISA_ita-ITA_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"4591"	"A"	"Z"	"MA154_stimulus2_img2Lbl3_5c9d2165598be7.99281808_0"	"PISA_ita-ITA_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4646"	"Click on a choice and then type an explanation to answer the question."	"Clicca su un'alternativa e poi digita una spiegazione per rispondere alla domanda."	"q1MA156_question_q1itemDirections_5c9d21656932b0.11712938_1_0"	"PISA_ita-ITA_MAT_MA156-Points_en21_MS2022.xlf"
"3182"	"Select from the drop-down menus to answer the question."	"Per rispondere alla domanda, scegli un'alternativa da ciascun menu a tendina."	"Q1MA134_question_Q1ItmDirP1Id_5c9d2164317095.77316110_1_0"	"PISA_ita-ITA_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"4764"	"Click on the choices in the table to answer the question."	"Per rispondere alla domanda, clicca su una delle alternative nella tabella."	"q2MA158_question_q2itemDirections_5c9d21657cb1d1.11526137_1_0"	"PISA_ita-ITA_MAT_MA158-EyeColour_en21_MS2022.xlf"
"4380"	"Click on the choices in the table to answer the question."	"Per rispondere alla domanda, clicca su una delle alternative nella tabella."	"q1MA151_question_q1itemDirections_5c9d2165424791.67979223_1_0"	"PISA_ita-ITA_MAT_MA151-MovingOut_en21_MS2022.xlf"
"4265"	"Click on a choice and then type an explanation to answer the question."	"Clicca su un'alternativa e poi digita una spiegazione per rispondere alla domanda."	"q3MA149_question_q3itemDirections_5c9d21652d7289.76917872_1_0"	"PISA_ita-ITA_MAT_MA149-FloorArea_en21_MS2022.xlf"
"4581"	"A"	"Z"	"MA154_stimulus1_img1bLbl3_5c9d2165588ed8.45765769_0"	"PISA_ita-ITA_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4306"	"Click on a choice and then type an explanation to answer the question."	"Clicca su un'alternativa e poi digita una spiegazione per rispondere alla domanda."	"q3MA150_question_q3itemDirections_5c9d216539ff89.14130320_1_0"	"PISA_ita-ITA_MAT_MA150-TriangularPattern_en21_MS2022.xlf"
"4015"	"Explain your answer and include numerical values to support your explanation."	"Spiega la tua risposta e inserisci dei valori numerici a supporto della tua spiegazione."	"MA146q3_question_q3p2_5c9d2164ee4c90.34674865_0"	"PISA_ita-ITA_MAT_MA146-Fuel_en21_MS2022.xlf"
"1039"	"84+"	"85+"	"MA113S02_stimulus_tr10td7_5c9d214a666350.37673801_0"	"PISA_ita-ITA_MAT_MA113-HeartRate_en21_MS2022.xlf"
"4202"	"Click on a choice and then type an explanation to answer the question."	"Clicca su un'alternativa e poi digita una spiegazione per rispondere alla domanda."	"q3MA148_question_q3itemDirections_5c9d21651d9930.88789683_1_0"	"PISA_ita-ITA_MAT_MA148-ChanceOfRain_en21_MS2022.xlf"
"4766"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Clicca su &lt;b&gt;Vero&lt;/b&gt; o &lt;b&gt;Falso&lt;/b&gt; per ogni affermazione."	"q2MA158_question_q2p2_5c9d21657cb501.68112298_0"	"PISA_ita-ITA_MAT_MA158-EyeColour_en21_MS2022.xlf"
"3488"	"Click on one or more boxes to answer the question."	"Per rispondere alla domanda, clicca su due caselle."	"q3CMA137_question_q3itemDirections_5c9d2164739181.43159279_1_0"	"PISA_ita-ITA_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"4422"	"Click on the choices in the table to answer the question."	"Per rispondere alla domanda, clicca su una delle alternative nella tabella."	"q1MA152_question_q1itemDirections_5c9d21654f6b95.79333200_1_0"	"PISA_ita-ITA_MAT_MA152-TheBetterDeal_en21_MS2022.xlf"
"5147"	"Select from the drop-down menus to answer the question."	"Per rispondere alla domanda, scegli un'alternativa da ciascun menu a tendina."	"q3MA160_question_q3itemDirections_5c9d2137a54ef3.72087436_2_0"	"PISA_ita-ITA_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"5075"	"Statement"	"Domanda"	"q1MA161_question_q1tr1th1_5c9d2137a0deb4.05869160_0"	"PISA_ita-ITA_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"3864"	"269 kJ"	"276 kJ"	"MA144_stimulusb_rr3c2_5c9d2164ccaf11.37166809_0"	"PISA_ita-ITA_MAT_MA144-Yogurt_en21_MS2022.xlf"
"4778"	"Click on a choice and then type an explanation to answer the question."	"Clicca su un'alternativa e poi digita una spiegazione per rispondere alla domanda."	"q3MA158_question_q3itemDirections_5c9d21657e1f71.24263233_1_0"	"PISA_ita-ITA_MAT_MA158-EyeColour_en21_MS2022.xlf"
"3912"	"Click on the choices in the table to answer the question."	"Per rispondere alla domanda, clicca su una delle alternative nella tabella."	"q3MA144_question_q3itemDirections_5c9d2164d14836.39405170_1_0"	"PISA_ita-ITA_MAT_MA144-Yogurt_en21_MS2022.xlf"
"4627"	"Click on a choice and then type an explanation to answer the question."	"Clicca su un'alternativa e poi digita una spiegazione per rispondere alla domanda."	"q3MA154_question_q3itemDirections_5c9d21655e7133.54272172_1_0"	"PISA_ita-ITA_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"956"	"To run this simulation, follow these steps:"	"Per usare il calcolatore, procedi come segue:"	"menu_1_aMenu_part1_p1_5c9d2136e90d65.41091853_0"	"PISA_ita-ITA_MAT_MA112-Metabolism_en21_MS2022.xlf"
"3981"	"Litres"	"Litri"	"MA146_stimulus3_liters_5c9d2164e9e439.48235083_0"	"PISA_ita-ITA_MAT_MA146-Fuel_en21_MS2022.xlf"
"4632"	"Explain your answer and include numerical values to support your explanation."	"Spiega la tua risposta e inserisci dei valori numerici a supporto della tua spiegazione."	"q3MA154_question_q3p3_5c9d21655e78d5.34923288_0"	"PISA_ita-ITA_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4918"	"Select from the drop-down menus to answer the question."	"Per rispondere alla domanda, scegli un'alternativa da ciascun menu a tendina."	"q2MA160_question_q2itemDirections_5c9d21377dca25.20636236_2_0"	"PISA_ita-ITA_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"1558"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ Ricordati di selezionare &lt;b&gt;una o più&lt;/b&gt; caselle"	"MA120_question3_Q03p3_5c9d214ae4afb4.01507702_0"	"PISA_ita-ITA_MAT_MA120-NumberCubes_en21_MS2022.xlf"
