"Segment"	"en-ZZ"	"ru-MD"	"ID"	"File"
"1431"	"&lt;i&gt;Refer to &quot;Flu Test&quot; on the right. Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Воспользуйтесь страницей «Анализ на грипп», расположенной справа. Запишите свой ответ на вопрос.&lt;/i&gt;"	"Q3M953_question_Q3itemDirections_50d341e600a2c1.25371330_0"	"PISA_rus-MDA_MAT_M953-FluTest_en15_MS2022.xlf"
"792"	"&lt;br /&gt;"	"&lt;br /&gt;Количество банок:"	"Q1M803_question_Q1itemStem_5c3f6288c5a3e9.04162982_1_0"	"PISA_rus-MDA_MAT_M803-Labels_en21_MS2022.xlf"
"1212"	"Runner D"	"Бегун D"	"Q2M939_question_question2_4_5c3f628cc76f57.75894061_0"	"PISA_rus-MDA_MAT_M939-Racing_en21_MS2022.xlf"
"78"	"&lt;br /&gt;"	"&lt;br /&gt;Количество маленьких кирпичей:"	"Q1M034_question_Q1itemStem_5c3f6280563c21.13660283_9_0"	"PISA_rus-MDA_MAT_M034-Bricks_en21_MS2022.xlf"
"1516"	"India"	"Кения"	"M955_stimulus_tr7td1_5c3f6290247771.06323074_0"	"PISA_rus-MDA_MAT_M955-Migration_en21_MS2022.xlf"
"1507"	"Canada"	"Германия"	"M955_stimulus_tr4td1_5c3f6290246966.57504942_0"	"PISA_rus-MDA_MAT_M955-Migration_en21_MS2022.xlf"
"1510"	"China"	"Индия"	"M955_stimulus_tr5td1_5c3f6290246e62.78878765_0"	"PISA_rus-MDA_MAT_M955-Migration_en21_MS2022.xlf"
"1144"	"&lt;b&gt;Seats in a Theatre&lt;/b&gt;"	"&lt;b&gt;Места В Театре&lt;/b&gt;"	"Q2M936_question_Q2itemTitle_5c3f628c5d1157.29124600_0_0"	"PISA_rus-MDA_MAT_M936-SeatsInATheatre_en21_MS2022.xlf"
"1210"	"Runner B"	"Бегун B"	"Q2M939_question_question2_2_5c3f628cc76b90.11757490_0"	"PISA_rus-MDA_MAT_M939-Racing_en21_MS2022.xlf"
"1209"	"Runner A"	"Бегун A"	"Q2M939_question_question2_1_5c3f628cc769a1.92894169_0"	"PISA_rus-MDA_MAT_M939-Racing_en21_MS2022.xlf"
"1011"	"&lt;b&gt;Speeding Fines&lt;/b&gt;"	"&lt;b&gt;Штрафы За Превышение Скорости&lt;/b&gt;"	"Q3M909_question_Q3itemTitle_5c3f628ad2e355.81145899_0_0"	"PISA_rus-MDA_MAT_M909-SpeedingFines_en21_MS2022.xlf"
