"Segment"	"en-ZZ"	"az-QZ"	"ID"	"File"
"2020"	"Season"	"Fəsil"	"S629_question3_qp33_56f9ce164b9d07.75564750_0"	"PISA_aze-QAZ_SCI_S629-SolarCooker_en18_MS2022.xlf"
"1316"	"Elephants and acacia trees"	"Fillər və Akasiya Ağacları"	"S603_question5_title4_56f9ce15e87b11.55024177_0"	"PISA_aze-QAZ_SCI_S607-BirdsAndCaterpillars_en18_MS2022.xlf"
"2865"	"Habitable Zone"	"Yaşayış Üçün Yararlı Zonalar"	"S648_Q0_title00_56f9ce16ad1bb3.99990883_0"	"PISA_aze-QAZ_SCI_S648-HabitableZone_en18_MS2022.xlf"
"2166"	"&lt;i&gt;Click on one or more boxes to answer the question.&lt;/i&gt;"	"&lt;i&gt;Suala cavab vermək üçün bir və ya daha çox kvadratı klikləyin.&lt;/i&gt;"	"CS634_Q05_itemDirections5_56f9ce165e15d6.89029742_0"	"PISA_aze-QAZ_SCI_S634-Vaccination_en18_MS2022.xlf"
"2849"	"Habitable Zone"	"Yaşayış Üçün Yararlı Zonalar"	"S642_stimulus2_lable2_1_56f9ce16ab1de8.67030234_0"	"PISA_aze-QAZ_SCI_S648-HabitableZone_en18_MS2022.xlf"
"2469"	"Disadvantage"	"Çatışmazlıqlıq"	"S638_question2_header2_56f9ce167ff926.62520375_0"	"PISA_aze-QAZ_SCI_S638-OilSpills_en18_MS2022.xlf"
"1696"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Suala cavab vermək üçün seçimlərdən birini klikləyin.&lt;/i&gt;"	"S620_Q5_itemDirections5_56f9ce1620d4d6.08244072_0"	"PISA_aze-QAZ_SCI_S620-Tornadoes_en18_MS2022.xlf"
"1239"	"May"	"&amp;bull;May"	"S607_intro_qx3_56f9ce15e08b29.63489205_0"	"PISA_aze-QAZ_SCI_S607-BirdsAndCaterpillars_en18_MS2022.xlf"
"1321"	"Do elephants have other sources of food besides acacia trees?"	"Fillərin akasiya ağaclarından başqa digər mənbələri vardırmı?"	"S603_question5_question5_4_56f9ce15e88fc1.80235200_0"	"PISA_aze-QAZ_SCI_S607-BirdsAndCaterpillars_en18_MS2022.xlf"
"2025"	"&lt;b&gt;Solar Cooker&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt; Günəş Batareyalı Soba&lt;/b&gt;&lt;br /&gt; Sual"	"S629_question4_itemTitle4_56f9ce164f9856.21622382_0"	"PISA_aze-QAZ_SCI_S629-SolarCooker_en18_MS2022.xlf"
"1429"	"S610 Brain-controlled Prosthetics"	"S610 Beyinlə idarə olunan Sensorlar"	"S610_stimulus3_unknownID_56f9ce15f405f3.20419618_0"	"PISA_aze-QAZ_SCI_S610-Brain-controlledRobotics_en18_MS2022.xlf"
"968"	"Elephants and Acacia Trees"	"Fillər və Akasiya Ağacları"	"S603_question2_attr_alt_attr_question2_2_56f9ce15c4d8a2.83671597_0"	"PISA_aze-QAZ_SCI_S603-ElephantsAndAcaciaTrees_en18_MS2022.xlf"
"2415"	"To run this simulation, you can use the following controls:"	"Nəzarətin necə həyata keçirildiyini görmək üçün aşağıdakı addımlara əməl edin:"	"menu_1_menuP2_56f9ce1676cb67.08951569_0"	"PISA_aze-QAZ_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"1740"	"&lt;i&gt; Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes.&lt;/i&gt;"	"&lt;i&gt; &lt;b&gt;Bir və daha çox &lt;/b&gt;kvadratı seçməyi unutmayın. &lt;/i&gt;"	"S625_question3_Reminder_56f9ce1625b910.59893452_0"	"PISA_aze-QAZ_SCI_S625-WildfiresAndTheFireTriangle_en18_MS2022.xlf"
"2153"	"&lt;b&gt;Vaccination and Spreading of Disease&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Peyvənd və Xəstəliyin Yayılması &lt;/b&gt;&lt;br /&gt; Sual"	"question4_1_itemTitle04_56f9ce165c7d07.72441988_0"	"PISA_aze-QAZ_SCI_S634-Vaccination_en18_MS2022.xlf"
"1813"	"Sound in Marine Habitats"	"Dəniz mühitində səs"	"S626_stimulus3_attr_alt_attr_stimulus3_1_56f9ce162a8af5.37648144_0"	"PISA_aze-QAZ_SCI_S626-SoundInMarineHabitats_en18_MS2022.xlf"
"1338"	"Ammonoids"	"Ammonoidlər"	"S608_stimulus1_attr_alt_attr_stimulus1_1_56f9ce15eaee58.47378210_0"	"PISA_aze-QAZ_SCI_S608-Ammonoids_en18_MS2022.xlf"
"1902"	"car tyres"	"Avtomobil Şinləri"	"S627_stimulus2_title2_56f9ce1634f965.25937491_0"	"PISA_aze-QAZ_SCI_S627-CarTyres_en18_MS2022.xlf"
"2856"	"Habitable Zone"	"Yaşayış Üçün Yararlı Zonalar"	"S648_stimulus3_title3_56f9ce16ac1de4.70738081_0"	"PISA_aze-QAZ_SCI_S648-HabitableZone_en18_MS2022.xlf"
"1219"	"Species A&lt;br /&gt;branches with ants"	"A Növü&lt;br /&gt;qarışqaların olduğu budaqlar"	"S603_stimulus1_le3_56f9ce15deb6d9.62826282_0"	"PISA_aze-QAZ_SCI_S607-BirdsAndCaterpillars_en18_MS2022.xlf"
"2345"	"Delete a row of data to run another trial."	"Digər sınaq keçirmək üçün hər hansı bir məlumat sırasını silin"	"js_translation_deleteMsg_56f9ce16735b30.09930569_0"	"PISA_aze-QAZ_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"1401"	"Ammonoids"	"Ammonoidlər"	"S608_question3_attr_alt_attr_question3_1_56f9ce15efc4d1.72203841_0"	"PISA_aze-QAZ_SCI_S608-Ammonoids_en18_MS2022.xlf"
"1786"	"Sound in Marine Habitats"	"Dəniz mühitində səs"	"S626_stimulus2_attr_alt_attr_stimulus2_5_56f9ce1628efd6.52368589_0"	"PISA_aze-QAZ_SCI_S626-SoundInMarineHabitats_en18_MS2022.xlf"
"1814"	"Sound in Marine Habitats"	"Dəniz mühitində səs"	"S626_stimulus3_attr_alt_attr_stimulus3_2_56f9ce162a8c33.25151053_0"	"PISA_aze-QAZ_SCI_S626-SoundInMarineHabitats_en18_MS2022.xlf"
