"Segment"	"en-ZZ"	"ru-LV"	"ID"	"File"
"3046"	"Car and Bicycle Ownership &lt;/b&gt;"	"&lt;b&gt; Таблица 2. Владельцы автомобилей и велосипедов&lt;/b&gt;"	"MA134_stimulus1_S01_2table1CaptionID_5c9d21642a9ae5.41956169_1_0"	"PISA_rus-LVA_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"4590"	"D"	"П"	"MA154_stimulus2_img2Lbl2_5c9d2165598ae0.74047303_0"	"PISA_rus-LVA_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"2480"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Кликните на &lt;b&gt;«Верно»&lt;/b&gt; или &lt;b&gt;«Неверно»&lt;/b&gt; для каждого утверждения."	"MA128q04_question_q4p1_5c9d21372dc083.05811723_1_0"	"PISA_rus-LVA_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"5398"	"Click on the choices in the table to answer the question."	"Кликните на соответствующие ячейки таблицы ниже, чтобы ответить на вопрос."	"q3MA160_question_q3itemDirections_5c9d2137d54ae4.61371872_2_0"	"PISA_rus-LVA_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"5402"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Кликните на &lt;b&gt;«Да»&lt;/b&gt; или &lt;b&gt; «Нет»&lt;/b&gt; для каждого утверждения."	"q3MA160_question_q3p2_5c9d2137d54e96.19323569_1_0"	"PISA_rus-LVA_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"1132"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each of the statements in the table below."	"Кликните на &lt;b&gt;«Верно»&lt;/b&gt; или &lt;b&gt; «Неверно»&lt;/b&gt; для каждого утверждения в приведенной ниже таблице."	"Q02MA113_question_Q02P2_5c9d214a6c3ca7.40682286_0"	"PISA_rus-LVA_MAT_MA113-HeartRate_en21_MS2022.xlf"
"3864"	"269 kJ"	"276 кДж"	"MA144_stimulusb_rr3c2_5c9d2164ccaf11.37166809_0"	"PISA_rus-LVA_MAT_MA144-Yogurt_en21_MS2022.xlf"
"4015"	"Explain your answer and include numerical values to support your explanation."	"Объясните свой ответ и приведите числовые значения, чтобы подтвердить ваш ответ."	"MA146q3_question_q3p2_5c9d2164ee4c90.34674865_0"	"PISA_rus-LVA_MAT_MA146-Fuel_en21_MS2022.xlf"
"4577"	"D"	"П"	"MA154_stimulus1_img1aLbl2_5c9d2165588ab8.21634755_0"	"PISA_rus-LVA_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4430"	"5 zeds Off"	"Скидка 5 зедов"	"q1MA152_question_q1tr1th3_5c9d21654f7538.68945633_0"	"PISA_rus-LVA_MAT_MA152-TheBetterDeal_en21_MS2022.xlf"
"4929"	"Mathematics"	"Матемаческий"	"q2MA160_question_question02_13_5c9d21377dd6f6.01697125_0"	"PISA_rus-LVA_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"2448"	"Using the number keys, type your answers to the question."	"Используя цифровые клавиши, напишите ответы на данный вопрос."	"MA128q02_question_q02itemDirections_5c9d21372a66a8.78895134_1_0"	"PISA_rus-LVA_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"3914"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Кликните на &lt;b&gt;Верно&lt;/b&gt; или &lt;b&gt;Неверно&lt;/b&gt; для каждого утверждения."	"q3MA144_question_q3p1_5c9d2164d149f9.75927623_1_0"	"PISA_rus-LVA_MAT_MA144-Yogurt_en21_MS2022.xlf"
"3981"	"Litres"	"Литры"	"MA146_stimulus3_liters_5c9d2164e9e439.48235083_0"	"PISA_rus-LVA_MAT_MA146-Fuel_en21_MS2022.xlf"
"1039"	"84+"	"85+"	"MA113S02_stimulus_tr10td7_5c9d214a666350.37673801_0"	"PISA_rus-LVA_MAT_MA113-HeartRate_en21_MS2022.xlf"
"4580"	"D"	"П"	"MA154_stimulus1_img1bLbl2_5c9d2165588dd1.17990179_0"	"PISA_rus-LVA_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4932"	"Agriculture"	"Сельскохозяйственный"	"q2MA160_question_question02_15_5c9d21377ddb03.03861880_0"	"PISA_rus-LVA_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
