"Segment"	"en-ZZ"	"es-PA"	"ID"	"File"
"2392"	"increase"	"aumentará"	"question5_1_o5_1_517c866cce8576.85368889_0"	"PISA_esp-PAN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2364"	"select"	"Selecciona"	"question3_1_o3b_0_517c866cca7c35.96356868_0"	"PISA_esp-PAN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"862"	"higher"	"mayores"	"S602_question4_S602Q04SELECT31_5146f1d3220749.32583095_0"	"PISA_esp-PAN_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2544"	"&lt;i&gt;Click on the choices in the table to answer the question below.&lt;/i&gt;"	"&lt;i&gt;Haz clic en las opciones de la tabla para responder a la pregunta.&lt;/i&gt;"	"S638_question4_itemDirections4_51658351727f06.49231365_0"	"PISA_esp-PAN_SCI_S638-OilSpills_en15_MS2022.xlf"
"2267"	"High"	"Alto"	"js_translation_high_517c866cc0c011.23722423_0"	"PISA_esp-PAN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2811"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Realiza la simulación para obtener datos basándote en la siguiente información. Haz clic en una opción para responder a la pregunta.&lt;/i&gt;"	"question2_1_itemDirections02_5179d18c7a3c39.30736929_0"	"PISA_esp-PAN_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"1140"	"Geothermal Energy"	"Energía geotérmica"	"S605_stimulus1_attr_alt_attr_stimulus1_1_5146f1d3703394.75201217_0"	"PISA_esp-PAN_SCI_S605-GeothermalEnergy_en15_MS2022.xlf"
"1526"	"BRAIN-CONTROLLED ROBOTICS"	"ROBÓTICA CONTROLADA POR EL CEREBRO"	"S610_stimulus3_title3_5165835114e238.26471265_0"	"PISA_esp-PAN_SCI_S610-Brain-controlledRobotics_en15_MS2022.xlf"
"2391"	"select"	"Selecciona"	"question5_1_o5_0_517c866cce82f5.31457343_0"	"PISA_esp-PAN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2567"	"S629 Solar Cooker"	"S629 Olla solar"	"S629_stimulus0_unknownID_516e90e7a5e4e1.00682628_0"	"PISA_esp-PAN_SCI_S638-OilSpills_en15_MS2022.xlf"
