"Segment"	"en-ZZ"	"lt-LT"	"ID"	"File"
"891"	"To run this simulation, follow these steps:"	"Norėdami atlikti šį skaičiavimą, atlikite šiuos veiksmus:"	"q00body_q0p1_5c9d2136e26543.48980409_0"	"PISA_lit-LTU_MAT_MA112-Metabolism_en21_MS2022.xlf"
"3488"	"Click on one or more boxes to answer the question."	"pasirinkite du atsakymus."	"q3CMA137_question_q3itemDirections_5c9d2164739181.43159279_1_0"	"PISA_lit-LTU_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"3981"	"Litres"	"Litrai"	"MA146_stimulus3_liters_5c9d2164e9e439.48235083_0"	"PISA_lit-LTU_MAT_MA146-Fuel_en21_MS2022.xlf"
"1171"	"Then click on the NEXT arrow."	"spustelėkite rodyklę TOLIAU."	"question0a_1_itemDirections00_5c9d214a819cf9.74104060_1_0"	"PISA_lit-LTU_MAT_MA114-Honey_en21_MS2022.xlf"
"1217"	"Refer to “Honey” on the right."	"Remdamiesi dešinėje pateikta užduoties „Medus“ informacija"	"MA114_question4_itemDirections4_5c9d214a85eea5.40648237_0_0"	"PISA_lit-LTU_MAT_MA114-Honey_en21_MS2022.xlf"
"4679"	"Use drag and drop to answer the question."	"nutempkite transporto priemonių pavadinimus į reikiamas vietas."	"q1MA157_question_q1itemDirections_5c9d216571a4f9.75837745_1_0"	"PISA_lit-LTU_MAT_MA157-Tyres_en21_MS2022.xlf"
"1809"	"Refer to “Mobile Phone Reviews” on the right."	"Remdamiesi dešinėje pateikta užduoties „Atsiliepimai apie mobiliuosius telefonus“ informacija,"	"MA121_question02_Q02itemDirections_5c9d214b0581c9.54926227_0_0"	"PISA_lit-LTU_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"3673"	"Refer to “Water Bill” on the right."	"Remdamiesi dešinėje pateikta užduoties „Sąskaita už vandenį“ informacija,"	"q3CMA141_question_q3itemDirections_5c9d2164a87c86.43889590_0_0"	"PISA_lit-LTU_MAT_MA141-WaterBill_en21_MS2022.xlf"
"4699"	"Car"	"Automobilio"	"q2MA157_question_question02_4_5c9d216572f050.52985827_0"	"PISA_lit-LTU_MAT_MA157-Tyres_en21_MS2022.xlf"
"5075"	"Statement"	"Klausimas"	"q1MA161_question_q1tr1th1_5c9d2137a0deb4.05869160_0"	"PISA_lit-LTU_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"61"	"Refer to “Building Blocks” on the right."	"Remdamiesi dešinėje pateikta užduoties „Konstravimo kubeliai“ informacija"	"MA101_question3_itemDirections3_5c9d21361da254.90775832_0_0"	"PISA_lit-LTU_MAT_MA101-BuildingBlocks_en21_MS2022.xlf"
"2526"	"Read the introduction."	"Perskaitykite įvadą ir"	"question0a_1_itemDirections00_5c9d214b76c282.48085737_0_0"	"PISA_lit-LTU_MAT_MA129-ShelvingUnit_en21_MS2022.xlf"
"4702"	"Truck"	"Pikapo"	"q2MA157_question_question02_7_5c9d216572f717.86101949_0"	"PISA_lit-LTU_MAT_MA157-Tyres_en21_MS2022.xlf"
