"Segment"	"en-ZZ"	"gl-ES"	"ID"	"File"
"3470"	"Select"	"Seleccionar"	"q2CMA137_question_q1C0_5c9d216470b966.73073198_0"	"PISA_glg-ESP_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"2275"	"Select"	"Seleccionar"	"MA126_question02_S02tr11o0_5c9d214b52a4c8.83086782_0"	"PISA_glg-ESP_MAT_MA126-Robot_en21_MS2022.xlf"
"3913"	"Are the following statements true or false?"	"Son as seguintes afirmacións verdadeiras ou falsas?"	"q3MA144_question_q3p1_5c9d2164d149f9.75927623_0_0"	"PISA_glg-ESP_MAT_MA144-Yogurt_en21_MS2022.xlf"
"3475"	"Select"	"Seleccionar"	"q2CMA137_question_q1D0_5c9d216470c463.55070529_0"	"PISA_glg-ESP_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"1545"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ Lémbrate de seleccionar &lt;b&gt;un ou máis&lt;/b&gt; recadros."	"MA120_question2_Q02p3_5c9d214ae38a80.91484290_0"	"PISA_glg-ESP_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"3188"	"Select"	"Seleccionar"	"Q1MA134_question_Q01tr1td1SELECT1o0_5c9d2164317ac7.89754540_0"	"PISA_glg-ESP_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"2280"	"Select"	"Seleccionar"	"MA126_question02_S02tr12o0_5c9d214b52b310.84213382_0"	"PISA_glg-ESP_MAT_MA126-Robot_en21_MS2022.xlf"
"1825"	"Select"	"Seleccionar"	"MA121_question02_Q02UL2Li2o0_5c9d214b05a8c2.07370665_0"	"PISA_glg-ESP_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"2230"	"Select"	"Seleccionar"	"MA126_question02_S02tr2o0_5c9d214b524d76.91738922_0"	"PISA_glg-ESP_MAT_MA126-Robot_en21_MS2022.xlf"
"2245"	"Select"	"Seleccionar"	"MA126_question02_S02tr5o0_5c9d214b526582.27106050_0"	"PISA_glg-ESP_MAT_MA126-Robot_en21_MS2022.xlf"
"3864"	"269 kJ"	"276 kJ"	"MA144_stimulusb_rr3c2_5c9d2164ccaf11.37166809_0"	"PISA_glg-ESP_MAT_MA144-Yogurt_en21_MS2022.xlf"
"891"	"To run this simulation, follow these steps:"	"Para usar a calculadora, sigue os seguintes pasos:"	"q00body_q0p1_5c9d2136e26543.48980409_0"	"PISA_glg-ESP_MAT_MA112-Metabolism_en21_MS2022.xlf"
"3200"	"Select"	"Seleccionar"	"Q1MA134_question_Q01tr3td1SELECT1o0_5c9d2164318c81.53190451_0"	"PISA_glg-ESP_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"2225"	"Select"	"Seleccionar"	"MA126_question02_S02tr1o0_5c9d214b524626.30637212_0"	"PISA_glg-ESP_MAT_MA126-Robot_en21_MS2022.xlf"
"3488"	"Click on one or more boxes to answer the question."	"Fai clic en dous recadros para responderes a pregunta."	"q3CMA137_question_q3itemDirections_5c9d2164739181.43159279_1_0"	"PISA_glg-ESP_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"4242"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ Lémbrate de seleccionar &lt;b&gt;un ou máis&lt;/b&gt; recadros."	"q1MA149_question_q1p3_5c9d21652ae817.33454873_0"	"PISA_glg-ESP_MAT_MA149-FloorArea_en21_MS2022.xlf"
"1558"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ Lémbrate de seleccionar &lt;b&gt;un ou máis&lt;/b&gt; recadros."	"MA120_question3_Q03p3_5c9d214ae4afb4.01507702_0"	"PISA_glg-ESP_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"2240"	"Select"	"Seleccionar"	"MA126_question02_S02tr4o0_5c9d214b525d35.29219918_0"	"PISA_glg-ESP_MAT_MA126-Robot_en21_MS2022.xlf"
"1820"	"Select"	"Seleccionar"	"MA121_question02_Q02UL2Li1o0_5c9d214b05a107.46709526_0"	"PISA_glg-ESP_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"3460"	"Select"	"Seleccionar"	"q2CMA137_question_q1A0_5c9d216470a101.61255510_0"	"PISA_glg-ESP_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"2255"	"Select"	"Seleccionar"	"MA126_question02_S02tr7o0_5c9d214b527777.68714529_0"	"PISA_glg-ESP_MAT_MA126-Robot_en21_MS2022.xlf"
"2990"	"Using the number keys, type your answers to the question."	"Utilizando as teclas numéricas, escribe a túa resposta á pregunta."	"MA133Q02_question_q2itemDirections_5c9d2164239bf8.41097975_1_0"	"PISA_glg-ESP_MAT_MA133-ArrangingTables_en21_MS2022.xlf"
"1039"	"84+"	"85+"	"MA113S02_stimulus_tr10td7_5c9d214a666350.37673801_0"	"PISA_glg-ESP_MAT_MA113-HeartRate_en21_MS2022.xlf"
"2260"	"Select"	"Seleccionar"	"MA126_question02_S02tr8o0_5c9d214b528133.68273862_0"	"PISA_glg-ESP_MAT_MA126-Robot_en21_MS2022.xlf"
"2265"	"Select"	"Seleccionar"	"MA126_question02_S02tr9o0_5c9d214b528bc8.97835627_0"	"PISA_glg-ESP_MAT_MA126-Robot_en21_MS2022.xlf"
"3217"	"Using the number keys, type your answers to the question."	"Utilizando as teclas numéricas, escribe a túa resposta á pregunta."	"Q2MA134_question_Q2ItmDirP1Id_5c9d216433ba20.91339777_1_0"	"PISA_glg-ESP_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"4445"	"Select"	"Seleccionar"	"q2MA152_question_q2o0_5c9d216550cbf7.56001817_0"	"PISA_glg-ESP_MAT_MA152-TheBetterDeal_en21_MS2022.xlf"
"2235"	"Select"	"Seleccionar"	"MA126_question02_S02tr3o0_5c9d214b525521.10669663_0"	"PISA_glg-ESP_MAT_MA126-Robot_en21_MS2022.xlf"
"3194"	"Select"	"Seleccionar"	"Q1MA134_question_Q01tr2td1SELECT1o0_5c9d2164318406.38896392_0"	"PISA_glg-ESP_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"4904"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Fai clic en &lt;b&gt;Si&lt;/b&gt; ou &lt;b&gt;Non&lt;/b&gt; para cada unha das afirmacións."	"q1MA160_question_q1p1_5c9d21377c3598.13096072_1_0"	"PISA_glg-ESP_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"1830"	"Select"	"Seleccionar"	"MA121_question02_Q02UL2Li3o0_5c9d214b05b0d3.85923571_0"	"PISA_glg-ESP_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"3206"	"Select"	"Seleccionar"	"Q1MA134_question_Q01tr4td1SELECT1o0_5c9d2164319403.08217963_0"	"PISA_glg-ESP_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"956"	"To run this simulation, follow these steps:"	"Para usar a calculadora, sigue estes pasos:"	"menu_1_aMenu_part1_p1_5c9d2136e90d65.41091853_0"	"PISA_glg-ESP_MAT_MA112-Metabolism_en21_MS2022.xlf"
"2250"	"Select"	"Seleccionar"	"MA126_question02_S02tr6o0_5c9d214b526e30.75797689_0"	"PISA_glg-ESP_MAT_MA126-Robot_en21_MS2022.xlf"
"2270"	"Select"	"Seleccionar"	"MA126_question02_S02tr10o0_5c9d214b529a89.07692092_0"	"PISA_glg-ESP_MAT_MA126-Robot_en21_MS2022.xlf"
"5075"	"Statement"	"Pregunta"	"q1MA161_question_q1tr1th1_5c9d2137a0deb4.05869160_0"	"PISA_glg-ESP_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"2480"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Fai clic en &lt;b&gt;Verdadeira&lt;/b&gt; ou &lt;b&gt;Falsa&lt;/b&gt; para cada unha das afirmacións."	"MA128q04_question_q4p1_5c9d21372dc083.05811723_1_0"	"PISA_glg-ESP_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"3465"	"Select"	"Seleccionar"	"q2CMA137_question_q1B0_5c9d216470acd3.72235825_0"	"PISA_glg-ESP_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"5402"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Fai clic en &lt;b&gt;Si&lt;/b&gt; ou &lt;b&gt;Non&lt;/b&gt; para cada unha das afirmacións."	"q3MA160_question_q3p2_5c9d2137d54e96.19323569_1_0"	"PISA_glg-ESP_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
