"Segment"	"en-ZZ"	"zh-TW"	"ID"	"File"
"1878"	"Use drag and drop to answer the question."	"使用「拖曳」與「放置」功能來回答本題。"	"MA128_question1_q1itemDirections_5c9d214b319101.94990115_1_0"	"PISA_zho-TAP_MAT_MA123-SolarSystem_en21_MS2022.xlf"
"4011"	"Click on a choice and then type an explanation to answer the question."	"點選一個選項，然後用鍵盤輸入你的解釋來回答本題。"	"MA146q3_question_q3itemDirections_5c9d2164ee45c4.14040171_1_0"	"PISA_zho-TAP_MAT_MA146-Fuel_en21_MS2022.xlf"
"4306"	"Click on a choice and then type an explanation to answer the question."	"點選一個選項，然後用鍵盤輸入你的解釋來回答本題。"	"q3MA150_question_q3itemDirections_5c9d216539ff89.14130320_1_0"	"PISA_zho-TAP_MAT_MA150-TriangularPattern_en21_MS2022.xlf"
"4766"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"對每個敘述點選&lt;b&gt;正確&lt;/b&gt;還是&lt;b&gt;不正確&lt;/b&gt; 。"	"q2MA158_question_q2p2_5c9d21657cb501.68112298_0"	"PISA_zho-TAP_MAT_MA158-EyeColour_en21_MS2022.xlf"
"1432"	"Click on the choices in the table to answer the question."	"點選表格中的選項來回答本題。"	"MA117_question04_q04itemDirections_5c9d214ab14856.16755359_1_0"	"PISA_zho-TAP_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"1132"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each of the statements in the table below."	"對以下表格中的每個敘述，點選&lt;b&gt;正確&lt;/b&gt;還是&lt;b&gt;不正確&lt;/b&gt;。"	"Q02MA113_question_Q02P2_5c9d214a6c3ca7.40682286_0"	"PISA_zho-TAP_MAT_MA113-HeartRate_en21_MS2022.xlf"
"2732"	"Click on the choices in the table to answer the question."	"點選表格中的選項來回答本題。"	"MA130_question02_itemDirectionsQ02_5c9d214b8c2531.90987341_1_0"	"PISA_zho-TAP_MAT_MA130-SleepNReactionTime_en21_MS2022.xlf"
"4764"	"Click on the choices in the table to answer the question."	"點選以下表格中的選項來回答本題。"	"q2MA158_question_q2itemDirections_5c9d21657cb1d1.11526137_1_0"	"PISA_zho-TAP_MAT_MA158-EyeColour_en21_MS2022.xlf"
"4380"	"Click on the choices in the table to answer the question."	"點選以下表格中的選項來回答本題。"	"q1MA151_question_q1itemDirections_5c9d2165424791.67979223_1_0"	"PISA_zho-TAP_MAT_MA151-MovingOut_en21_MS2022.xlf"
"4202"	"Click on a choice and then type an explanation to answer the question."	"點選一個選項，然後用鍵盤輸入你的解釋來回答本題。"	"q3MA148_question_q3itemDirections_5c9d21651d9930.88789683_1_0"	"PISA_zho-TAP_MAT_MA148-ChanceOfRain_en21_MS2022.xlf"
"3296"	"4"	"４"	"CMA135_question3_xAxisLbl4_5c9d216451dac8.60370187_0"	"PISA_zho-TAP_MAT_MA135-ElectricBicycle_en21_MS2022.xlf"
