"Segment"	"en-ZZ"	"ar-PS"	"ID"	"File"
"1625"	"Using the number keys, type your answer to the question.&lt;/i&gt;"	"استخدم لوحة مفاتيح الأعداد واطبع إجابتك عن السؤال.&lt;/i&gt;"	"Q3M954_question_Q3itemDirections_5c9d1f9b569b47.27315905_1_0"	"PISA_ara-PSE_MAT_M954-MedicineDoses_en21_MS2022.xlf"
"1519"	"Using the number keys, type your answer to the question.&lt;/i&gt;"	"استخدم لوحة مفاتيح الأعداد واطبع إجابتك عن السؤال.&lt;/i&gt;"	"Q2M953_question_Q2itemDirections_5c9d1f9b4b39e4.91098988_1_0"	"PISA_ara-PSE_MAT_M953-FluTest_en21_MS2022.xlf"
"1596"	"Using the number keys, type your answer to the question.&lt;/i&gt;"	"استخدم لوحة مفاتيح الأعداد واطبع إجابتك عن السؤال.&lt;/i&gt;"	"Q1M954_question_Q1itemDirections_5c9d1f9b543d94.65836078_1_0"	"PISA_ara-PSE_MAT_M954-MedicineDoses_en21_MS2022.xlf"
"1270"	"A"	"و"	"Q1M943_question_label2_5c9d1f9b437e60.39506908_0"	"PISA_ara-PSE_MAT_M943-Arches_en21_MS2022.xlf"
"1547"	"%"	"⁒"	"Q3M953_question_Q3sp1_5c9d1f9b4c23d8.79132845_0"	"PISA_ara-PSE_MAT_M953-FluTest_en21_MS2022.xlf"
"1292"	"Using the number keys, type your answer to the question.&lt;/i&gt;"	"استخدم لوحة مفاتيح الأعداد واطبع إجابتك عن السؤال.&lt;/i&gt;"	"Q2M943_question_Q2itemDirections_5c9d1f9b446cc9.41811578_1_0"	"PISA_ara-PSE_MAT_M943-Arches_en21_MS2022.xlf"
"1149"	"Using the number keys, type your answer to the question.&lt;/i&gt;"	"استخدم لوحة مفاتيح الأعداد واطبع إجابتك عن السؤال.&lt;/i&gt;"	"Q2M919_question_Q2itemDirections_5c9d1f9b3cd8d8.41358841_1_0"	"PISA_ara-PSE_MAT_M919-FanMerchandise_en21_MS2022.xlf"
"1268"	"Click on a choice to answer the question.&lt;/i&gt;"	"انقر على البديل الذي يُمثِّل إجابة السؤال.&lt;/i&gt;"	"Q1M943_question_Q1itemDirections_5c9d1f9b437c37.29675377_1_0"	"PISA_ara-PSE_MAT_M943-Arches_en21_MS2022.xlf"
"591"	"calls&lt;/b&gt;"	"الوطنية &lt;/b&gt;"	"M559_stimulus_tr1td4_5c3f6286d54f11.28720476_2_0"	"PISA_ara-PSE_MAT_M559-TelephoneRates_en21_MS2022.xlf"
"892"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"انقرْ على البدائل في الجدول التي تُمثّل إجابة السؤال.&lt;/i&gt;"	"Q1M905_question_Q1itemDirections_5c9d1f9b2f5bf7.68192598_1_0"	"PISA_ara-PSE_MAT_M905-TennisBalls_en21_MS2022.xlf"
"1473"	"Note:"	"ملاحظة :"	"Q3M949_question_Q3label8_5c3f628de3c0f1.75639768_0_0"	"PISA_ara-PSE_MAT_M949-RoofTrussDesign_en21_MS2022.xlf"
"827"	"COUNTRIES"	"النامية"	"M828_stimulus_g2label1_5c3f6288d66cd4.79210494_2_0"	"PISA_ara-PSE_MAT_M828-CarbonDioxide_en21_MS2022.xlf"
"1660"	"Canada"	"أوغندا"	"M955_stimulus_tr4td1_5c3f628fa680d8.67171109_0"	"PISA_ara-PSE_MAT_M955-Migration_en21_MS2022.xlf"
"1669"	"India"	"تركيا"	"M955_stimulus_tr7td1_5c3f628fa68f72.02305931_0"	"PISA_ara-PSE_MAT_M955-Migration_en21_MS2022.xlf"
"1134"	"Using the number keys, type your answer to the question.&lt;/i&gt;"	"استخدم لوحة مفاتيح الأعداد واطبع إجابتك عن السؤال.&lt;/i&gt;"	"Q1M919_question_Q1itemDirections_5c9d1f9b3bca33.09462625_1_0"	"PISA_ara-PSE_MAT_M919-FanMerchandise_en21_MS2022.xlf"
"1663"	"China"	"البرازيل"	"M955_stimulus_tr5td1_5c3f628fa68595.42053352_0"	"PISA_ara-PSE_MAT_M955-Migration_en21_MS2022.xlf"
"1550"	"Show how you found your answer."	"وضّح كيف توصلت إلى إجابتك."	"Q3M953_question_Q3itemStem_5c9d1f9b4c2462.45792062_3_0"	"PISA_ara-PSE_MAT_M953-FluTest_en21_MS2022.xlf"
"594"	"calls&lt;/b&gt;"	"الدولية &lt;/b&gt;"	"M559_stimulus_tr1td5_5c3f6286d55034.31333157_2_0"	"PISA_ara-PSE_MAT_M559-TelephoneRates_en21_MS2022.xlf"
