"Segment"	"en-ZZ"	"ko-KR"	"ID"	"File"
"3912"	"Click on the choices in the table to answer the question."	"표에 있는 선택지를 클릭하여 물음에 답하시오."	"q3MA144_question_q3itemDirections_5c9d2164d14836.39405170_1_0"	"PISA_kor-KOR_MAT_MA144-Yogurt_en21_MS2022.xlf"
"1545"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓&lt;b&gt;한 개 또는 그 이상&lt;/b&gt; 선택할 수 있음을 기억하시오."	"MA120_question2_Q02p3_5c9d214ae38a80.91484290_0"	"PISA_kor-KOR_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"4011"	"Click on a choice and then type an explanation to answer the question."	"선택지를 하나 클릭하고 물음에 대한 답을 설명하시오."	"MA146q3_question_q3itemDirections_5c9d2164ee45c4.14040171_1_0"	"PISA_kor-KOR_MAT_MA146-Fuel_en21_MS2022.xlf"
"1432"	"Click on the choices in the table to answer the question."	"표에 있는 선택지를 클릭해서 물음에 답하시오."	"MA117_question04_q04itemDirections_5c9d214ab14856.16755359_1_0"	"PISA_kor-KOR_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"3653"	"Using the number keys, type your answer to the question."	"숫자 키를 사용하여 물음에 대한 답을 입력하시오."	"q1CMA141_question_q1itemDirections_5c9d2164a62046.76653380_1_0"	"PISA_kor-KOR_MAT_MA141-WaterBill_en21_MS2022.xlf"
"1782"	"Using the number keys, type your answer to the question."	"숫자 키를 사용하여 물음에 대한 답을 입력하시오."	"MA118_question01_q01itemDirections_5c9d214b02b426.25463544_1_0"	"PISA_kor-KOR_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"4422"	"Click on the choices in the table to answer the question."	"표에 있는 선택지를 클릭하여 물음에 답하시오."	"q1MA152_question_q1itemDirections_5c9d21654f6b95.79333200_1_0"	"PISA_kor-KOR_MAT_MA152-TheBetterDeal_en21_MS2022.xlf"
"5075"	"Statement"	"물음"	"q1MA161_question_q1tr1th1_5c9d2137a0deb4.05869160_0"	"PISA_kor-KOR_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"4380"	"Click on the choices in the table to answer the question."	"표에 있는 선택지를 클릭하여 물음에 답하시오."	"q1MA151_question_q1itemDirections_5c9d2165424791.67979223_1_0"	"PISA_kor-KOR_MAT_MA151-MovingOut_en21_MS2022.xlf"
"4904"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"각 설명에 대해 &lt;b&gt;예&lt;/b&gt; 또는 &lt;b&gt;아니요&lt;/b&gt;를 클릭하시오."	"q1MA160_question_q1p1_5c9d21377c3598.13096072_1_0"	"PISA_kor-KOR_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"1130"	"Click on the choices in the table to answer the question."	"표에 있는 선택지를 클릭해서 물음에 답하시오."	"Q02MA113_question_Q02itemDirections_5c9d214a6c39e7.02495684_1_0"	"PISA_kor-KOR_MAT_MA113-HeartRate_en21_MS2022.xlf"
"5190"	"Click on a choice and then type an explanation to answer the question."	"물음에 대한 답을 하나 선택하여 클릭하고, 그 답에 대한 설명을 입력하시오."	"q4MA161_question_q4itemDirections_5c9d2137a76b55.99656517_2_0"	"PISA_kor-KOR_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"1556"	"Click on one or more boxes to answer the question."	"물음에 대한 답을 한 개 또는 그 이상 선택하여 클릭하시오."	"MA120_question3_itemDirectionsQ03_5c9d214ae4ac85.25797889_1_0"	"PISA_kor-KOR_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"4646"	"Click on a choice and then type an explanation to answer the question."	"선택지를 하나 클릭하고 물음에 대한 답을 설명하시오."	"q1MA156_question_q1itemDirections_5c9d21656932b0.11712938_1_0"	"PISA_kor-KOR_MAT_MA156-Points_en21_MS2022.xlf"
"1482"	"Using the number keys, type your answer to the question."	"숫자 키를 사용하여 물음에 대한 답을 입력하시오."	"MA119_question3_itemDirections3_5c9d214ad81398.66377695_1_0"	"PISA_kor-KOR_MAT_MA119-MusicSurvey_en21_MS2022.xlf"
"1423"	"Using the number keys, type your answer to the question."	"숫자 키를 사용하여 물음에 대한 답을 입력하시오."	"MA117_question03_q03itemDirections_5c9d214aaf7521.90788246_1_0"	"PISA_kor-KOR_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"1333"	"Using the number keys, type your answer to the question."	"숫자 키를 사용하여 물음에 대한 답을 입력하시오."	"MA116_question2_itemDirections2_5c9d214a9b0fd8.94394432_1_0"	"PISA_kor-KOR_MAT_MA116-InternationalSchool_en21_MS2022.xlf"
"4265"	"Click on a choice and then type an explanation to answer the question."	"선택지를 하나 클릭하고 물음에 대한 답을 설명하시오."	"q3MA149_question_q3itemDirections_5c9d21652d7289.76917872_1_0"	"PISA_kor-KOR_MAT_MA149-FloorArea_en21_MS2022.xlf"
"1976"	"Explain your answer."	"답을 설명하시오."	"Q3MA124_question_MA124Q03P3_5c9d214b42a550.23637236_0"	"PISA_kor-KOR_MAT_MA124-ZedlandTopography_en21_MS2022.xlf"
"956"	"To run this simulation, follow these steps:"	"계산기를 이용하려면 다음 단계를 따르시오:"	"menu_1_aMenu_part1_p1_5c9d2136e90d65.41091853_0"	"PISA_kor-KOR_MAT_MA112-Metabolism_en21_MS2022.xlf"
"2454"	"mg"	"mg 까지"	"MA128q02_question_question02_8_5c9d21372a70e0.38805601_0"	"PISA_kor-KOR_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"3174"	"&lt;b&gt; Total &lt;/b&gt;"	"&lt;b&gt; 합계 &lt;/b&gt;"	"MA134_stimulus3_stimulus03_57_5c9d21642f4bf9.88936552_0"	"PISA_kor-KOR_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"4764"	"Click on the choices in the table to answer the question."	"표에 있는 선택지를 클릭하여 물음에 답하시오."	"q2MA158_question_q2itemDirections_5c9d21657cb1d1.11526137_1_0"	"PISA_kor-KOR_MAT_MA158-EyeColour_en21_MS2022.xlf"
"3914"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"각 설명에 대하여 &lt;b&gt;참&lt;/b&gt; 또는 &lt;b&gt;거짓&lt;/b&gt; 중 하나를 선택하시오."	"q3MA144_question_q3p1_5c9d2164d149f9.75927623_1_0"	"PISA_kor-KOR_MAT_MA144-Yogurt_en21_MS2022.xlf"
"3162"	"&lt;b&gt; Total &lt;/b&gt;"	"&lt;b&gt; 합계 &lt;/b&gt;"	"MA134_stimulus3_stimulus03_45_5c9d21642f31d1.99013301_0"	"PISA_kor-KOR_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"4306"	"Click on a choice and then type an explanation to answer the question."	"선택지를 하나 클릭하고 물음에 대한 답을 설명하시오."	"q3MA150_question_q3itemDirections_5c9d216539ff89.14130320_1_0"	"PISA_kor-KOR_MAT_MA150-TriangularPattern_en21_MS2022.xlf"
"891"	"To run this simulation, follow these steps:"	"계산기를 이용하려면 다음 단계를 따르시오:"	"q00body_q0p1_5c9d2136e26543.48980409_0"	"PISA_kor-KOR_MAT_MA112-Metabolism_en21_MS2022.xlf"
"1343"	"Using the number keys, type your answer to the question."	"숫자 키를 사용하여 물음에 대한 답을 입력하시오."	"MA116_question3_itemDirections3_5c9d214a9c49c7.11195988_1_0"	"PISA_kor-KOR_MAT_MA116-InternationalSchool_en21_MS2022.xlf"
"3372"	"Click on a choice and then type an explanation to answer the question."	"선택지를 하나 클릭하고 물음에 대한 답을 설명하시오."	"MA136_question02_q2itemDirections_5c9d216461f9f0.70778441_1_0"	"PISA_kor-KOR_MAT_MA136-MovieRewards_en21_MS2022.xlf"
