"Segment"	"en-ZZ"	"pt-PT"	"ID"	"File"
"2898"	"Type your answer to the question."	"Escreve a resposta à questão."	"R550_question09_q09itemDirections_56fc785ced99f2.99132393_1_0"	"PISA_por-PRT_REA_R550-CliffPalace_en18_MS2022.xlf"
"3828"	"Click on a choice to answer the question."	"Para responderes à questão, seleciona uma opção."	"R559_question04_q04itemDirections_56fc783b27f456.31679060_1_0"	"PISA_por-PRT_REA_R559-NaliniNadkarni_en18_MS2022.xlf"
"6159"	"Then click on the NEXT arrow."	"Depois clica na seta SEGUINTE."	"q0cR590_question_q0citemDirections_56fd2311163946.15922865_1_0"	"PISA_por-PRT_REA_R590-Sentences01_en18_MS2022.xlf"
"4021"	"Then click on the NEXT arrow."	"Depois clica na seta SEGUINTE."	"q00abody_q00aitemDirections_56fc784a8205f2.33738515_1_0"	"PISA_por-PRT_REA_R560-GarbagePatch_en18_MS2022.xlf"
"1562"	"Thursday"	"Quinta-feira"	"Q09R542_question_Q09r5c1_56fc7821125b03.05473188_0"	"PISA_por-PRT_REA_R542-BulletinBoard_en18_MS2022.xlf"
"4632"	"Type your answers to the questions."	"Escreve a resposta à questão.&lt;/i&gt;"	"R563_question10_q10itemDirections_56fc786b4e31f5.41702157_1_0"	"PISA_por-PRT_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"2877"	"Click on a choice to answer the question."	"Para responderes à questão, seleciona uma opção."	"R550_question07_q07itemDirections_56fc785ce9aa50.47831080_1_0"	"PISA_por-PRT_REA_R550-CliffPalace_en18_MS2022.xlf"
"5557"	"Click on a choice to answer the question."	"Para responderes à questão, seleciona uma opção."	"R568_question03_q03itemDirections_56fc784aa61dd0.11236281_1_0"	"PISA_por-PRT_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5571"	"Type your answer to the question."	"Escreve a resposta à questão."	"R568_question04_q04itemDirections_56fc784aa79954.99366440_1_0"	"PISA_por-PRT_REA_R568-SpaceDebris_en18_MS2022.xlf"
"3800"	"Click on a choice to answer the question."	"Para responderes à questão, seleciona uma opção."	"R559_question02_q02itemDirections_56fc783b259b76.36684830_1_0"	"PISA_por-PRT_REA_R559-NaliniNadkarni_en18_MS2022.xlf"
"3211"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Depois clica na seta SEGUINTE. &lt;/i&gt;"	"question00a_1_itemDirections0a_56fc784a5a26a5.39697544_1_0"	"PISA_por-PRT_REA_R553-HealthForum_en18_MS2022.xlf"
"4631"	"Refer to the different webpages of the website on the right."	"Considera a informação nos vários separadores do &lt;i&gt;site&lt;/i&gt; apresentado à direita."	"R563_question10_q10itemDirections_56fc786b4e31f5.41702157_0_0"	"PISA_por-PRT_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4334"	"Click on a choice and then type an explanation to answer the question."	"Para responderes à questão, seleciona uma opção e depois escreve uma justificação."	"R562_question06_q06itemDirections_56fc783b465e44.74175451_1_0"	"PISA_por-PRT_REA_R562-OpeningNight_en18_MS2022.xlf"
"2847"	"Click on a choice to answer the question."	"Para responderes à questão, seleciona uma opção."	"R550_question05_q05itemDirections_56fc785ce59224.28868554_1_0"	"PISA_por-PRT_REA_R550-CliffPalace_en18_MS2022.xlf"
"4120"	"Click on a choice to answer the question."	"Para responderes à questão, seleciona uma opção."	"R561_question01_q01itemDirections_56fc785d275c31.65450272_1_0"	"PISA_por-PRT_REA_R561-OlympicFlag_en18_MS2022.xlf"
"3777"	"Read the Introduction."	"Lê a introdução."	"q00body_q00itemDirections_56fc783b2348f3.80349298_0_0"	"PISA_por-PRT_REA_R559-NaliniNadkarni_en18_MS2022.xlf"
"4716"	"Click on a choice to answer the question."	"Para responderes à questão, seleciona uma opção."	"R564_question04_q04itemDirections_56fc783b5f9314.54350838_1_0"	"PISA_por-PRT_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"3275"	"&lt;b&gt;Teen Health Forum&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Fórum sobre a saúde dos adolescentes&lt;/b&gt;&lt;br /&gt;"	"R553_question5_q05itemTitle_56fc784a613eb5.79028688_0_0"	"PISA_por-PRT_REA_R553-HealthForum_en18_MS2022.xlf"
"2643"	"Home"	"Página Inicial"	"R550_stimulus01_stimulus1_1_56fc785cc5fc61.08831919_0"	"PISA_por-PRT_REA_R550-CliffPalace_en18_MS2022.xlf"
"4853"	"Type your answer to the question.&lt;/i&gt;"	"Escreve a resposta à questão. &lt;/i&gt;"	"R565_question4_itemDirections_56fc785d5db7c6.75871172_1_0"	"PISA_por-PRT_REA_R565-SittingDisease_en18_MS2022.xlf"
