"Segment"	"en-ZZ"	"it-IT"	"ID"	"File"
"304"	"S"	"D"	"R219_stimulus_stimulus_10_50c7b7b8f249a1.54703855_0"	"PISA_ita-ITA_REA_R219-Employment_en15_MS2022.xlf"
"586"	"16 hours&lt;br /&gt;of darkness"	"16 ore di&lt;br /&gt;oscurità"	"R220_stimulus_label4_50c7c0841c6d32.78877218_0"	"PISA_ita-ITA_REA_R220-SouthPole_en15_MS2022.xlf"
"3275"	"&lt;b&gt;Teen Health Forum&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Forum sulla salute degli adolescenti&lt;/b&gt; &lt;br /&gt;"	"R553_question5_q05itemTitle_56fc784a613eb5.79028688_0_0"	"PISA_ita-ITA_REA_R553-HealthForum_en18_MS2022.xlf"
"331"	"Then click on the NEXT arrow to view the first question."	"Poi clicca sulla freccia del pulsante AVANTI per vedere la domanda."	"R220_question_introBullet3_50c7c083f2c590.48222589_0"	"PISA_ita-ITA_REA_R220-SouthPole_en15_MS2022.xlf"
"2102"	"True"	"Vera"	"R545_question03_Q03tr1th2_56fc7821ad9111.87122059_0"	"PISA_ita-ITA_REA_R545-MachuPicchu_en18_MS2022.xlf"
"4942"	"Website"	"Sito Web"	"R566_Stimulus03_stimulus3_6_56fc786b74d361.28053469_0"	"PISA_ita-ITA_REA_R566-SkelligRocks_en18_MS2022.xlf"
"3258"	"&lt;b&gt;Teen Health Forum&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Forum sulla salute degli adolescenti&lt;/b&gt; &lt;br /&gt;"	"R553_question4_q04itemTitle_56fc784a5fe265.49123770_0_0"	"PISA_ita-ITA_REA_R553-HealthForum_en18_MS2022.xlf"
"3237"	"&lt;b&gt;Teen Health Forum&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Forum sulla salute degli adolescenti&lt;/b&gt; &lt;br /&gt;"	"R553_question2_q02itemTitle_56fc784a5d5d98.95342202_0_0"	"PISA_ita-ITA_REA_R553-HealthForum_en18_MS2022.xlf"
"1313"	"False"	"Falsa"	"Q07_question_tr1th3_56fc7820d48d81.68230758_0"	"PISA_ita-ITA_REA_R541-Plastic_en18_MS2022.xlf"
"3123"	"Click on a choice and then type an explanation to answer the question."	"Per rispondere alla domanda, clicca su una risposta e poi digita il motivo della tua scelta."	"R552_question08_q08itemDirections_56fd79426a23e6.65077049_1_0"	"PISA_ita-ITA_REA_R552-FestiRock_en18_MS2022.xlf"
"1686"	"&lt;i&gt;Refer to “Alfred Bernhard Nobel” on the right."	"&lt;i&gt;Fai riferimento ad &quot;Alfred Bernhard Nobel” presentato sulla destra."	"R543_question3_itemDirections_56fc78213692b4.63556835_0_0"	"PISA_ita-ITA_REA_R543-Nobel_en18_MS2022.xlf"
"517"	"16 hours&lt;br /&gt;of darkness"	"16 ore di&lt;br /&gt;oscurità"	"R220_stimulus_label4_50c7c084163255.90960958_0"	"PISA_ita-ITA_REA_R220-SouthPole_en15_MS2022.xlf"
"4182"	"Use drag and drop to answer the question."	"Per rispondere alla domanda, seleziona e trascina l'alternativa corretta."	"R561_question05_q05itemDirections_56fc785d2dbd00.55276440_1_0"	"PISA_ita-ITA_REA_R561-OlympicFlag_en18_MS2022.xlf"
"5286"	"Refer to the Web Search on the right."	"Fai riferimento alla ricerca su Internet presentata sulla destra."	"R567_question06_q06itemDirections_56fc7879127de3.09243109_0_0"	"PISA_ita-ITA_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"588"	"continuous&lt;br /&gt;daylight"	"luce&lt;br /&gt;continua"	"R220_stimulus_label6_50c7c0841c73e3.17915852_0"	"PISA_ita-ITA_REA_R220-SouthPole_en15_MS2022.xlf"
"5384"	"&lt;b&gt;Smokejumpers&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Paracadutista antincendio&lt;/b&gt;&lt;br /&gt;"	"q0b-body_itemTitle0b_56fc78791b8bb1.21197988_0"	"PISA_ita-ITA_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4740"	"And it was my privilege to listen.”&lt;/i&gt;"	"E io ho avuto il privilegio di ascoltarla».&lt;/i&gt;"	"R564_question06_q06p1_56fc783b61dba1.37708657_1_0"	"PISA_ita-ITA_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"1312"	"True"	"Vera"	"Q07_question_tr1th2_56fc7820d48a65.56061412_0"	"PISA_ita-ITA_REA_R541-Plastic_en18_MS2022.xlf"
"52"	"&lt;b&gt;Shirts&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;CAMICIE&lt;/b&gt;&lt;br /&gt; Domanda"	"R102_question_itemTitle_50c7aed955ac81.98714298_0"	"PISA_ita-ITA_REA_R102-Shirts_en15_MS2022.xlf"
"5942"	"Click on the NEXT arrow to read the story."	"Per leggere la storia, clicca sulla freccia del pulsante AVANTI."	"q00c-body_q00c-p2_56fc787976c2f9.32730316_0"	"PISA_ita-ITA_REA_R570-TheFavour_en18_MS2022.xlf"
"2103"	"False"	"Falsa"	"R545_question03_Q03tr1th3_56fc7821ad93b8.10756218_0"	"PISA_ita-ITA_REA_R545-MachuPicchu_en18_MS2022.xlf"
"1700"	"&lt;i&gt;Refer to “Alfred Bernhard Nobel” on the right."	"&lt;i&gt;Fai riferimento ad &quot;Alfred Bernhard Nobel” presentato sulla destra."	"R543_question4_itemDirections_56fc7821381578.06834284_0_0"	"PISA_ita-ITA_REA_R543-Nobel_en18_MS2022.xlf"
"5378"	"Click on the NEXT arrow to read the webpage."	"Per leggere il sito Web, clicca sulla freccia del pulsante AVANTI."	"q0a-body_q0a-p3_56fc787919cf45.17795726_0"	"PISA_ita-ITA_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4206"	"Click on a choice and then type an explanation to answer the question."	"Per rispondere alla domanda, clicca su una risposta e poi digita il motivo della tua scelta."	"R561_question07_q07itemDirections_56fc785d30dd05.49847214_1_0"	"PISA_ita-ITA_REA_R561-OlympicFlag_en18_MS2022.xlf"
"4134"	"Type your answer to the question."	"Per rispondere alla domanda, clicca su una delle alternative e poi digita una spiegazione."	"R561_question02_q02itemDirections_56fc785d28cac5.31556981_1_0"	"PISA_ita-ITA_REA_R561-OlympicFlag_en18_MS2022.xlf"
"4944"	"Website"	"Sito Web"	"R566_Stimulus04_stimulus4_6_56fc786b7611d9.06257189_0"	"PISA_ita-ITA_REA_R566-SkelligRocks_en18_MS2022.xlf"
"585"	"20 hours&lt;br /&gt;of darkness"	"20 ore di&lt;br /&gt;oscurità"	"R220_stimulus_label3_50c7c0841c69e7.22338931_0"	"PISA_ita-ITA_REA_R220-SouthPole_en15_MS2022.xlf"
"1049"	"&gt; For purchases between £60 and £149.99, Work Right will reimburse you £20.&lt;br /&gt; &gt; For purchases between £150 and £299.99, Work Right will reimburse you £50.&lt;br /&gt; &gt; For purchases of £300 or more, Work Right will reimburse you £100.&lt;br /&gt;"	"&gt; Mondufficio rimborsa &lt;span id=&quot;q3key&quot;&gt;20&lt;/span&gt; € per acquisti da 60 a 149,99 €.&lt;br /&gt; &gt; Mondufficio rimborsa 50 € per acquisti da 150 a 299,99 €.&lt;br /&gt; &gt; Mondufficio rimborsa 100 € per acquisti dai 300 € in su.&lt;br /&gt;"	"R466_stimulus_line5_50c7c97e821963.40952343_0"	"PISA_ita-ITA_REA_R466-WorkRight_en15_MS2022.xlf"
"5786"	"Park"	"Parco"	"q2R569_question_source2_56fc78794f5ed5.21217846_0"	"PISA_ita-ITA_REA_R569-TheCleanup_en18_MS2022.xlf"
"3251"	"&lt;b&gt;Teen Health Forum&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Forum sulla salute degli adolescenti&lt;/b&gt; &lt;br /&gt;"	"R553_question_q03itemTitle_56fc784a5eb650.18801947_0_0"	"PISA_ita-ITA_REA_R553-HealthForum_en18_MS2022.xlf"
"3223"	"&lt;b&gt;Teen Health Forum&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Forum sulla salute degli adolescenti&lt;/b&gt; &lt;br /&gt;"	"R553_question01_q01itemTitle_56fc784a5c01d7.46254344_0_0"	"PISA_ita-ITA_REA_R553-HealthForum_en18_MS2022.xlf"
"520"	"continuous&lt;br /&gt;daylight"	"luce&lt;br /&gt;continua"	"R220_stimulus_label7_50c7c084163e07.45731744_0"	"PISA_ita-ITA_REA_R220-SouthPole_en15_MS2022.xlf"
"5389"	"&lt;b&gt;Smokejumpers&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Paracadutista antincendio&lt;/b&gt;&lt;br /&gt;"	"R568_question10_q10itemTitle_56fc78791dbdc7.59469592_0_0"	"PISA_ita-ITA_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"519"	"continuous&lt;br /&gt;daylight"	"luce&lt;br /&gt;continua"	"R220_stimulus_label6_50c7c084163a88.63722265_0"	"PISA_ita-ITA_REA_R220-SouthPole_en15_MS2022.xlf"
"515"	"16 hours&lt;br /&gt;of darkness"	"16 ore di&lt;br /&gt;oscurità"	"R220_stimulus_label2_50c7c084162bd2.23176565_0"	"PISA_ita-ITA_REA_R220-SouthPole_en15_MS2022.xlf"
"2101"	"Is the statement true or false?"	"Secondo l'opuscolo, l'affermazione è vera o falsa?"	"R545_question03_Q03tr1th1_56fc7821ad8e59.97792072_0"	"PISA_ita-ITA_REA_R545-MachuPicchu_en18_MS2022.xlf"
"5296"	"Refer to the Web Search on the right."	"Fai riferimento alla ricerca su Internet presentata sulla destra."	"R567_question07_q07itemDirections_56fc787913cff0.88321485_0_0"	"PISA_ita-ITA_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"589"	"continuous&lt;br /&gt;daylight"	"luce&lt;br /&gt;continua"	"R220_stimulus_label7_50c7c0841c7750.30530313_0"	"PISA_ita-ITA_REA_R220-SouthPole_en15_MS2022.xlf"
"584"	"16 hours&lt;br /&gt;of darkness"	"16 ore di&lt;br /&gt;oscurità"	"R220_stimulus_label2_50c7c0841c66a9.32519538_0"	"PISA_ita-ITA_REA_R220-SouthPole_en15_MS2022.xlf"
"5646"	"Click on the NEXT arrow to read the webpage."	"Per leggere il sito Web, clicca sulla freccia del pulsante AVANTI."	"q0a-body_q0a-p2_56fc784ab0c4f8.74675205_0"	"PISA_ita-ITA_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5775"	"Use drag and drop to answer the question."	"Per rispondere alla domanda, trascina l'alternativa corretta."	"q2R569_question_q02itemDirections_56fc78794f33a1.24376468_1_0"	"PISA_ita-ITA_REA_R569-TheCleanup_en18_MS2022.xlf"
"1672"	"&lt;i&gt;Refer to “Alfred Bernhard Nobel” on the right."	"&lt;i&gt;Fai riferimento ad &quot;Alfred Bernhard Nobel” presentato sulla destra."	"R543_question2_itemDirections_56fc7821351641.10631472_0_0"	"PISA_ita-ITA_REA_R543-Nobel_en18_MS2022.xlf"
"4632"	"Type your answers to the questions."	"Digita la risposta alla domanda."	"R563_question10_q10itemDirections_56fc786b4e31f5.41702157_1_0"	"PISA_ita-ITA_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"516"	"20 hours&lt;br /&gt;of darkness"	"20 ore di&lt;br /&gt;oscurità"	"R220_stimulus_label3_50c7c084162f03.54311089_0"	"PISA_ita-ITA_REA_R220-SouthPole_en15_MS2022.xlf"
"5991"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each activity."	"Per ogni attività clicca su &lt;b&gt;Sì&lt;/b&gt; o su &lt;b&gt;No&lt;/b&gt;."	"R570_question04_q04p1_56fc78797ba9b4.63482118_1_0"	"PISA_ita-ITA_REA_R570-TheFavour_en18_MS2022.xlf"
"301"	"T"	"G"	"R219_stimulus_stimulus_7_50c7b7b8f23e80.69275649_0"	"PISA_ita-ITA_REA_R219-Employment_en15_MS2022.xlf"
"4334"	"Click on a choice and then type an explanation to answer the question."	"Per rispondere alla domanda, clicca su una risposta e poi digita il motivo della tua scelta."	"R562_question06_q06itemDirections_56fc783b465e44.74175451_1_0"	"PISA_ita-ITA_REA_R562-OpeningNight_en18_MS2022.xlf"
