"Segment"	"en-ZZ"	"eu-ES"	"ID"	"File"
"5075"	"Statement"	"Galdera"	"q1MA161_question_q1tr1th1_5c9d2137a0deb4.05869160_0"	"PISA_eus-ESP_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"3903"	"4%"	"% 4"	"q2MA144_question_question02_4_5c9d2164cfd643.79201671_0"	"PISA_eus-ESP_MAT_MA144-Yogurt_en21_MS2022.xlf"
"4632"	"Explain your answer and include numerical values to support your explanation."	"Azaldu zure erantzuna eta erabili zenbakizko balioak zure azalpena oinarritzeko."	"q3MA154_question_q3p3_5c9d21655e78d5.34923288_0"	"PISA_eus-ESP_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"891"	"To run this simulation, follow these steps:"	"Kalkulagailua erabiltzeko, jarraitu urrats hauei:"	"q00body_q0p1_5c9d2136e26543.48980409_0"	"PISA_eus-ESP_MAT_MA112-Metabolism_en21_MS2022.xlf"
"1039"	"84+"	"85+"	"MA113S02_stimulus_tr10td7_5c9d214a666350.37673801_0"	"PISA_eus-ESP_MAT_MA113-HeartRate_en21_MS2022.xlf"
"1558"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ Gogoratu lauki &lt;b&gt;bat edo gehiago&lt;/b&gt; hautatzea."	"MA120_question3_Q03p3_5c9d214ae4afb4.01507702_0"	"PISA_eus-ESP_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"1545"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ Gogoratu lauki &lt;b&gt;bat edo gehiago&lt;/b&gt; hautatzea."	"MA120_question2_Q02p3_5c9d214ae38a80.91484290_0"	"PISA_eus-ESP_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"2454"	"mg"	"mg-ra"	"MA128q02_question_question02_8_5c9d21372a70e0.38805601_0"	"PISA_eus-ESP_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"4242"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ Gogoratu lauki &lt;b&gt;bat edo gehiago&lt;/b&gt; hautatzea."	"q1MA149_question_q1p3_5c9d21652ae817.33454873_0"	"PISA_eus-ESP_MAT_MA149-FloorArea_en21_MS2022.xlf"
"2570"	"4%"	"% 4"	"MA130_question03_question3_4_5c9d214b7a7632.75136150_0"	"PISA_eus-ESP_MAT_MA129-ShelvingUnit_en21_MS2022.xlf"
"2797"	"13:07"	"13:07an"	"MA131_question1_question01_6_5c9d214ba1f728.44485898_0"	"PISA_eus-ESP_MAT_MA131-TravellingByTrain_en21_MS2022.xlf"
"2990"	"Using the number keys, type your answers to the question."	"Zenbaki teklak erabiliz, idatzi galderaren erantzuna."	"MA133Q02_question_q2itemDirections_5c9d2164239bf8.41097975_1_0"	"PISA_eus-ESP_MAT_MA133-ArrangingTables_en21_MS2022.xlf"
"3864"	"269 kJ"	"276 kJ"	"MA144_stimulusb_rr3c2_5c9d2164ccaf11.37166809_0"	"PISA_eus-ESP_MAT_MA144-Yogurt_en21_MS2022.xlf"
"3981"	"Litres"	"Litroak"	"MA146_stimulus3_liters_5c9d2164e9e439.48235083_0"	"PISA_eus-ESP_MAT_MA146-Fuel_en21_MS2022.xlf"
"2796"	"11:07"	"11:07an"	"MA131_question1_question01_5_5c9d214ba1f5a2.18702157_0"	"PISA_eus-ESP_MAT_MA131-TravellingByTrain_en21_MS2022.xlf"
"2794"	"9:17"	"09:17an"	"MA131_question1_question01_3_5c9d214ba1f288.19658897_0"	"PISA_eus-ESP_MAT_MA131-TravellingByTrain_en21_MS2022.xlf"
"5190"	"Click on a choice and then type an explanation to answer the question."	"Egin klik aukera batean eta, ondoren, idatzi azalpen bat galderari erantzuteko."	"q4MA161_question_q4itemDirections_5c9d2137a76b55.99656517_2_0"	"PISA_eus-ESP_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"5440"	"Population"	"Populazioa"	"js_translation_population_5c9d2137d7d9a3.64884104_0"	"PISA_eus-ESP_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"3488"	"Click on one or more boxes to answer the question."	"Egin klik bi laukitan, galderari erantzuteko."	"q3CMA137_question_q3itemDirections_5c9d2164739181.43159279_1_0"	"PISA_eus-ESP_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"4015"	"Explain your answer and include numerical values to support your explanation."	"Azaldu zure erantzuna eta erabili zenbakizko balioak zure azalpena oinarritzeko."	"MA146q3_question_q3p2_5c9d2164ee4c90.34674865_0"	"PISA_eus-ESP_MAT_MA146-Fuel_en21_MS2022.xlf"
"2459"	"mg"	"mg-ra"	"MA128q02_question_question02_13_5c9d21372a79d4.15572906_0"	"PISA_eus-ESP_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"2795"	"9:37"	"09:37an"	"MA131_question1_question01_4_5c9d214ba1f418.79057605_0"	"PISA_eus-ESP_MAT_MA131-TravellingByTrain_en21_MS2022.xlf"
"3217"	"Using the number keys, type your answers to the question."	"Zenbaki teklak erabiliz, idatzi galderaren erantzuna."	"Q2MA134_question_Q2ItmDirP1Id_5c9d216433ba20.91339777_1_0"	"PISA_eus-ESP_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"4867"	"Were you employed during the academic year?"	"Izan al duzu enplegurik ikasturte honetan?"	"q00body_q0p3_5c9d213777a552.36690745_0"	"PISA_eus-ESP_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
