"Segment"	"en-ZZ"	"be-BY"	"ID"	"File"
"4670"	"Click on the NEXT arrow to read the brochure."	"Націсніце на стрэлку ДАЛЕЙ, каб прачытаць рэкламны буклет."	"q00body_q00p3_56fc783b5af5d9.50141633_0"	"PISA_bel-BLR_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"3100"	"&lt;b&gt;FestiRock&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;&gt;FestiRock&lt;/b&gt;&lt;br /&gt;"	"R552_question06_q06itemTitle_56fd794266b1f3.31918014_0_0"	"PISA_bel-BLR_REA_R552-FestiRock_en18_MS2022.xlf"
"6060"	"Click on a choice to answer the question."	"Адзначце адзін з варыянтаў, каб адказаць на пытанне."	"R570_question08_q08itemDirections_56fc787985fd79.79010288_1_0"	"PISA_bel-BLR_REA_R570-TheFavour_en18_MS2022.xlf"
"156"	"£15"	"43 рублі"	"R102_stimulus_tr18td3_56f9cf6a6a98a3.89382285_0"	"PISA_bel-BLR_REA_R102-Shirts_en18_MS2022.xlf"
"480"	"When they reached the summit, Amundsen had the excess dogs destroyed, keeping only eighteen for three sledges. On 10 December, they were just 112 kilometres from the South Pole. The altitude was decreasing."	"Калі яны дасягнулі вяршыні, Амундсен загадаў забіць лішніх сабак, пакінуўшы толькі васямнаццаць для трох санак. 10 снежня яны былі ўсяго за 112 кіламетраў ад Паўднёвага полюса. Вышыня над узроўнем мора змяншаецца."	"R220_stimulus_p3_56f9cf6a969b78.51200499_0"	"PISA_bel-BLR_REA_R220-SouthPole_en18_MS2022.xlf"
"401"	"When they reached the summit, Amundsen had the excess dogs destroyed, keeping only eighteen for three sledges. On 10 December, they were just 112 kilometres from the South Pole. The altitude was decreasing."	"Калі яны дасягнулі вяршыні, Амундсен загадаў забіць лішніх сабак, пакінуўшы толькі васямнаццаць для трох санак. 10 снежня яны былі ўсяго за 112 кіламетраў ад Паўднёвага полюса. Вышыня над узроўнем мора змяншаецца."	"R220_stimulus_p3_56f9cf6a918a78.29840784_0"	"PISA_bel-BLR_REA_R220-SouthPole_en18_MS2022.xlf"
"3073"	"Click on the choices in the table to answer the question."	"Адзначце варыянты ў табліцы, каб адказаць на пытанне."	"R552_question04_q04itemDirections_56fd794262d177.81724264_1_0"	"PISA_bel-BLR_REA_R552-FestiRock_en18_MS2022.xlf"
"4620"	"Click on a choice to answer the question."	"Адзначце адзін з варыянтаў, каб адказаць на пытанне."	"R563_question09_q09itemDirections_56fc786b4ba5d3.14167925_1_0"	"PISA_bel-BLR_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4946"	"Website"	"Вэб-сайт"	"R566_Stimulus04_stimulus4_6_56fc786b7611d9.06257189_0"	"PISA_bel-BLR_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5977"	"Click on a choice to answer the question."	"Адзначце адзін з варыянтаў, каб адказаць на пытанне."	"R570_question03_q03itemDirections_56fc78797a3fe7.10691677_1_0"	"PISA_bel-BLR_REA_R570-TheFavour_en18_MS2022.xlf"
"5395"	"Click on a choice to answer the question."	"Адзначце адзін з варыянтаў, каб адказаць на пытанне."	"R568_question10_q10itemDirections_56fc78791dc480.80691911_1_0"	"PISA_bel-BLR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
