"Segment"	"en-ZZ"	"gl-ES"	"ID"	"File"
"205"	"&lt;i&gt;Click on the choices in the table to answer the question.&lt;/i&gt;"	"&lt;i&gt;Fai clic nas opcións da táboa para responderes a pregunta.&lt;/i&gt;"	"S413_question2_itemDirections2_5106513d1814f8.32680153_0"	"PISA_glg-ESP_SCI_S413-PlasticAge_en15_MS2022.xlf"
"645"	"Bacteria"	"As bacterias."	"S478_question1_question1_3_510651719006d8.46006224_0"	"PISA_glg-ESP_SCI_S478-Antibiotics_en15_MS2022.xlf"
"936"	"lower"	"menos elevadas"	"S602_question4_S602Q04SELECT32_515e3a71ecff57.11412426_0"	"PISA_glg-ESP_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2492"	"High"	"Elevado"	"stimulus2_1_stimulus2_46_51940bae4fd1e3.66045354_0"	"PISA_glg-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2666"	"LED light bulbs"	"Ás lámpadas LED"	"question5_1_question5_7_51940c10266fe0.14307762_0"	"PISA_glg-ESP_SCI_S643-LightBulbs_en15_MS2022.xlf"
"1346"	"Are fences the best way to protect acacia trees from elephants?"	"Son as cercas o mellor xeito de protexer as acacias dos elefantes?"	"S603_question5_question5_2_51740713542222.30045207_0"	"PISA_glg-ESP_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"2280"	"High"	"Elevado"	"js_translation_high_51940bae34b560.40161506_0"	"PISA_glg-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2813"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;Le a introdución e, a continuación, fai clic na frecha de &quot;AVANZAR&quot;.&lt;/i&gt;"	"question0_1_itemDirections00_51940c10345e61.42502127_0"	"PISA_glg-ESP_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"1393"	"Species B&lt;br /&gt;branches with ants"	"Pólas da especie B&lt;br /&gt; con formigas"	"S603_stimulus1_le4_51740713620134.49128030_0"	"PISA_glg-ESP_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"2901"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;Le a introdución e, a continuación, fai clic na frecha de &quot;AVANZAR&quot;.&lt;/i&gt;"	"S648_Q0_itemDirections0_517407af694fe9.03906983_0"	"PISA_glg-ESP_SCI_S648-HabitableZone_en15_MS2022.xlf"
