"Segment"	"en-ZZ"	"hr-HR"	"ID"	"File"
"2943"	"Earth"	"Zemlja"	"S648_stimulus1_le2_517407af7db406.82055732_0"	"PISA_hrv-HRV_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2375"	"increase"	"povećava"	"question5_1_o5b_1_51940bae44bde1.09195708_0"	"PISA_hrv-HRV_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1681"	"May"	"Svi."	"S620_Q2_xq25_51740713a0a6b5.88203009_0"	"PISA_hrv-HRV_SCI_S620-Tornadoes_en15_MS2022.xlf"
"2525"	"Can this question be answered by scientific experiments?"	"Može li se na ovo pitanje odgovoriti pomoću znanstvenih pokusa?"	"S638_question4_Q4_tr1th1_51804fe1883fb9.47923889_0"	"PISA_hrv-HRV_SCI_S638-OilSpills_en15_MS2022.xlf"
"2345"	"decrease"	"smanjiti"	"question3_1_o3b_2_51940bae405248.03074236_0"	"PISA_hrv-HRV_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2340"	"increase"	"povećati"	"question3_1_o3_1_51940bae404654.16466940_0"	"PISA_hrv-HRV_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2110"	"&lt;b&gt;Susceptible:&lt;/b&gt; Individuals in this state are not vaccinated to prevent the disease and may get the disease."	"&lt;b&gt;Ugroženi:&lt;/b&gt; osobe u ovom stanju nisu cijepljene protiv bolesti pa se mogu zaraziti."	"question000_1_t1tr1td2_5193fde5991607.39636409_0"	"PISA_hrv-HRV_SCI_S634-Vaccination_en15_MS2022.xlf"
"935"	"higher"	"više"	"S602_question4_S602Q04SELECT31_515e3a71ecfa31.57124397_0"	"PISA_hrv-HRV_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2344"	"increase"	"povećati"	"question3_1_o3b_1_51940bae404fe9.18189162_0"	"PISA_hrv-HRV_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"454"	"&lt;i&gt;Refer to &quot;Graph 1&quot; on the right. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Prouči Grafikon 1 na desnoj strani. Odgovori na pitanje klikom na jedan od ponuđenih odgovora.&lt;/i&gt;"	"S428_question2_itemDirections2_50ec5201dc0ed4.03780462_0"	"PISA_hrv-HRV_SCI_S428-BacteriaInMilk_en15_MS2022.xlf"
