"Segment"	"en-ZZ"	"mk-MK"	"ID"	"File"
"1371"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"Кликни на едно од крукчињата, а потоа напиши  објаснување за да одговориш на прашањето.&lt;/i&gt;"	"S604_question4_itemDirections4_5c9d227ac92087.55114583_1_0"	"PISA_mkd-MKD_SCI_S604-WaterFromFog_en21_MS2022.xlf"
"2211"	"Click on a choice to answer the question.&lt;/i&gt;"	"Кликни на опцијата за избор за да одговориш на прашањето.&lt;/i&gt;"	"S627_question1_itemDirections1_5c9d227b9b9fd6.37142813_1_0"	"PISA_mkd-MKD_SCI_S627-CarTyres_en21_MS2022.xlf"
"2860"	"Click on a choice to answer the question.&lt;/i&gt;"	"Кликни на опцијата за избор за да одговориш на прашањето.&lt;/i&gt;"	"question3_1_itemDirections03_5c9d227c342cb5.25107598_1_0"	"PISA_mkd-MKD_SCI_S643-LightBulbs_en21_MS2022.xlf"
"1263"	"Click on a choice to answer the question.&lt;/i&gt;"	"Кликни на опцијата за избор за да одговориш на прашањето.&lt;/i&gt;"	"S603_question1_itemDirections1_5c9d227aa98cd8.61789902_1_0"	"PISA_mkd-MKD_SCI_S603-ElephantsAndAcaciaTrees_en21_MS2022.xlf"
"2817"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each question."	"Кликни или &lt;b&gt;Да&lt;/b&gt; или &lt;b&gt;Не&lt;/b&gt; за секое прашање."	"S638_question4_p41_5c9d227c21dae0.65233789_1_0"	"PISA_mkd-MKD_SCI_S638-OilSpills_en21_MS2022.xlf"
"2906"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"Кликни на едно од крукчињата, а потоа напиши  објаснување за да одговориш на прашањето.&lt;/i&gt;"	"question6_1_itemDirections06_5c9d227c3849c0.50093527_1_0"	"PISA_mkd-MKD_SCI_S643-LightBulbs_en21_MS2022.xlf"
"2245"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Кликни на опциите за избор дадени во табелата за да одговориш на прашањето.&lt;/i&gt;"	"S627_question3_itemDirections3_5c9d227b9e55a9.91171542_1_0"	"PISA_mkd-MKD_SCI_S627-CarTyres_en21_MS2022.xlf"
"477"	"&lt;b&gt;PENGUIN ISLAND&lt;/b&gt;"	"&lt;b&gt;Островот На Пингвините&lt;/b&gt;"	"S425_stimulus3_title3_5c3f62974c0f71.57934508_0_0"	"PISA_mkd-MKD_SCI_S425-PenguinIsland_en21_MS2022.xlf"
"1504"	"Click on a choice to answer the question.&lt;/i&gt;"	"Кликни на опцијата за избор за да одговориш на прашањето.&lt;/i&gt;"	"S605_question3_itemDirections3_5c9d227add7008.26251355_1_0"	"PISA_mkd-MKD_SCI_S605-GeothermalEnergy_en21_MS2022.xlf"
"1314"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Кликни на опциите за избор за да одговориш на прашањето.&lt;/i&gt;"	"S603_question4_itemDirections4_5c9d227aaff921.28142495_0"	"PISA_mkd-MKD_SCI_S603-ElephantsAndAcaciaTrees_en21_MS2022.xlf"
"2682"	"Medium"	"Средно"	"js_translation_medium_5c9d227befb367.92304708_0"	"PISA_mkd-MKD_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"2284"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Кликни на опциите за избор дадени во табелата за да одговориш на прашањето.&lt;/i&gt;"	"S629_question2_itemDirections2_5c9d227bac4599.44971614_1_0"	"PISA_mkd-MKD_SCI_S629-SolarCooker_en21_MS2022.xlf"
"1889"	"Medium"	"Средно"	"js_translation_slopeMedium_5c9d227b3fb996.85405506_0"	"PISA_mkd-MKD_SCI_S615-Tsunami_en21_MS2022.xlf"
"2607"	"select"	"Избери"	"question3_1_o3_0_5c9d227be629b1.76981930_0"	"PISA_mkd-MKD_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"2033"	"Click on a choice to answer the question.&lt;/i&gt;"	"Кликни на опцијата за избор за да одговориш на прашањето.&lt;/i&gt;"	"S625_question2_itemDirections2_5c9d227b6c4dd5.10664341_1_0"	"PISA_mkd-MKD_SCI_S625-WildfiresAndTheFireTriangle_en21_MS2022.xlf"
"423"	"&lt;b&gt;PENGUIN ISLAND&lt;/b&gt;"	"&lt;b&gt;Островот На Пингвините&lt;/b&gt;"	"S425_stimulus2_title2_5c3f62974ac949.97786615_0_0"	"PISA_mkd-MKD_SCI_S425-PenguinIsland_en21_MS2022.xlf"
"1919"	"Medium"	"Средно"	"sim_1_simSlopeMed_5c9d227b439bf7.99738830_0"	"PISA_mkd-MKD_SCI_S615-Tsunami_en21_MS2022.xlf"
