"Segment"	"en-ZZ"	"zh-HK"	"ID"	"File"
"4766"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"就每項陳述點擊&lt;b&gt;正確&lt;/b&gt;或&lt;b&gt;錯誤&lt;/b&gt;。"	"q2MA158_question_q2p2_5c9d21657cb501.68112298_0"	"PISA_zho-HKG_MAT_MA158-EyeColour_en21_MS2022.xlf"
"4769"	"False"	"錯誤"	"q2MA158_question_q2tr1th3_5c9d21657cb947.20699175_0"	"PISA_zho-HKG_MAT_MA158-EyeColour_en21_MS2022.xlf"
"3917"	"False"	"錯誤"	"q3MA144_question_q3tr1th3_5c9d2164d14e53.31024339_0"	"PISA_zho-HKG_MAT_MA144-Yogurt_en21_MS2022.xlf"
"3914"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"就每項陳述點擊&lt;b&gt;正確&lt;/b&gt;或&lt;b&gt;錯誤&lt;/b&gt;。"	"q3MA144_question_q3p1_5c9d2164d149f9.75927623_1_0"	"PISA_zho-HKG_MAT_MA144-Yogurt_en21_MS2022.xlf"
"3488"	"Click on one or more boxes to answer the question."	"點擊兩個方框來回答本題。"	"q3CMA137_question_q3itemDirections_5c9d2164739181.43159279_1_0"	"PISA_zho-HKG_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"891"	"To run this simulation, follow these steps:"	"按照以下步驟使用這個計算器："	"q00body_q0p1_5c9d2136e26543.48980409_0"	"PISA_zho-HKG_MAT_MA112-Metabolism_en21_MS2022.xlf"
"1039"	"84+"	"85+"	"MA113S02_stimulus_tr10td7_5c9d214a666350.37673801_0"	"PISA_zho-HKG_MAT_MA113-HeartRate_en21_MS2022.xlf"
"3913"	"Are the following statements true or false?"	"以下陳述是正確還是錯誤？"	"q3MA144_question_q3p1_5c9d2164d149f9.75927623_0_0"	"PISA_zho-HKG_MAT_MA144-Yogurt_en21_MS2022.xlf"
"3916"	"True"	"正確"	"q3MA144_question_q3tr1th2_5c9d2164d14d46.77177398_0"	"PISA_zho-HKG_MAT_MA144-Yogurt_en21_MS2022.xlf"
"956"	"To run this simulation, follow these steps:"	"按照以下步驟使用這個計算器："	"menu_1_aMenu_part1_p1_5c9d2136e90d65.41091853_0"	"PISA_zho-HKG_MAT_MA112-Metabolism_en21_MS2022.xlf"
"1132"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each of the statements in the table below."	"就下表中的每項陳述，點擊&lt;b&gt;真確&lt;/b&gt;或&lt;b&gt;不真確&lt;/b&gt;。"	"Q02MA113_question_Q02P2_5c9d214a6c3ca7.40682286_0"	"PISA_zho-HKG_MAT_MA113-HeartRate_en21_MS2022.xlf"
"3864"	"269 kJ"	"276 kJ"	"MA144_stimulusb_rr3c2_5c9d2164ccaf11.37166809_0"	"PISA_zho-HKG_MAT_MA144-Yogurt_en21_MS2022.xlf"
"5075"	"Statement"	"問題"	"q1MA161_question_q1tr1th1_5c9d2137a0deb4.05869160_0"	"PISA_zho-HKG_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"2480"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"就每項陳述點擊選擇 &lt;b&gt;真確&lt;/b&gt; 或 &lt;b&gt;不真確&lt;/b&gt; 。"	"MA128q04_question_q4p1_5c9d21372dc083.05811723_1_0"	"PISA_zho-HKG_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"4768"	"True"	"正確"	"q2MA158_question_q2tr1th2_5c9d21657cb822.46278436_0"	"PISA_zho-HKG_MAT_MA158-EyeColour_en21_MS2022.xlf"
