"Segment"	"en-ZZ"	"ro-RO"	"ID"	"File"
"2818"	"Can this question be answered by scientific experiments?"	"Se poate răspunde prin experimente științifice la această întrebare?"	"S638_question4_Q4_tr1th1_5c9d227c21dcf7.10199460_0"	"PISA_ron-ROU_SCI_S638-OilSpills_en21_MS2022.xlf"
"2817"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each question."	"Dă clic pe &lt;b&gt;Da&lt;/b&gt; sau &lt;b&gt;Nu&lt;/b&gt; pentru fiecare întrebare."	"S638_question4_p41_5c9d227c21dae0.65233789_1_0"	"PISA_ron-ROU_SCI_S638-OilSpills_en21_MS2022.xlf"
"2549"	"Low"	"Mic"	"stimulus2_1_stimulus2_36_5c9d227be13b02.67418193_0"	"PISA_ron-ROU_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"444"	"Location"	"Amplasament"	"S425_stimulus2_t1tr1td5_5c3f62977cbd02.14328578_0_0"	"PISA_ron-ROU_SCI_S425-PenguinIsland_en21_MS2022.xlf"
"2339"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each question."	"Dă clic pe &lt;b&gt;Da&lt;/b&gt; sau &lt;b&gt;Nu&lt;/b&gt; pentru fiecare întrebare."	"S629_question4_itemStem4_5c9d227bb01a64.85309226_6_0"	"PISA_ron-ROU_SCI_S629-SolarCooker_en21_MS2022.xlf"
"2245"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Dă clic pe o variantă din tabel pentru a răspunde la întrebare.&lt;/i&gt;"	"S627_question3_itemDirections3_5c9d227b9e55a9.91171542_1_0"	"PISA_ron-ROU_SCI_S627-CarTyres_en21_MS2022.xlf"
"1518"	"Type your answer to the question.&lt;/i&gt;"	"Scrie răspunsul tău la întrebare.&lt;/i&gt;"	"S605_question4_itemDirections4_5c9d227adef695.10070069_1_0"	"PISA_ron-ROU_SCI_S605-GeothermalEnergy_en21_MS2022.xlf"
"439"	"Location"	"Amplasament"	"S425_stimulus2_t1tr1td4_5c3f62977cbbc0.91905361_0_0"	"PISA_ron-ROU_SCI_S425-PenguinIsland_en21_MS2022.xlf"
"3000"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Dă clic pe o variantă din tabel pentru a răspunde la întrebare.&lt;/i&gt;"	"S645_question1_itemDirections1_5c9d227c4f8b07.32611541_1_0"	"PISA_ron-ROU_SCI_S645-CarbonDioxideInEarthsAtmosphere_en21_MS2022.xlf"
"2682"	"Medium"	"Mediu"	"js_translation_medium_5c9d227befb367.92304708_0"	"PISA_ron-ROU_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"2550"	"Medium"	"Mediu"	"stimulus2_1_stimulus2_37_5c9d227be13c31.69980187_0"	"PISA_ron-ROU_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"628"	"No"	"Fără"	"S438_stimulus2_chem1_5c3f62990504c9.50544301_0_0"	"PISA_ron-ROU_SCI_S438-GreenParks_en21_MS2022.xlf"
"2551"	"High"	"Mare"	"stimulus2_1_stimulus2_38_5c9d227be13d68.33588968_0"	"PISA_ron-ROU_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"2555"	"Medium"	"Mediu"	"stimulus2_1_stimulus2_45_5c9d227be146a9.40941283_0"	"PISA_ron-ROU_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"449"	"Location"	"Amplasament"	"S425_stimulus2_t1tr1td6_5c3f62977cbe52.84011267_0_0"	"PISA_ron-ROU_SCI_S425-PenguinIsland_en21_MS2022.xlf"
"1202"	"lower"	"mai mici"	"S602_question4_S602Q04SELECT32_5c9d227a932a50.70057209_0"	"PISA_ron-ROU_SCI_S602-UrbanHeatIslandEffect_en21_MS2022.xlf"
"1949"	"Air"	"Umed"	"S620_stimulus1_len16_5c9d227b54fcb6.11421507_4_0"	"PISA_ron-ROU_SCI_S620-Tornadoes_en21_MS2022.xlf"
"704"	"No"	"Fără"	"S438_stimulus2_chem16_5c3f6299053256.19528936_0_0"	"PISA_ron-ROU_SCI_S438-GreenParks_en21_MS2022.xlf"
"1201"	"higher"	"mai mari"	"S602_question4_S602Q04SELECT31_5c9d227a932959.60112285_0"	"PISA_ron-ROU_SCI_S602-UrbanHeatIslandEffect_en21_MS2022.xlf"
"434"	"Location"	"Amplasament"	"S425_stimulus2_t1tr1td3_5c3f62977cba94.21364655_0_0"	"PISA_ron-ROU_SCI_S425-PenguinIsland_en21_MS2022.xlf"
"2554"	"Low"	"Mic"	"stimulus2_1_stimulus2_44_5c9d227be14568.23782540_0"	"PISA_ron-ROU_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"3102"	"Explain your choice."	"Explică alegerea ta."	"question5_1_q05span1_5c9d227c6128d6.87427044_0"	"PISA_ron-ROU_SCI_S646-Nanoparticles_en21_MS2022.xlf"
"2548"	"None"	"Zero"	"stimulus2_1_stimulus2_35_5c9d227be13994.26206749_0"	"PISA_ron-ROU_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"2553"	"None"	"Zero"	"stimulus2_1_stimulus2_43_5c9d227be143f6.04534828_0"	"PISA_ron-ROU_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"2274"	"Type your answer to the question.&lt;/i&gt;"	"Scrie răspunsul tău la întrebare.&lt;/i&gt;"	"S629_question1_itemDirections1_5c9d227bab07e7.43551119_1_0"	"PISA_ron-ROU_SCI_S629-SolarCooker_en21_MS2022.xlf"
"3034"	"Type your answer to the question.&lt;/i&gt;"	"Scrie răspunsul tău la întrebare.&lt;/i&gt;"	"S645_question4_itemDirections4_5c9d227c51f199.81592699_1_0"	"PISA_ron-ROU_SCI_S645-CarbonDioxideInEarthsAtmosphere_en21_MS2022.xlf"
"2683"	"High"	"Mare"	"js_translation_high_5c9d227befbe32.99905741_0"	"PISA_ron-ROU_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"2556"	"High"	"Mare"	"stimulus2_1_stimulus2_46_5c9d227be147e8.45470810_0"	"PISA_ron-ROU_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"2841"	"Type your answer to the question.&lt;/i&gt;"	"Scrie răspunsul tău la întrebare.&lt;/i&gt;"	"question1_1_itemDirections01_5c9d227c31e890.69451485_1_0"	"PISA_ron-ROU_SCI_S643-LightBulbs_en21_MS2022.xlf"
