"Segment"	"en-ZZ"	"ro-RO"	"ID"	"File"
"594"	"calls&lt;/b&gt;"	"internaționale &lt;/b&gt;"	"M559_stimulus_tr1td5_5c3f628716f4f8.93021389_2_0"	"PISA_ron-ROU_MAT_M559-TelephoneRates_en21_MS2022.xlf"
"1292"	"Using the number keys, type your answer to the question.&lt;/i&gt;"	"Folosește tastele numerice pentru a răspunde la întrebare.&lt;/i&gt;"	"Q2M943_question_Q2itemDirections_5c9d1f9b446cc9.41811578_1_0"	"PISA_ron-ROU_MAT_M943-Arches_en21_MS2022.xlf"
"1625"	"Using the number keys, type your answer to the question.&lt;/i&gt;"	"Folosește tastele numerice pentru a răspunde la întrebare.&lt;/i&gt;"	"Q3M954_question_Q3itemDirections_5c9d1f9b569b47.27315905_1_0"	"PISA_ron-ROU_MAT_M954-MedicineDoses_en21_MS2022.xlf"
"1519"	"Using the number keys, type your answer to the question.&lt;/i&gt;"	"Folosește tastele numerice pentru a răspunde la întrebare.&lt;/i&gt;"	"Q2M953_question_Q2itemDirections_5c9d1f9b4b39e4.91098988_1_0"	"PISA_ron-ROU_MAT_M953-FluTest_en21_MS2022.xlf"
"1596"	"Using the number keys, type your answer to the question.&lt;/i&gt;"	"Folosește tastele numerice pentru a răspunde la întrebare.&lt;/i&gt;"	"Q1M954_question_Q1itemDirections_5c9d1f9b543d94.65836078_1_0"	"PISA_ron-ROU_MAT_M954-MedicineDoses_en21_MS2022.xlf"
"1505"	"Type your answer to the question.&lt;/i&gt;"	"Redactează un răspuns la întrebare.&lt;/i&gt;"	"Q1M953_question_Q1itemDirections_5c9d1f9b4a7058.98182691_1_0"	"PISA_ron-ROU_MAT_M953-FluTest_en21_MS2022.xlf"
"1149"	"Using the number keys, type your answer to the question.&lt;/i&gt;"	"Folosește tastele numerice pentru a răspunde la întrebare.&lt;/i&gt;"	"Q2M919_question_Q2itemDirections_5c9d1f9b3cd8d8.41358841_1_0"	"PISA_ron-ROU_MAT_M919-FanMerchandise_en21_MS2022.xlf"
"1613"	"Type your answer to the question.&lt;/i&gt;"	"Redactează un răspuns la întrebare.&lt;/i&gt;"	"Q2M954_question_Q2itemDirections_5c9d1f9b553745.89754449_1_0"	"PISA_ron-ROU_MAT_M954-MedicineDoses_en21_MS2022.xlf"
"591"	"calls&lt;/b&gt;"	"naționale &lt;/b&gt;"	"M559_stimulus_tr1td4_5c3f628716f3d6.03118292_2_0"	"PISA_ron-ROU_MAT_M559-TelephoneRates_en21_MS2022.xlf"
"1979"	"&lt;i&gt;Refer to &quot;Bike Rental&quot; on the right."	"&lt;i&gt;Raportează-te la textul ”Închiriere de biciclete” din dreapta."	"Q2M998_question_Q2itemDirections_5c3f62935cb6f5.13284916_0_0"	"PISA_ron-ROU_MAT_M998-BikeRental_en21_MS2022.xlf"
"1473"	"Note:"	"Observaţie:"	"Q3M949_question_Q3label8_5c3f628e54bef6.08128852_0_0"	"PISA_ron-ROU_MAT_M949-RoofTrussDesign_en21_MS2022.xlf"
"827"	"COUNTRIES"	"ÎN CURS DE DEZVOLTARE"	"M828_stimulus_g2label1_5c3f6289332f21.72323762_2_0"	"PISA_ron-ROU_MAT_M828-CarbonDioxide_en21_MS2022.xlf"
"1535"	"Type your answer to the question.&lt;/i&gt;"	"Redactează un răspuns la întrebare.&lt;/i&gt;"	"Q3M953_question_Q3itemDirections_5c9d1f9b4c2169.42948659_1_0"	"PISA_ron-ROU_MAT_M953-FluTest_en21_MS2022.xlf"
"892"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Pentru a răspunde la întrebare, dă clic pe una dintre variantele din tabel.&lt;/i&gt;"	"Q1M905_question_Q1itemDirections_5c9d1f9b2f5bf7.68192598_1_0"	"PISA_ron-ROU_MAT_M905-TennisBalls_en21_MS2022.xlf"
"1458"	"&lt;b&gt;Roof Truss Design&lt;/b&gt;"	"&lt;b&gt;Structuri de rezistenţă &lt;/b&gt;"	"Q3M949_question_Q3itemTitle_5c3f628e54afe7.80485020_0_0"	"PISA_ron-ROU_MAT_M949-RoofTrussDesign_en21_MS2022.xlf"
"1268"	"Click on a choice to answer the question.&lt;/i&gt;"	"Dă clic pe una din variante pentru a răspunde la întrebare.&lt;/i&gt;"	"Q1M943_question_Q1itemDirections_5c9d1f9b437c37.29675377_1_0"	"PISA_ron-ROU_MAT_M943-Arches_en21_MS2022.xlf"
"1134"	"Using the number keys, type your answer to the question.&lt;/i&gt;"	"Folosește tastele numerice pentru a răspunde la întrebare.&lt;/i&gt;"	"Q1M919_question_Q1itemDirections_5c9d1f9b3bca33.09462625_1_0"	"PISA_ron-ROU_MAT_M919-FanMerchandise_en21_MS2022.xlf"
