"Segment"	"en-ZZ"	"es-MX"	"ID"	"File"
"1022"	"Runner C"	"El corredor C"	"Q2M939_question_question2_3_50c7a689365585.83250246_0"	"PISA_esp-MEX_MAT_M939-Racing_en15_MS2022.xlf"
"1021"	"Runner B"	"El corredor B"	"Q2M939_question_question2_2_50c7a689365122.29227973_0"	"PISA_esp-MEX_MAT_M939-Racing_en15_MS2022.xlf"
"209"	"select"	"selecciona"	"Q1M273_question_s3o0_50c789d19b8b97.56421853_0"	"PISA_esp-MEX_MAT_M273-Pipelines_en15_MS2022.xlf"
"1023"	"Runner D"	"El corredor D"	"Q2M939_question_question2_4_50c7a6893659f2.15826710_0"	"PISA_esp-MEX_MAT_M939-Racing_en15_MS2022.xlf"
"1020"	"Runner A"	"El corredor  A"	"Q2M939_question_question2_1_50c7a689364cb4.15054680_0"	"PISA_esp-MEX_MAT_M939-Racing_en15_MS2022.xlf"
"204"	"select"	"selecciona"	"Q1M273_question_s2o0_50c789d19b77f5.57861707_0"	"PISA_esp-MEX_MAT_M273-Pipelines_en15_MS2022.xlf"
"917"	"2000"	"2,000"	"Q1M915_question_label11_50c78e040d95c0.07258261_0"	"PISA_esp-MEX_MAT_M915-CarbonTax_en15_MS2022.xlf"
"1339"	"China"	"Canadá"	"M955_stimulus_tr5td1_50c7911dc1f614.18638953_0"	"PISA_esp-MEX_MAT_M955-Migration_en15_MS2022.xlf"
"1345"	"India"	"Estados Unidos"	"M955_stimulus_tr7td1_50c7911dc20c91.14565540_0"	"PISA_esp-MEX_MAT_M955-Migration_en15_MS2022.xlf"
"1519"	"&lt;i&gt;Refer to &quot;Spacers&quot; on the right. Using the number keys, type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Consulta la información de “SEPARADORES” a la derecha. Para responder a la pregunta, escribe tu respuesta con el teclado numérico.&lt;/i&gt;"	"Q2M992_question_Q2itemDirections_50c7a025b131b0.44118414_0"	"PISA_esp-MEX_MAT_M992-Spacers_en15_MS2022.xlf"
"1062"	"A"	"X"	"Q1M943_question_label2_50c7838d987395.50909407_0"	"PISA_esp-MEX_MAT_M943-Arches_en15_MS2022.xlf"
"1336"	"Canada"	"Brasil"	"M955_stimulus_tr4td1_50c7911dc1ec24.28443880_0"	"PISA_esp-MEX_MAT_M955-Migration_en15_MS2022.xlf"
"197"	"select"	"selecciona"	"Q1M273_question_s1o0_50c789d19b6172.26401434_0"	"PISA_esp-MEX_MAT_M273-Pipelines_en15_MS2022.xlf"
"73"	"&lt;br /&gt; &lt;br /&gt; Show how you found your answer.&lt;br /&gt;"	"&lt;br /&gt; &lt;br /&gt;Muestra cómo encontraste la respuesta.&lt;br /&gt;"	"Q3M155_question_Q3itemStem_50c7a2526c3a48.66332457_0"	"PISA_esp-MEX_MAT_M155-PopulationPyramids_en15_MS2022.xlf"
"214"	"select"	"selecciona"	"Q1M273_question_s4o0_50c789d19b9eb7.83448325_0"	"PISA_esp-MEX_MAT_M273-Pipelines_en15_MS2022.xlf"
"462"	"&lt;i&gt;Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Para responder a la pregunta, escribe tu respuesta con el teclado numérico.&lt;/i&gt;"	"Q1M464_question_Q1itemDirections_50c7a57902c058.42888980_0"	"PISA_esp-MEX_MAT_M464-Fence_en15_MS2022.xlf"
"275"	"True"	"Ver&amp;#173;dade&amp;#173;ro"	"Q1M408_question_Q1tr1th2_50c7a8b065a531.05906212_0"	"PISA_esp-MEX_MAT_M408-Lotteries_en15_MS2022.xlf"
"1434"	"&lt;b&gt;Employment Data&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;DATOS SOBRE EL EMPLEO&lt;/b&gt;&lt;br /&gt;Pregunta"	"Q4M982_question_Q4itemTitle_50c79340664428.58171252_0"	"PISA_esp-MEX_MAT_M982-EmploymentData_en15_MS2022.xlf"
"1316"	"&lt;b&gt;Migration&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Migración&lt;/b&gt;&lt;br /&gt; Pregunta"	"Q3M955_question_Q3itemTitle_50c7911dbfcaf6.81121866_0"	"PISA_esp-MEX_MAT_M955-Migration_en15_MS2022.xlf"
