"Segment"	"en-ZZ"	"zh-CN"	"ID"	"File"
"260"	"High"	"高"	"S413_question3_q3t3tr5td2_519442b298b397.04284813_0"	"PISA_zho-CHN_SCI_S413-PlasticAge_en15_MS2022.xlf"
"1449"	"200"	"2"	"S608_stimulus2_x27_515e3a72356068.24986098_0"	"PISA_zho-CHN_SCI_S608-Ammonoids_en15_MS2022.xlf"
"1875"	"Whales and Shipping Noise"	"鲸与船只的噪声"	"S626_stimulus3_subTitle3_515e3a7276e115.16630132_0"	"PISA_zho-CHN_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"2784"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;根据以下信息运行模拟，收集数据。点击一个选项回答问题。"	"question2_1_itemDirections02_51940c10381160.17280342_0"	"PISA_zho-CHN_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2802"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;根据以下信息运行模拟，收集数据。点击一个选项回答问题。&lt;/i&gt;"	"question4_1_itemDirections04_51940c103b3ee7.77719911_0"	"PISA_zho-CHN_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"1441"	"Species A"	"物种A"	"S608_stimulus2_le21_515e3a72353145.75321740_0"	"PISA_zho-CHN_SCI_S608-Ammonoids_en15_MS2022.xlf"
"2912"	"Yes"	"可能"	"S648_question4_question4_1_517407af7617a8.52939212_0"	"PISA_zho-CHN_SCI_S648-HabitableZone_en15_MS2022.xlf"
"1021"	"&lt;b&gt;Elephants and Acacia Trees&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;大象与金合欢树&lt;/b&gt;&lt;br /&gt; 问题"	"S603_question3_itemTitle3_515e3a72087006.23988915_0"	"PISA_zho-CHN_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"2447"	"High"	"高"	"stimulus2_1_stimulus2_38_51940bae4fba04.81742995_0"	"PISA_zho-CHN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1958"	"S627 Car Tyres Q03"	"S627汽车轮胎 Q03"	"S627_question3_unknownID_51740713b48de2.13083217_0"	"PISA_zho-CHN_SCI_S627-CarTyres_en15_MS2022.xlf"
"1034"	"&lt;b&gt;Elephants and Acacia Trees&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;大象与金合欢树&lt;/b&gt;&lt;br /&gt; 问题"	"S603_question4_itemTitle4_515e3a720a7527.26314932_0"	"PISA_zho-CHN_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"1214"	"1,000"	"1000"	"S605_stimulus2_y2_515e3a722054e8.99843508_0"	"PISA_zho-CHN_SCI_S605-GeothermalEnergy_en15_MS2022.xlf"
"258"	"Low"	"弱"	"S413_question3_q3t3tr4td2_519442b298a462.16119716_0"	"PISA_zho-CHN_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2843"	"Yes"	"可以"	"question6_1_question6_7_51940c103ef290.31886289_0"	"PISA_zho-CHN_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"1213"	"10,000"	"10 000"	"S605_stimulus2_y1_515e3a72205079.97058972_0"	"PISA_zho-CHN_SCI_S605-GeothermalEnergy_en15_MS2022.xlf"
"1305"	"."	"。"	"S607_question3_p31_5174071346b042.73247137_0"	"PISA_zho-CHN_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"1947"	"&lt;b&gt;Car Tyres&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;汽车轮胎&lt;/b&gt;&lt;br /&gt;问题"	"S627_question2_qitemTitle2_51740713b25158.06790436_0"	"PISA_zho-CHN_SCI_S627-CarTyres_en15_MS2022.xlf"
"2353"	"No"	"无效"	"question4_1_question4_4_51940bae428b27.01236807_0"	"PISA_zho-CHN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2827"	"&lt;i&gt;For this question you will not need to use the simulation. Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"&lt;i&gt;本问题无需进行模拟操作。点击一个选项回答问题，并给出解释。&lt;/i&gt;"	"question6_1_itemDirections06_51940c103ebfe4.25149254_0"	"PISA_zho-CHN_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"999"	"&lt;b&gt;Elephants and Acacia Trees&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;大象与金合欢树&lt;/b&gt;&lt;br /&gt; 问题"	"S603_question2_itemTitle2_515e3a7205e4b9.11233983_0"	"PISA_zho-CHN_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"2352"	"Yes"	"有效"	"question4_1_question4_3_51940bae428733.86561816_0"	"PISA_zho-CHN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1442"	"Species B"	"物种B"	"S608_stimulus2_le22_515e3a72353560.98825786_0"	"PISA_zho-CHN_SCI_S608-Ammonoids_en15_MS2022.xlf"
"1472"	"&lt;b&gt;Brain-Controlled Robotics&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;脑控机器人&lt;/b&gt;&lt;br /&gt; 问题"	"S610_question4_itemTitle4_51804e6bd26341.00497826_0"	"PISA_zho-CHN_SCI_S610-Brain-controlledRobotics_en15_MS2022.xlf"
"796"	"S514 Development and Disaster"	"S514开发和灾害"	"S514_stimulus2_unknownID_519442b34bd6a3.70660244_0"	"PISA_zho-CHN_SCI_S514-DevelopmentAndDisaster_en15_MS2022.xlf"
"2773"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;阅读背景介绍，然后点击下一步箭头。&lt;/i&gt;"	"question0_1_itemDirections00_51940c10345e61.42502127_0"	"PISA_zho-CHN_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"1429"	"300"	"3"	"S608_stimulus1_x3_515e3a72329b98.99603602_0"	"PISA_zho-CHN_SCI_S608-Ammonoids_en15_MS2022.xlf"
"2617"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on a choice and then select data in the table to answer the question.&lt;/i&gt;"	"&lt;i&gt;根据以下信息运行模拟，收集数据。点击一个选项，从表格中选取数据回答问题。&lt;/i&gt;"	"question5_1_itemDirections05_51940c10264da7.01923279_0"	"PISA_zho-CHN_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2371"	"."	"。"	"question5_1_q05sp2_51940bae44c2c2.21571675_0"	"PISA_zho-CHN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"237"	"Low"	"弱"	"S413_question3_q3t1tr5td2_519442b2980a98.57559037_0"	"PISA_zho-CHN_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2340"	"."	"。"	"question3_1_q03sp1_51940bae405453.46459374_0"	"PISA_zho-CHN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"808"	"S514 Development and Disaster"	"S514开发和灾害"	"S514_stimulus3_unknownID_519442b34d3e00.21093886_0"	"PISA_zho-CHN_SCI_S514-DevelopmentAndDisaster_en15_MS2022.xlf"
"1959"	"&lt;b&gt;Car Tyres&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;汽车轮胎&lt;/b&gt;&lt;br /&gt; 问题"	"S627_question3_qitemTitle3_51740713b49f65.21457629_0"	"PISA_zho-CHN_SCI_S627-CarTyres_en15_MS2022.xlf"
"256"	"High"	"高"	"S413_question3_q3t3tr3td2_519442b29895e5.56691185_0"	"PISA_zho-CHN_SCI_S413-PlasticAge_en15_MS2022.xlf"
"930"	"lower"	"低于"	"S602_question4_S602Q04SELECT32_515e3a71ecff57.11412426_0"	"PISA_zho-CHN_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2762"	"Delete some data to run more trials."	"删除一些数据，进行更多试验。"	"js_translation_deleteMsg_51940c10312124.83384997_0"	"PISA_zho-CHN_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2768"	"The Run button to display the results."	"“运行”按钮用来显示结果。"	"menu_1_menuLi3_51940c103317a2.93942447_0"	"PISA_zho-CHN_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"1873"	"S626 Sound in Marine Habitats"	"S626海洋栖息地中的声音"	"S626_stimulus3_unknownID_515e3a7276cfb5.29733817_0"	"PISA_zho-CHN_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"1782"	"Wildfires and the Fire Triangle"	"野火和火三角"	"S625_stimulus1_attr_alt_attr_stimulus1_1_515e3a7263baa0.29159962_0"	"PISA_zho-CHN_SCI_S625-WildfiresAndTheFireTriangle_en15_MS2022.xlf"
"1430"	"200"	"2"	"S608_stimulus1_x4_515e3a7232a0b2.87934119_0"	"PISA_zho-CHN_SCI_S608-Ammonoids_en15_MS2022.xlf"
"929"	"higher"	"高于"	"S602_question4_S602Q04SELECT31_515e3a71ecfa31.57124397_0"	"PISA_zho-CHN_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2677"	"Good!&lt;br /&gt; Please click on the NEXT arrow to continue."	"太棒了！&lt;br /&gt; 请点击“下一步”箭头继续。"	"sim_1_dialogMsgText2_51940c102b9894.02724093_0"	"PISA_zho-CHN_SCI_S643-LightBulbs_en15_MS2022.xlf"
"1459"	"&lt;b&gt;Brain-Controlled Robotics&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;脑控机器人&lt;/b&gt;&lt;br /&gt; 问题"	"S610_question2_QitemTitle2_51804e6bcf3483.26385704_0"	"PISA_zho-CHN_SCI_S610-Brain-controlledRobotics_en15_MS2022.xlf"
