"Segment"	"en-ZZ"	"kk-KZ"	"ID"	"File"
"2233"	"select"	"таңдаңыз"	"question3_1_o3_0_56f9ce166ad643.18211208_0"	"PISA_kaz-KAZ_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"1546"	"Medium"	"Орташа"	"sim_1_simSlopeMed_56f9ce16123239.68166234_0"	"PISA_kaz-KAZ_SCI_S615-Tsunami_en18_MS2022.xlf"
"2311"	"Delete a row of data to run another trial."	"Басқа симуляцияны орындау үшін деректер жолын өшіріңіз."	"js_translation_deleteMsg_56f9ce16735b30.09930569_0"	"PISA_kaz-KAZ_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"2265"	"increases"	"артады"	"question5_1_o5_1_56f9ce166e3e36.69131967_0"	"PISA_kaz-KAZ_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"2192"	"Low"	"Төмен"	"stimulus2_1_stimulus2_36_56f9ce16668414.44622309_0"	"PISA_kaz-KAZ_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"2191"	"None"	"Жоқ"	"stimulus2_1_stimulus2_35_56f9ce16668159.97907761_0"	"PISA_kaz-KAZ_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"2196"	"None"	"Жоқ"	"stimulus2_1_stimulus2_43_56f9ce16669716.56482764_0"	"PISA_kaz-KAZ_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"2048"	"✔ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔ &lt;b&gt;Бір немесе бірнеше&lt;/b&gt; жауапты таңдауды ұмытпаңыз."	"question1_1_q1p3_56f9ce165793f1.86449302_0"	"PISA_kaz-KAZ_SCI_S634-Vaccination_en18_MS2022.xlf"
"2148"	"&lt;b&gt;Recovered/Vaccinated:&lt;/b&gt; Individuals in this state either had the disease and then recovered from it or have been vaccinated to prevent the disease. In the simulation, these individuals cannot get the disease."	"&lt;b&gt;Жазылған/Егу салған:&lt;/b&gt; Бұл қалыптағы адамдар ауруға шалдығып жазылған немесе аурудың алдын алу мақсатында егу салған. Симуляцияда бұл адамдар ауруға шалдыға алмайды."	"menu_1_aMenutr3td2_56f9ce16621287.39608320_0"	"PISA_kaz-KAZ_SCI_S634-Vaccination_en18_MS2022.xlf"
"2270"	"decreases"	"азаяды"	"question5_1_o5b_2_56f9ce166e4b58.03741853_0"	"PISA_kaz-KAZ_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"2301"	"✔ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔ &lt;b&gt;Бір немесе бірнеше&lt;/b&gt; жауапты таңдауды ұмытпаңыз."	"S662_question7_q7p3_56f9ce1671b066.23875442_0"	"PISA_kaz-KAZ_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"2881"	"Yes"	"Ия"	"S648_question4_question4_1_56f9ce16b27845.31308084_0"	"PISA_kaz-KAZ_SCI_S648-HabitableZone_en18_MS2022.xlf"
"2101"	"% of Population"	"халық %-ы"	"question3_1_p34_56f9ce165afd12.68733965_0"	"PISA_kaz-KAZ_SCI_S634-Vaccination_en18_MS2022.xlf"
"1523"	"Medium"	"Орташа"	"js_translation_slopeMedium_56f9ce160ef267.15362026_0"	"PISA_kaz-KAZ_SCI_S615-Tsunami_en18_MS2022.xlf"
"121"	"&lt;i&gt;Refer to &quot;Wild Oat Grass&quot; on the right. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Оң жақтағы «Жабайы сұлы» қараңыз. Сұраққа жауап беру үшін жауапты тінтуірмен басыңыз.&lt;/i&gt;"	"S408_question4_itemDirections_4_56cee1d3745713.57040286_0"	"PISA_kaz-KAZ_SCI_S408-WildOatGrass_en18_MS2022.xlf"
"2269"	"increases"	"артады"	"question5_1_o5b_1_56f9ce166e48f8.43848797_0"	"PISA_kaz-KAZ_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"2459"	"Can this question be answered by scientific experiments?"	"Бұл сұраққа ғылыми тәжірибені қолдана отырып жауап беруге болады ма?"	"S638_question4_Q4_tr1th1_56f9ce1682b0d8.62476190_0"	"PISA_kaz-KAZ_SCI_S638-OilSpills_en18_MS2022.xlf"
"2132"	"&lt;i&gt;Click on one or more boxes to answer the question.&lt;/i&gt;"	"&lt;i&gt;Сұраққа жауап беру үшін бір немесе бірнеше ұяшықтың үстінен тінтуірмен басыңыз.&lt;/i&gt;"	"CS634_Q05_itemDirections5_56f9ce165e15d6.89029742_0"	"PISA_kaz-KAZ_SCI_S634-Vaccination_en18_MS2022.xlf"
"1996"	"Yes"	"Ия"	"S629_question4_Q4_tr1th2_56f9ce164fad03.51392723_0"	"PISA_kaz-KAZ_SCI_S629-SolarCooker_en18_MS2022.xlf"
"1053"	"&lt;i&gt;Refer to &quot;Water from Fog&quot; on the right.  Click on one or more boxes to answer the question.&lt;/i&gt;"	"&lt;i&gt;Оң жақтағы &quot;Тұманнан алынатын су&quot; мәтініне қараңыз. Сұраққа жауап беру үшін бір немесе бірнеше ұяшықтың үстінен тінтуірмен басыңыз.&lt;/i&gt;"	"S604_question3_itemDirections3_56f9ce15cf1760.57351696_0"	"PISA_kaz-KAZ_SCI_S604-WaterFromFog_en18_MS2022.xlf"
"781"	"&lt;i&gt;Refer to &quot;Extinction of the Dinosaurs&quot; on the right. Click on the choices in the table to answer the question.&lt;/i&gt;"	"&lt;i&gt;Оң жақтағы «Динозаврлардың құрып бітуі» қараңыз. Сұраққа жауап беру үшін кестедегі жауаптарды тінтуірмен басыңыз.&lt;/i&gt;"	"S527_question2_itemDirections2_56cee1d42dcd02.55156833_0"	"PISA_kaz-KAZ_SCI_S527-ExtinctionOfTheDinosaurs_en18_MS2022.xlf"
"1915"	"Yes"	"Ия"	"S627_question3_Q3_tr1th2_56f9ce1639c064.34513462_0"	"PISA_kaz-KAZ_SCI_S627-CarTyres_en18_MS2022.xlf"
"2783"	"Good!&lt;br /&gt; Please click on the NEXT arrow to continue."	"Жақсы!!&lt;br /&gt; Жалғастыру үшін КЕЛЕСІ батырмасының үстінен тінтуірмен басыңыз."	"sim_1_sim_3_56f9ce16a788c2.60154409_0"	"PISA_kaz-KAZ_SCI_S646-Nanoparticles_en18_MS2022.xlf"
"2199"	"High"	"Жоғары"	"stimulus2_1_stimulus2_46_56f9ce16669f10.14873255_0"	"PISA_kaz-KAZ_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"2252"	"Yes"	"Ия"	"question4_1_question4_3_56f9ce166cccd1.66958844_0"	"PISA_kaz-KAZ_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"2266"	"decreases"	"азаяды"	"question5_1_o5_2_56f9ce166e41a0.66507630_0"	"PISA_kaz-KAZ_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"562"	"&lt;i&gt;Refer to &quot;Forest Fires&quot; on the right. Click on the choices in the table to answer the question.&lt;/i&gt;"	"&lt;i&gt;Оң жақтағы «Орман өрті» мәтініне қараңыз. Сұраққа жауап беру үшін таңдаған жауабыңыздың үстінен тінтуірмен басыңыз.&lt;/i&gt;"	"S466_question2_itemDirections2_56cee1d3de7a89.48339939_0"	"PISA_kaz-KAZ_SCI_S466-ForestFires_en18_MS2022.xlf"
"2320"	"None"	"Жоқ"	"js_translation_none_56f9ce167395d0.99605103_0"	"PISA_kaz-KAZ_SCI_S635-SaveTheFish_en18_MS2022.xlf"
