"Segment"	"en-ZZ"	"ru-RU"	"ID"	"File"
"1375"	"Canada"	"Германия"	"M955_stimulus_tr4td1_50d3506f86f432.58121005_0"	"PISA_rus-RUS_MAT_M955-Migration_en15_MS2022.xlf"
"1284"	"&lt;i&gt;Refer to &quot;Flu Test&quot; on the right. Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Прочитайте текст «Анализ на грипп», расположенный справа. Запишите свой ответ на вопрос.&lt;/i&gt;"	"Q3M953_question_Q3itemDirections_50d341e600a2c1.25371330_0"	"PISA_rus-RUS_MAT_M953-FluTest_en15_MS2022.xlf"
"1030"	"A"	"А"	"M939_stimulus_label4_5c9d20c9a72893.35708408_0"	"PISA_rus-RUS_MAT_M939-Racing_en21_MS2022.xlf"
"1031"	"B"	"В"	"M939_stimulus_label5_5c9d20c9a72959.78629404_0"	"PISA_rus-RUS_MAT_M939-Racing_en21_MS2022.xlf"
"1378"	"China"	"Индия"	"M955_stimulus_tr5td1_50d3506f86fe39.91150117_0"	"PISA_rus-RUS_MAT_M955-Migration_en15_MS2022.xlf"
"275"	"True"	"Вер&amp;#173;ное"	"Q1M408_question_Q1tr1th2_50d3624bac8614.51023345_0"	"PISA_rus-RUS_MAT_M408-Lotteries_en15_MS2022.xlf"
"1352"	"&lt;i&gt;Refer to &quot;Migration&quot; on the right. Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Обратитесь к тексту «Миграция» справа. Напечатайте свой ответ на вопрос.&lt;/i&gt;"	"Q2M955_question_Q2itemDirections_50d3506f834885.53438759_0"	"PISA_rus-RUS_MAT_M955-Migration_en15_MS2022.xlf"
"1032"	"C"	"С"	"M939_stimulus_label6_5c9d20c9a72a10.26747370_0"	"PISA_rus-RUS_MAT_M939-Racing_en21_MS2022.xlf"
"1384"	"India"	"Кения"	"M955_stimulus_tr7td1_50d3506f871274.97670266_0"	"PISA_rus-RUS_MAT_M955-Migration_en15_MS2022.xlf"
"462"	"&lt;i&gt;Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Запишите цифрами ответ на вопрос.&lt;/i&gt;"	"Q1M464_question_Q1itemDirections_50d35fd03d29e2.70772472_0"	"PISA_rus-RUS_MAT_M464-Fence_en15_MS2022.xlf"
"276"	"False"	"Не&amp;#173;вер&amp;#173;ное"	"Q1M408_question_Q1tr1th3_50d3624bac88b1.23117004_0"	"PISA_rus-RUS_MAT_M408-Lotteries_en15_MS2022.xlf"
