"Segment"	"en-ZZ"	"ro-RO"	"ID"	"File"
"2559"	"Using the number keys, type your answer to the question."	"Folosește tastele numerice pentru a-ți redacta răspunsul."	"Q2MA129_question_Q2ItmDirP1Id_5c9d214b793427.46399402_1_0"	"PISA_ron-ROU_MAT_MA129-ShelvingUnit_en21_MS2022.xlf"
"4238"	"Click on one or more boxes to answer the question."	"Dă clic pe una sau mai multe variante pentru a răspunde la întrebare."	"q1MA149_question_q1itemDirections_5c9d21652ae393.23843683_1_0"	"PISA_ron-ROU_MAT_MA149-FloorArea_en21_MS2022.xlf"
"5278"	"Mean"	"Media"	"MA162_stimulus_mean_5c9d2137cb4195.00622914_0"	"PISA_ron-ROU_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"5075"	"Statement"	"Întrebare"	"q1MA161_question_q1tr1th1_5c9d2137a0deb4.05869160_0"	"PISA_ron-ROU_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"3653"	"Using the number keys, type your answer to the question."	"Folosește tastele numerice pentru a-ți redacta răspunsul."	"q1CMA141_question_q1itemDirections_5c9d2164a62046.76653380_1_0"	"PISA_ron-ROU_MAT_MA141-WaterBill_en21_MS2022.xlf"
"1558"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔ Nu uita să alegi &lt;b&gt;una sau mai multe&lt;/b&gt; casete."	"MA120_question3_Q03p3_5c9d214ae4afb4.01507702_0"	"PISA_ron-ROU_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"1545"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔ Nu uita să alegi &lt;b&gt;una sau mai multe&lt;/b&gt; casete."	"MA120_question2_Q02p3_5c9d214ae38a80.91484290_0"	"PISA_ron-ROU_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"3182"	"Select from the drop-down menus to answer the question."	"Selectează din meniul derulant pentru a răspunde la întrebare."	"Q1MA134_question_Q1ItmDirP1Id_5c9d2164317095.77316110_1_0"	"PISA_ron-ROU_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"4242"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ Amintește-ți să selectezi &lt;b&gt;una sau mai multe&lt;/b&gt; căsuțe."	"q1MA149_question_q1p3_5c9d21652ae817.33454873_0"	"PISA_ron-ROU_MAT_MA149-FloorArea_en21_MS2022.xlf"
"3721"	"Type your answer to the question."	"Redactează un răspuns:"	"MA142_questionq2_q2itemDirections_5c9d2164b45da3.19087883_1_0"	"PISA_ron-ROU_MAT_MA142-WaterReservoir_en21_MS2022.xlf"
"4312"	"Explain your answer."	"Oferă o explicație pentru răspunsul dat."	"q3MA150_question_q3p4_5c9d21653a0672.84676440_0"	"PISA_ron-ROU_MAT_MA150-TriangularPattern_en21_MS2022.xlf"
"4650"	"Explain your answer."	"Oferă o explicație pentru răspunsul dat."	"q1MA156_question_q1p2_5c9d2165693a19.29184719_0"	"PISA_ron-ROU_MAT_MA156-Points_en21_MS2022.xlf"
"1782"	"Using the number keys, type your answer to the question."	"Folosește tastele numerice pentru a-ți redacta răspunsul."	"MA118_question01_q01itemDirections_5c9d214b02b426.25463544_1_0"	"PISA_ron-ROU_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"4207"	"Explain your answer."	"Oferă o explicație pentru răspunsul dat."	"q3MA148_question_q3p3_5c9d21651da120.58575580_0"	"PISA_ron-ROU_MAT_MA148-ChanceOfRain_en21_MS2022.xlf"
"4445"	"Select"	"Selectează"	"q2MA152_question_q2o0_5c9d216550cbf7.56001817_0"	"PISA_ron-ROU_MAT_MA152-TheBetterDeal_en21_MS2022.xlf"
"1423"	"Using the number keys, type your answer to the question."	"Folosește tastele numerice pentru a-ți redacta răspunsul."	"MA117_question03_q03itemDirections_5c9d214aaf7521.90788246_1_0"	"PISA_ron-ROU_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"1039"	"84+"	"85+"	"MA113S02_stimulus_tr10td7_5c9d214a666350.37673801_0"	"PISA_ron-ROU_MAT_MA113-HeartRate_en21_MS2022.xlf"
"956"	"To run this simulation, follow these steps:"	"Pentru a folosi calculatorul, urmează acești pași:"	"menu_1_aMenu_part1_p1_5c9d2136e90d65.41091853_0"	"PISA_ron-ROU_MAT_MA112-Metabolism_en21_MS2022.xlf"
"4422"	"Click on the choices in the table to answer the question."	"Dă clic pe una dintre variante pentru a răspunde la întrebare."	"q1MA152_question_q1itemDirections_5c9d21654f6b95.79333200_1_0"	"PISA_ron-ROU_MAT_MA152-TheBetterDeal_en21_MS2022.xlf"
"3460"	"Select"	"Selectează"	"q2CMA137_question_q1A0_5c9d216470a101.61255510_0"	"PISA_ron-ROU_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"4632"	"Explain your answer and include numerical values to support your explanation."	"Explică-ți răspunsul și folosește valori numerice care să justifice explicația ta."	"q3MA154_question_q3p3_5c9d21655e78d5.34923288_0"	"PISA_ron-ROU_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"3206"	"Select"	"Selectează"	"Q1MA134_question_Q01tr4td1SELECT1o0_5c9d2164319403.08217963_0"	"PISA_ron-ROU_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"1976"	"Explain your answer."	"Explică răspunsul tău."	"Q3MA124_question_MA124Q03P3_5c9d214b42a550.23637236_0"	"PISA_ron-ROU_MAT_MA124-ZedlandTopography_en21_MS2022.xlf"
"4904"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Dă clic fie pe &lt;b&gt;Da&lt;/b&gt;, fie pe &lt;b&gt;Nu&lt;/b&gt; pentru fiecare afirmație."	"q1MA160_question_q1p1_5c9d21377c3598.13096072_1_0"	"PISA_ron-ROU_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"4850"	"Mean"	"Media"	"MA160_stimulus_mean_5c9d213774cbc9.97013701_0"	"PISA_ron-ROU_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"817"	"Using the number keys, type your answer to the question."	"Folosește tastele numerice pentru a-ți redacta răspunsul."	"Q1M111_question_Q1itemDirections_5c9d214a58a5d3.97129528_1_0"	"PISA_ron-ROU_MAT_MA111-HealthApp_en21_MS2022.xlf"
"1482"	"Using the number keys, type your answer to the question."	"Folosește tastele numerice pentru a-ți redacta răspunsul."	"MA119_question3_itemDirections3_5c9d214ad81398.66377695_1_0"	"PISA_ron-ROU_MAT_MA119-MusicSurvey_en21_MS2022.xlf"
"3470"	"Select"	"Selectează"	"q2CMA137_question_q1C0_5c9d216470b966.73073198_0"	"PISA_ron-ROU_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"1343"	"Using the number keys, type your answer to the question."	"Folosește tastele numerice pentru a-ți redacta răspunsul."	"MA116_question3_itemDirections3_5c9d214a9c49c7.11195988_1_0"	"PISA_ron-ROU_MAT_MA116-InternationalSchool_en21_MS2022.xlf"
"3912"	"Click on the choices in the table to answer the question."	"Dă clic pe una dintre variante pentru a răspunde la întrebare."	"q3MA144_question_q3itemDirections_5c9d2164d14836.39405170_1_0"	"PISA_ron-ROU_MAT_MA144-Yogurt_en21_MS2022.xlf"
