"Segment"	"en-ZZ"	"el-CY"	"ID"	"File"
"930"	"lower"	"χαμηλότερες"	"S602_question4_S602Q04SELECT32_515e3a71ecff57.11412426_0"	"PISA_ell-QCY_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"1535"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;Να διαβάσεις την εισαγωγή. Μετά να κάνεις κλικ στο βελάκι ΕΠΟΜΕΝΗ
.&lt;/i&gt;"	"question0_1_itemDirections00_5193d3562518e5.63977402_0"	"PISA_ell-QCY_SCI_S615-Tsunami_en15_MS2022.xlf"
"2103"	"In the simulation, an individual in the population will be in one of the following three states at all times."	"Στην προσομοίωση ένα άτομο μέσα στον πληθυσμό θα βρίσκεται σε μία από τις ακόλουθες τρεις καταστάσεις ανά πάσα στιγμή."	"question000_1_q000P2_5193fde5990fa4.58817131_0"	"PISA_ell-QCY_SCI_S634-Vaccination_en15_MS2022.xlf"
"1899"	"Sound in Marine Habitats"	"Ηχος στους Θαλασσιους Βιοτοπους"	"S626_stimulus3_attr_alt_attr_stimulus3_3_515e3a72776ca3.57902829_0"	"PISA_ell-QCY_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"1991"	"S627 Car Tyres"	"S627 Ελαστικά Αυτοκινήτου"	"S627_stimulus3_unknownID_51740713bc8110.32660734_0"	"PISA_ell-QCY_SCI_S627-CarTyres_en15_MS2022.xlf"
"2777"	"This simulation allows you to observe the results of a reaction between substance A and substance B. You will explore how the volumes of the two substances affect both the size of the particles produced and the reaction time."	"Αυτή η προσομοίωση σου επιτρέπει να παρατηρήσεις τα αποτελέσματα μιας αντίδρασης μεταξύ της ουσίας Α και της ουσίας Β. Θα εξερευνήσεις πώς οι όγκοι των δύο ουσιών επηρεάζουν τόσο το μέγεθος των σωματιδίων που παράγονται, όσο και τον χρόνο αντίδρασης."	"question1_1_q01p1_51940c1035b265.52697733_0"	"PISA_ell-QCY_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"1763"	"&lt;i&gt; Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes.&lt;/i&gt;"	"&lt;i&gt;Μην ξεχάσεις να επιλέξεις &lt;b&gt;ένα ή περισσότερα&lt;/b&gt; κουτάκια&lt;/i&gt;."	"S625_question3_Reminder_515e3a72606b12.91412290_0"	"PISA_ell-QCY_SCI_S625-WildfiresAndTheFireTriangle_en15_MS2022.xlf"
"1900"	"Sound in Marine Habitats"	"Ηχος στους Θαλασσιους Βιοτοπους"	"S626_stimulus3_attr_alt_attr_stimulus3_4_515e3a72776ea8.71341202_0"	"PISA_ell-QCY_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"2228"	"Delete a row of data to run another trial."	"Να διαγράψεις μια γραμμή δεδομένων για να εκτελέσεις άλλη δοκιμή."	"js_translation_deleteMsg_51940bae3450d3.30215634_0"	"PISA_ell-QCY_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"788"	"The provision of assistance to victims of natural disasters"	"Παροχή βοήθειας στα θύματα των φυσικών καταστροφών"	"S514_question3_tr4td1_5135f0cf692d82.12392422_0"	"PISA_ell-QCY_SCI_S514-DevelopmentAndDisaster_en15_MS2022.xlf"
"2447"	"High"	"Υψηλό"	"stimulus2_1_stimulus2_38_51940bae4fba04.81742995_0"	"PISA_ell-QCY_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2936"	"Venus"	"Αφροδίτη"	"S648_stimulus1_le1_517407af7daf63.70073035_0"	"PISA_ell-QCY_SCI_S648-HabitableZone_en15_MS2022.xlf"
"1725"	"S620 Tornadoes"	"S620 Ανεμοστρόβιλοι"	"S620_stimulus2_unknownID_51740713aca671.18734835_0"	"PISA_ell-QCY_SCI_S620-Tornadoes_en15_MS2022.xlf"
"2771"	"To select a row of data to answer a question, click anywhere on that row. The row(s) you select will be marked with a star."	"Για να επιλέξεις μια γραμμή δεδομένων, ώστε να απαντήσεις σε μια ερώτηση, να κάνεις κλικ σε οποιοδήποτε σημείο πάνω στη γραμμή. Στη γραμμή ή τις γραμμές που επιλέγεις, θα εμφανίζεται ένα αστεράκι."	"menu_1_menuP5_51940c10332141.68408868_0"	"PISA_ell-QCY_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"1452"	"Ammonoids"	"Αμμωνιτες"	"S608_stimulus2_attr_alt_attr_stimulus2_1_515e3a72358344.98567042_0"	"PISA_ell-QCY_SCI_S608-Ammonoids_en15_MS2022.xlf"
"1130"	"Experiment A"	"Το Πείραμα A"	"S604_question4_question4_1_51804e6bc71130.91737656_0"	"PISA_ell-QCY_SCI_S604-WaterFromFog_en15_MS2022.xlf"
"1897"	"Sound in Marine Habitats"	"Ηχος στους Θαλασσιους Βιοτοπους"	"S626_stimulus3_attr_alt_attr_stimulus3_1_515e3a72776832.81768625_0"	"PISA_ell-QCY_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"2322"	"In this simulation, you will be able to explore how the level of fishing of cod and herring affects the biomass of each type of organism in the bay after a five-year period."	"Σε αυτή την προσομοίωση θα μπορείς να εξερευνήσεις πώς τα επίπεδα ψαρέματος του μπακαλιάρου και της ρέγγας επηρεάζουν τη βιομάζα του κάθε τύπου οργανισμού στον κόλπο, μετά από μια περίοδο πέντε ετών."	"question2_1_P21_51940bae3e5413.17982633_0"	"PISA_ell-QCY_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2778"	"To see how all the controls in this simulation work, follow these steps:"	"Για να δεις πώς λειτουργούν τα χειριστήρια ελέγχου στην προσομοίωση αυτή, να ακολουθήσεις τα παρακάτω βήματα:"	"question1_1_q01p2_51940c1035b545.11039704_0"	"PISA_ell-QCY_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2938"	"Mars"	"Άρης"	"S648_stimulus1_le3_517407af7db842.87617149_0"	"PISA_ell-QCY_SCI_S648-HabitableZone_en15_MS2022.xlf"
