"Segment"	"en-ZZ"	"ar-AE"	"ID"	"File"
"261"	"Density"	"الكثافة"	"S413_question3_q3t3tr3td1_50ec425ae77df5.37197633_0"	"PISA_ara-ARE_SCI_S413-PlasticAge_en15_MS2022.xlf"
"243"	"Low"	"منخفض"	"S413_question3_q3t1tr5td2_50ec425ae72d63.99198243_0"	"PISA_ara-ARE_SCI_S413-PlasticAge_en15_MS2022.xlf"
"1574"	"2500 m"	"2500&amp;lrm;&amp;nbsp;m"	"question3_1_optionLabel3_5193d3562b0d59.19329847_0"	"PISA_ara-ARE_SCI_S615-Tsunami_en15_MS2022.xlf"
"2630"	"Incandescent light bulbs"	"المصابيح الكهربائية المتوهجة"	"question5_1_question5_5_51940c102667c4.89967001_0"	"PISA_ara-ARE_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2657"	"Incandescent"	"المتوهج"	"sim_1_q02sim2_51940c102b16e1.40689421_0"	"PISA_ara-ARE_SCI_S643-LightBulbs_en15_MS2022.xlf"
"1053"	"&lt;b&gt;Elephants and Acacia Trees&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;الفيلة وأشجار السنط&lt;/b&gt;&lt;br /&gt;السؤال"	"S603_question5_itemTitle5_515e3a720cc5f5.49479568_0"	"PISA_ara-ARE_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"2683"	"Good!&lt;br /&gt; Please click on the NEXT arrow to continue."	"جيد!&lt;br /&gt; انقر على زر &quot;التالي&quot; للمتابعة ."	"sim_1_dialogMsgText2_51940c102b9894.02724093_0"	"PISA_ara-ARE_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2111"	"&lt;b&gt;Infectious:&lt;/b&gt; Individuals in this state have the disease and can infect others."	"&lt;b&gt;معد:&lt;/b&gt;الأفراد في هذه الحالة لديهم هذا المرض ويمكنهم نقل العدوى للآخرين."	"question000_1_t1tr2td2_5193fde5991bb9.29730595_0"	"PISA_ara-ARE_SCI_S634-Vaccination_en15_MS2022.xlf"
"71"	"Carbohydrates"	"كربوهيدرات"	"S326_stimulus1_t1tr4td1_50ec4a20ade339.25274152_0"	"PISA_ara-ARE_SCI_S326-Milk_en15_MS2022.xlf"
"856"	"&lt;i&gt;Refer to &quot;Extinction of the Dinosaurs&quot; on the right. Click on the choices in the table to answer the question.&lt;/i&gt;"	"&lt;i&gt;ارجع إلى &quot;انقراض الديناصورات&quot; على الجانب الأيسر. انقر على الخيارات في الجدول للإجابة عن السؤال.&lt;/i&gt;"	"S527_question3_itemDirections3_50ec1f21e080a0.98105485_0"	"PISA_ara-ARE_SCI_S527-ExtinctionOfTheDinosaurs_en15_MS2022.xlf"
