"Segment"	"en-ZZ"	"ro-MD"	"ID"	"File"
"3020"	"Explain your choice."	"Explicați alegerea Dumneavoastră."	"question5_1_q05span1_5c9d227c6128d6.87427044_0"	"PISA_ron-MDA_SCI_S646-Nanoparticles_en21_MS2022.xlf"
"302"	"Resistance to UV-radiation"	"Rezistenţa larazele UV"	"S413_question3_q3t1tr5td1_5c3f6295cc6051.69299449_0"	"PISA_ron-MDA_SCI_S413-PlasticAge_en21_MS2022.xlf"
"1246"	"Species A"	"Speciile A"	"S603_intro_span1_5c9d227aa7d311.55919225_0"	"PISA_ron-MDA_SCI_S603-ElephantsAndAcaciaTrees_en21_MS2022.xlf"
"1493"	"Type your answer to the question.&lt;/i&gt;"	"Scrieți răspunsul Dumneavoastră la întrebare.&lt;/i&gt;"	"S605_question4_itemDirections4_5c9d227adef695.10070069_1_0"	"PISA_ron-MDA_SCI_S605-GeothermalEnergy_en21_MS2022.xlf"
"2604"	"Low"	"Mic"	"js_translation_low_5c9d227befabd7.87112589_0"	"PISA_ron-MDA_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"2277"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each question."	"Dați clic pe &lt;b&gt;Da&lt;/b&gt; sau pe &lt;b&gt;Nu&lt;/b&gt; pentru fiecare întrebare."	"S629_question4_itemStem4_5c9d227bb01a64.85309226_6_0"	"PISA_ron-MDA_SCI_S629-SolarCooker_en21_MS2022.xlf"
"804"	"&lt;b&gt;ANTIBIOTICS&lt;/b&gt;"	"&lt;b&gt;Antibiotice&lt;/b&gt;"	"S478_stimulus2_title2_5c3f629a3b1683.29197189_0"	"PISA_ron-MDA_SCI_S478-Antibiotics_en21_MS2022.xlf"
"2224"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Dați clic pe o variantă din tabel pentru a răspunde la întrebare.&lt;/i&gt;"	"S629_question2_itemDirections2_5c9d227bac4599.44971614_1_0"	"PISA_ron-MDA_SCI_S629-SolarCooker_en21_MS2022.xlf"
"704"	"No"	"Fără"	"S438_stimulus2_chem16_5c3f6298e959d7.90159617_0_0"	"PISA_ron-MDA_SCI_S438-GreenParks_en21_MS2022.xlf"
"2482"	"None"	"Zero"	"stimulus2_1_stimulus2_43_5c9d227be143f6.04534828_0"	"PISA_ron-MDA_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"2603"	"None"	"Zero"	"js_translation_none_5c9d227befa414.60923870_0"	"PISA_ron-MDA_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"678"	"No"	"Fără"	"S438_stimulus2_chem11_5c3f6298e943e4.87524469_0_0"	"PISA_ron-MDA_SCI_S438-GreenParks_en21_MS2022.xlf"
"2537"	"select"	"Selectați"	"question3_1_o3b_0_5c9d227be62df9.94958067_0"	"PISA_ron-MDA_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"27"	"milk (g)"	"uman (g)"	"S326_stimulus1_t1tr1td4_5c3f62943fc7c6.62737128_2_0"	"PISA_ron-MDA_SCI_S326-Milk_en21_MS2022.xlf"
"2952"	"Type your answer to the question.&lt;/i&gt;"	"Scrieți răspunsul Dumneavoastră la întrebare.&lt;/i&gt;"	"S645_question4_itemDirections4_5c9d227c51f199.81592699_1_0"	"PISA_ron-MDA_SCI_S645-CarbonDioxideInEarthsAtmosphere_en21_MS2022.xlf"
"2483"	"Low"	"Mic"	"stimulus2_1_stimulus2_44_5c9d227be14568.23782540_0"	"PISA_ron-MDA_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"2759"	"Type your answer to the question.&lt;/i&gt;"	"Scrieți răspunsul Dumneavoastră la întrebare.&lt;/i&gt;"	"question1_1_itemDirections01_5c9d227c31e890.69451485_1_0"	"PISA_ron-MDA_SCI_S643-LightBulbs_en21_MS2022.xlf"
"2477"	"None"	"Zero"	"stimulus2_1_stimulus2_35_5c9d227be13994.26206749_0"	"PISA_ron-MDA_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"871"	"&lt;b&gt;EXPERIMENTAL DIGESTION&lt;/b&gt;"	"&lt;b&gt;UN EXPERIMENT ASUPRA DIGESTIEI&lt;/b&gt;"	"S498_stimulus2_title2_5c3f629ad7cf25.78394280_0_0"	"PISA_ron-MDA_SCI_S498-ExperimentalDigestion_en21_MS2022.xlf"
"1195"	"higher"	"mai mari"	"S602_question4_S602Q04SELECT31_5c9d227a932959.60112285_0"	"PISA_ron-MDA_SCI_S602-UrbanHeatIslandEffect_en21_MS2022.xlf"
"2479"	"Medium"	"Mediu"	"stimulus2_1_stimulus2_37_5c9d227be13c31.69980187_0"	"PISA_ron-MDA_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"1196"	"lower"	"mai mici"	"S602_question4_S602Q04SELECT32_5c9d227a932a50.70057209_0"	"PISA_ron-MDA_SCI_S602-UrbanHeatIslandEffect_en21_MS2022.xlf"
"439"	"Location"	"Localitatea"	"S425_stimulus2_t1tr1td4_5c3f629768b703.53190620_0_0"	"PISA_ron-MDA_SCI_S425-PenguinIsland_en21_MS2022.xlf"
"313"	"Resistance to UV-radiation"	"Rezistenţa larazele UV"	"S413_question3_q3t2tr5td1_5c3f6295cc7365.94650294_0"	"PISA_ron-MDA_SCI_S413-PlasticAge_en21_MS2022.xlf"
"2478"	"Low"	"Mic"	"stimulus2_1_stimulus2_36_5c9d227be13b02.67418193_0"	"PISA_ron-MDA_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"2735"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each question."	"Dați clic pe &lt;b&gt;Da&lt;/b&gt; sau pe &lt;b&gt;Nu&lt;/b&gt; pentru fiecare întrebare."	"S638_question4_p41_5c9d227c21dae0.65233789_1_0"	"PISA_ron-MDA_SCI_S638-OilSpills_en21_MS2022.xlf"
"2480"	"High"	"Mare"	"stimulus2_1_stimulus2_38_5c9d227be13d68.33588968_0"	"PISA_ron-MDA_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"2566"	"select"	"Selectați"	"question5_1_o5b_0_5c9d227be93836.04718175_0"	"PISA_ron-MDA_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"946"	"&lt;b&gt;DEVELOPMENT AND DISASTER&lt;/b&gt;"	"&lt;b&gt;AMENAJĂRI ȘI DEZASTRE&lt;/b&gt;"	"S514_stimulus2_title2_5c3f629bdb34f6.21835728_0"	"PISA_ron-MDA_SCI_S514-DevelopmentAndDisaster_en21_MS2022.xlf"
"337"	"Resistance to UV-radiation"	"Rezistenţa larazele UV"	"S413_question3_q3t4tr5td1_5c3f6295cca0c3.03051902_0"	"PISA_ron-MDA_SCI_S413-PlasticAge_en21_MS2022.xlf"
"2562"	"select"	"Selectați"	"question5_1_o5_0_5c9d227be933f2.27989834_0"	"PISA_ron-MDA_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"2736"	"Can this question be answered by scientific experiments?"	"Se poate răspunde prin experimente științifice la această întrebare?"	"S638_question4_Q4_tr1th1_5c9d227c21dcf7.10199460_0"	"PISA_ron-MDA_SCI_S638-OilSpills_en21_MS2022.xlf"
"779"	"&lt;b&gt;Forest Fires&lt;/b&gt;"	"&lt;b&gt;Incendiile forestiere&lt;/b&gt;"	"S466_question2_itemTitle2_5c3f6299980700.98676394_0_0"	"PISA_ron-MDA_SCI_S466-ForestFires_en21_MS2022.xlf"
"2189"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Dați clic pe o variantă din tabel pentru a răspunde la întrebare.&lt;/i&gt;"	"S627_question3_itemDirections3_5c9d227b9e55a9.91171542_1_0"	"PISA_ron-MDA_SCI_S627-CarTyres_en21_MS2022.xlf"
"2485"	"High"	"Mare"	"stimulus2_1_stimulus2_46_5c9d227be147e8.45470810_0"	"PISA_ron-MDA_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"2606"	"High"	"Mare"	"js_translation_high_5c9d227befbe32.99905741_0"	"PISA_ron-MDA_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"514"	"&lt;b&gt;Penguin Island&lt;/b&gt;"	"&lt;b&gt;Insula Pinguinilor imperiali &lt;/b&gt;"	"S425_question3_itemTitle3_5c3f62976e2df3.78642253_0_0"	"PISA_ron-MDA_SCI_S425-PenguinIsland_en21_MS2022.xlf"
"628"	"No"	"Fără"	"S438_stimulus2_chem1_5c3f6298e92813.12162921_0_0"	"PISA_ron-MDA_SCI_S438-GreenParks_en21_MS2022.xlf"
"1174"	"Type your answer to the question.&lt;/i&gt;"	"Scrieți răspunsul Dumneavoastră la întrebare.&lt;/i&gt;"	"S602_question3_itemDirections3_5c9d227a91f0f8.85124035_1_0"	"PISA_ron-MDA_SCI_S602-UrbanHeatIslandEffect_en21_MS2022.xlf"
"2918"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Dați clic pe o variantă din tabel pentru a răspunde la întrebare.&lt;/i&gt;"	"S645_question1_itemDirections1_5c9d227c4f8b07.32611541_1_0"	"PISA_ron-MDA_SCI_S645-CarbonDioxideInEarthsAtmosphere_en21_MS2022.xlf"
"2533"	"select"	"Selectați"	"question3_1_o3_0_5c9d227be629b1.76981930_0"	"PISA_ron-MDA_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"2484"	"Medium"	"Mediu"	"stimulus2_1_stimulus2_45_5c9d227be146a9.40941283_0"	"PISA_ron-MDA_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"351"	"&lt;b&gt;SOLAR PANELS&lt;/b&gt;"	"&lt;b&gt;PANOURI SOLARE &lt;/b&gt;"	"S415_stimulus2_title_5c3f62968dcf70.86846830_0"	"PISA_ron-MDA_SCI_S415-SolarPowerGeneration_en21_MS2022.xlf"
"24"	"milk (g)"	"de lupoaică (g)"	"S326_stimulus1_t1tr1td3_5c3f62943fc6b8.78972420_2_0"	"PISA_ron-MDA_SCI_S326-Milk_en21_MS2022.xlf"
"2605"	"Medium"	"Mediu"	"js_translation_medium_5c9d227befb367.92304708_0"	"PISA_ron-MDA_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"1976"	"Type your answer to the question.&lt;/i&gt;"	"Scrieți răspunsul Dumneavoastră la întrebare.&lt;/i&gt;"	"S625_question1_itemDirections1_5c9d227b6b51a1.38334626_1_0"	"PISA_ron-MDA_SCI_S625-WildfiresAndTheFireTriangle_en21_MS2022.xlf"
