"Segment"	"en-ZZ"	"uk-UA"	"ID"	"File"
"5133"	"on the right."	"наведеною справа."	"R567_question02_q02itemDirections_5c9d225b5ba536.69101290_1_0"	"PISA_ukr-UKR_REA_R567-SmokeJumpers_en21_MS2022.xlf"
"4968"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"R566_question03_q03itemDirections_5c9d225b2b2f50.49516650_1_0"	"PISA_ukr-UKR_REA_R566-SkelligRocks_en21_MS2022.xlf"
"4514"	"Refer to the different webpages of the website on the right."	"Ознайомтеся з наведеними справа різними сторінками вебсайта."	"R563_question07_q07itemDirections_5c9d225ab26de4.63200404_0_0"	"PISA_ukr-UKR_REA_R563-QuestionOfTheWeek_en21_MS2022.xlf"
"358"	"T"	"Чт"	"R219_stimulus_stimulus_7_5c3f62717534b0.87034439_0"	"PISA_ukr-UKR_REA_R219-Employment_en21_MS2022.xlf"
"4933"	"Then click on the NEXT arrow."	"Після цього клікніть на стрілку УПЕРЕД."	"q00b-body_q00b-itemDirections_5c9d225b2548f7.48007221_1_0"	"PISA_ukr-UKR_REA_R566-SkelligRocks_en21_MS2022.xlf"
"3747"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"R559_question02_q02itemDirections_5c9d225a0a89e5.45985887_1_0"	"PISA_ukr-UKR_REA_R559-NaliniNadkarni_en21_MS2022.xlf"
"4057"	"Then click on the NEXT arrow."	"Після цього клікніть на стрілку УПЕРЕД."	"q00b-body_q00b-p1_5c9d225a4fc501.93826266_1_0"	"PISA_ukr-UKR_REA_R561-OlympicFlag_en21_MS2022.xlf"
"4541"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"R563_question09_q09itemDirections_5c9d225ab83649.12366902_1_0"	"PISA_ukr-UKR_REA_R563-QuestionOfTheWeek_en21_MS2022.xlf"
"3758"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"R559_question03_q03itemDirections_5c9d225a0bca08.34875790_1_0"	"PISA_ukr-UKR_REA_R559-NaliniNadkarni_en21_MS2022.xlf"
"2493"	"Click on a choice to answer the question.&lt;/i&gt;"	"Виберіть відповідь на запитання та клікніть на неї.&lt;/i&gt;"	"R547_question2_itemDirections_5c9d219f17c6f8.51935753_1_0"	"PISA_ukr-UKR_REA_R547-BookSurvey_en21_MS2022.xlf"
