"Segment"	"en-ZZ"	"hr-HR"	"ID"	"File"
"4242"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ Ne zaboravi odabrati &lt;b&gt;jedan ili više &lt;/b&gt;kvadratića:"	"q1MA149_question_q1p3_5c9d21652ae817.33454873_0"	"PISA_hrv-HRV_MAT_MA149-FloorArea_en21_MS2022.xlf"
"4702"	"Truck"	"Na kamionetu"	"q2MA157_question_question02_7_5c9d216572f717.86101949_0"	"PISA_hrv-HRV_MAT_MA157-Tyres_en21_MS2022.xlf"
"2448"	"Using the number keys, type your answers to the question."	"Utipkaj odgovor na pitanja služeći se brojčanim tipkama."	"MA128q02_question_q02itemDirections_5c9d21372a66a8.78895134_1_0"	"PISA_hrv-HRV_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"4597"	"D"	"S"	"MA154_stimulus3_img2Lbl2_5c9d21655aa2b4.02398709_0"	"PISA_hrv-HRV_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4580"	"D"	"S"	"MA154_stimulus1_img1bLbl2_5c9d2165588dd1.17990179_0"	"PISA_hrv-HRV_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"956"	"To run this simulation, follow these steps:"	"Za pokretanje kalkulatora slijedi ove korake:"	"menu_1_aMenu_part1_p1_5c9d2136e90d65.41091853_0"	"PISA_hrv-HRV_MAT_MA112-Metabolism_en21_MS2022.xlf"
"4591"	"A"	"Z"	"MA154_stimulus2_img2Lbl3_5c9d2165598be7.99281808_0"	"PISA_hrv-HRV_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"2796"	"11:07"	"U 11:07"	"MA131_question1_question01_5_5c9d214ba1f5a2.18702157_0"	"PISA_hrv-HRV_MAT_MA131-TravellingByTrain_en21_MS2022.xlf"
"4701"	"Motorcycle"	"Na motociklu"	"q2MA157_question_question02_6_5c9d216572f4d8.24396304_0"	"PISA_hrv-HRV_MAT_MA157-Tyres_en21_MS2022.xlf"
"1039"	"84+"	"85+"	"MA113S02_stimulus_tr10td7_5c9d214a666350.37673801_0"	"PISA_hrv-HRV_MAT_MA113-HeartRate_en21_MS2022.xlf"
"2969"	"x"	"α"	"MA133_stimulus_SxLbl_5c9d2164218182.03155443_0"	"PISA_hrv-HRV_MAT_MA133-ArrangingTables_en21_MS2022.xlf"
"4590"	"D"	"S"	"MA154_stimulus2_img2Lbl2_5c9d2165598ae0.74047303_0"	"PISA_hrv-HRV_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"3488"	"Click on one or more boxes to answer the question."	"Odgovori na pitanje klikom na dva kvadratića."	"q3CMA137_question_q3itemDirections_5c9d2164739181.43159279_1_0"	"PISA_hrv-HRV_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"4581"	"A"	"Z"	"MA154_stimulus1_img1bLbl3_5c9d2165588ed8.45765769_0"	"PISA_hrv-HRV_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"2797"	"13:07"	"U 13:07"	"MA131_question1_question01_6_5c9d214ba1f728.44485898_0"	"PISA_hrv-HRV_MAT_MA131-TravellingByTrain_en21_MS2022.xlf"
"4132"	"42%"	"Za 42%"	"MA147q4_question_question04_7_5c9d21650b7306.73251190_0"	"PISA_hrv-HRV_MAT_MA147-AeroplaneTickets_en21_MS2022.xlf"
"4542"	"Delete some rows of data to run more trials."	"Za pokretanje nove simulacije, izbriši nekoliko redaka podataka."	"js_translation_deleteDataMsg_5c9d2137496c12.61018599_0"	"PISA_hrv-HRV_MAT_MA153-Gears_en21_MS2022.xlf"
"3952"	"1.7 m"	"Za 1.7 m"	"MA145_question2_question02_4_5c9d2164e0ec68.48314534_0"	"PISA_hrv-HRV_MAT_MA145-Shadows_en21_MS2022.xlf"
"4598"	"A"	"Z"	"MA154_stimulus3_img2Lbl3_5c9d21655aa3a4.29260706_0"	"PISA_hrv-HRV_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"5075"	"Statement"	"Pitanje"	"q1MA161_question_q1tr1th1_5c9d2137a0deb4.05869160_0"	"PISA_hrv-HRV_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"3981"	"Litres"	"Litre"	"MA146_stimulus3_liters_5c9d2164e9e439.48235083_0"	"PISA_hrv-HRV_MAT_MA146-Fuel_en21_MS2022.xlf"
"4699"	"Car"	"Na automobilu"	"q2MA157_question_question02_4_5c9d216572f050.52985827_0"	"PISA_hrv-HRV_MAT_MA157-Tyres_en21_MS2022.xlf"
"4578"	"A"	"Z"	"MA154_stimulus1_img1aLbl3_5c9d2165588bc7.82795793_0"	"PISA_hrv-HRV_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4577"	"D"	"S"	"MA154_stimulus1_img1aLbl2_5c9d2165588ab8.21634755_0"	"PISA_hrv-HRV_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4700"	"Construction Vehicle"	"Na građevinskom vozilu"	"q2MA157_question_question02_5_5c9d216572f2a6.82105559_0"	"PISA_hrv-HRV_MAT_MA157-Tyres_en21_MS2022.xlf"
"620"	"Delete some rows of data to run more trials."	"Za više simulacija, obriši nekoliko redaka podataka."	"js_translation_deleteDataMsg_5c9d2136c4f825.08190079_0"	"PISA_hrv-HRV_MAT_MA108-Fountains_en21_MS2022.xlf"
"2794"	"9:17"	"U 9:17"	"MA131_question1_question01_3_5c9d214ba1f288.19658897_0"	"PISA_hrv-HRV_MAT_MA131-TravellingByTrain_en21_MS2022.xlf"
"2795"	"9:37"	"U 9:37"	"MA131_question1_question01_4_5c9d214ba1f418.79057605_0"	"PISA_hrv-HRV_MAT_MA131-TravellingByTrain_en21_MS2022.xlf"
"1132"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each of the statements in the table below."	"Klikni na &lt;b&gt;Točno&lt;/b&gt; ili &lt;b&gt;Netočno&lt;/b&gt; za svaku od tvrdnji u donjoj tablici:"	"Q02MA113_question_Q02P2_5c9d214a6c3ca7.40682286_0"	"PISA_hrv-HRV_MAT_MA113-HeartRate_en21_MS2022.xlf"
"891"	"To run this simulation, follow these steps:"	"Za korištenje kalkulatora slijedi ove korake:"	"q00body_q0p1_5c9d2136e26543.48980409_0"	"PISA_hrv-HRV_MAT_MA112-Metabolism_en21_MS2022.xlf"
"2487"	"Delete some rows of data to run more trials."	"Za pokretanje nove simulacije, obriši nekoliko redaka podataka."	"js_translation_deleteDataMsg_5c9d21372f29b4.24729794_0"	"PISA_hrv-HRV_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
