"Segment"	"en-ZZ"	"pl-PL"	"ID"	"File"
"4590"	"D"	"G"	"MA154_stimulus2_img2Lbl2_5c9d2165598ae0.74047303_0"	"PISA_pol-POL_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"1878"	"Use drag and drop to answer the question."	"Zastosuj funkcję przeciągnij i upuść, aby odpowiedzieć na pytanie."	"MA128_question1_q1itemDirections_5c9d214b319101.94990115_1_0"	"PISA_pol-POL_MAT_MA123-SolarSystem_en21_MS2022.xlf"
"956"	"To run this simulation, follow these steps:"	"Aby skorzystać z kalkulatora, wykonaj poniższe kroki."	"menu_1_aMenu_part1_p1_5c9d2136e90d65.41091853_0"	"PISA_pol-POL_MAT_MA112-Metabolism_en21_MS2022.xlf"
"3913"	"Are the following statements true or false?"	"Czy poniższe stwierdzenia są prawdziwe czy fałszywe?"	"q3MA144_question_q3p1_5c9d2164d149f9.75927623_0_0"	"PISA_pol-POL_MAT_MA144-Yogurt_en21_MS2022.xlf"
"2732"	"Click on the choices in the table to answer the question."	"Kliknij, aby wybrać odpowiedzi w tabeli."	"MA130_question02_itemDirectionsQ02_5c9d214b8c2531.90987341_1_0"	"PISA_pol-POL_MAT_MA130-SleepNReactionTime_en21_MS2022.xlf"
"3864"	"269 kJ"	"276 kJ"	"MA144_stimulusb_rr3c2_5c9d2164ccaf11.37166809_0"	"PISA_pol-POL_MAT_MA144-Yogurt_en21_MS2022.xlf"
"1545"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ Pamiętaj, aby zaznaczyć &lt;b&gt;jedną lub więcej&lt;/b&gt; odpowiedzi."	"MA120_question2_Q02p3_5c9d214ae38a80.91484290_0"	"PISA_pol-POL_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"4632"	"Explain your answer and include numerical values to support your explanation."	"Uzasadnij swoją odpowiedź za pomocą liczb."	"q3MA154_question_q3p3_5c9d21655e78d5.34923288_0"	"PISA_pol-POL_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4580"	"D"	"G"	"MA154_stimulus1_img1bLbl2_5c9d2165588dd1.17990179_0"	"PISA_pol-POL_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"3182"	"Select from the drop-down menus to answer the question."	"Wybierz odpowiedź na pytanie z rozwijanego menu."	"Q1MA134_question_Q1ItmDirP1Id_5c9d2164317095.77316110_1_0"	"PISA_pol-POL_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
