"Segment"	"en-ZZ"	"fr-BE"	"ID"	"File"
"4133"	"Tapez votre réponse à la question."	"Pour répondre à la question, cliquez sur l'un des choix de réponse puis tapez votre explication."	"R561_question02_q02itemDirections_56fc78f05d1325.31880311_1_0"	"PISA_fra-BEL_REA_R561-OlympicFlag_fr18_MS2022.xlf"
"2102"	"Vraie"	"Vrai"	"R545_question03_Q03tr1th2_56fc79295e5a36.15591265_0"	"PISA_fra-BEL_REA_R545-MachuPicchu_fr18_MS2022.xlf"
"1051"	"&lt;b&gt;10 Years £100 offer&lt;br /&gt; Sogec Management&lt;br /&gt; 41 Shore Rd, Pittville&lt;br /&gt; Hampshire, PI15 9SA&lt;/b&gt;&lt;br /&gt;"	"&lt; &lt;b&gt;Offre 10 ans - 100 €&lt;br /&gt; Direction Sagic &lt;br /&gt; Rue d’Arlon 23&lt;br /&gt; 1050 Bruxelles&lt;br /&gt;Belgique&lt;/b&gt;&lt;br /&gt;"	"R466_stimulus_line5b_50c7c8f44c8210.75364046_0"	"PISA_fra-BEL_REA_R466-WorkRight_en15_MS2022.xlf"
"5214"	"✓ &lt;i&gt;N'oubliez pas de sélectionner &lt;b&gt;une ou plusieurs&lt;/b&gt; cases.&lt;/i&gt;"	"&amp;check; &lt;i&gt;N'oubliez pas de sélectionner &lt;b&gt;une ou plusieurs&lt;/b&gt; cases.&lt;/i&gt;"	"R567_question01_q01p2_56fc78d5117de4.82560447_0"	"PISA_fra-BEL_REA_R567-SmokeJumpers_fr18_MS2022.xlf"
"2372"	"Un des livres doit appartenir à l'un des 3 genres de fiction préférés des élèves selon les résultats du sondage."	"un des livres doit appartenir à l'un des 3 genres de fiction préférés des élèves selon les résultats du sondage."	"R547_question10_q10l1i1_56fc791ac39a13.85532793_0"	"PISA_fra-BEL_REA_R547-BookSurvey_fr18_MS2022.xlf"
"1354"	"Référez-vous à la page web à droite."	"Référez-vous au prospectus et à la page web à droite en cliquant sur chacun des onglets."	"Q10_question_Q10itemDirections_56fc79288147d7.55967466_0_0"	"PISA_fra-BEL_REA_R541-Plastic_fr18_MS2022.xlf"
"573"	"When they reached the summit, Amundsen had the excess dogs destroyed, keeping only eighteen for three sledges. On 10 December, they were just 112 kilometres from the South Pole. The altitude was decreasing."	"Au sommet, Amundsen fait abattre les chiens superflus, n'en gardant que dix-huit pour trois traîneaux. Le 10 décembre, ils ne sont plus qu'à environ 112 kilomètres du pôle Sud. L'altitude diminue."	"R220_stimulus_p3_50c7bff69d0e67.35701296_0"	"PISA_fra-BEL_REA_R220-SouthPole_en15_MS2022.xlf"
"2374"	"Chacun des livres proposés doit coûter moins de 25 zeds."	"chacun des livres proposés doit coûter moins de 25 zeds."	"R547_question10_q10l1i4_56fc791ac3a012.88202006_0"	"PISA_fra-BEL_REA_R547-BookSurvey_fr18_MS2022.xlf"
"1976"	"&lt;i&gt;Référez-vous aux informations fournie sous « Une étincelle de génie » à droite."	"&lt;i&gt;Référez-vous aux informations fournies sous « Une étincelle de génie » à droite."	"R544_question5_itemDirections_56fd7267122380.43790887_0_0"	"PISA_fra-BEL_REA_R544-Tesla_fr18_MS2022.xlf"
"4508"	"Pour répondre à la question, cliquez sur l’un des choix de réponse.&lt;/i&gt;"	"Tapez votre réponse à la question.&lt;/i&gt;"	"R563_question01_q01itemDirections_56fc78e0917043.40115027_1_0"	"PISA_fra-BEL_REA_R563-QuestionOfTheWeek_fr18_MS2022.xlf"
"2932"	"&lt;b&gt;Objet :&lt;/b&gt; RE : Bénévolat – FestiRock"	"&lt;b&gt;Objet :&lt;/b&gt; Bénévolat &amp;ndash; FestiRock"	"pg1_stimulus_pg1-li3-4_56fd7937af7a42.26287821_0"	"PISA_fra-BEL_REA_R552-FestiRock_fr18_MS2022.xlf"
"1049"	"&gt; For purchases between £60 and £149.99, Work Right will reimburse you £20.&lt;br /&gt; &gt; For purchases between £150 and £299.99, Work Right will reimburse you £50.&lt;br /&gt; &gt; For purchases of £300 or more, Work Right will reimburse you £100.&lt;br /&gt;"	"&gt; O-Buro rembourse &lt;span id=&quot;q3key&quot;&gt;20&lt;/span&gt; € sur des achats entre 60 et 149,99 €.&lt;br /&gt; &gt; O-Buro rembourse 50 € sur des achats entre 150 et 299,99 €.&lt;br /&gt; &gt; O-Buro rembourse 100 € sur des achats de 300 € ou plus. &lt;br /&gt;"	"R466_stimulus_line5_50c7c8f44c7b78.16267042_0"	"PISA_fra-BEL_REA_R466-WorkRight_en15_MS2022.xlf"
"1071"	"&lt;b&gt;Important!  Do not forget to attach:&lt;/b&gt;&lt;br /&gt; — A copy of your proof of purchase&lt;br /&gt; — The bar code(s) or price tag(s) of the original products&lt;br /&gt;"	"&lt;b&gt;Attention ! N’oubliez pas de joindre :&lt;/b&gt;&lt;br /&gt; &amp;mdash; Une photocopie de votre preuve d’achat&lt;br /&gt; &amp;mdash; Le ou les codes-barres ou étiquettes de prix des produits achetés&lt;br /&gt;"	"R466_stimulus_sect3right_50c7c8f44cd436.56793873_0"	"PISA_fra-BEL_REA_R466-WorkRight_en15_MS2022.xlf"
"301"	"T"	"J"	"R219_stimulus_stimulus_7_50c7b722de2987.52962485_0"	"PISA_fra-BEL_REA_R219-Employment_en15_MS2022.xlf"
"321"	"PHONE"	"TÉLÉPHONE"	"R219_stimulus_sect4Line2span3_50c7b722def5d3.73518986_0"	"PISA_fra-BEL_REA_R219-Employment_en15_MS2022.xlf"
"2373"	"Un des livres doit être un livre informatif."	"un des livres doit être un livre informatif."	"R547_question10_q10l1i2_56fc791ac39d29.80122807_0"	"PISA_fra-BEL_REA_R547-BookSurvey_fr18_MS2022.xlf"
"5356"	"1,95 m"	"1,90 m"	"R567_question09_q09tr7td3_56fc78d51e82f5.88439742_0"	"PISA_fra-BEL_REA_R567-SmokeJumpers_fr18_MS2022.xlf"
"1889"	"Pour répondre à la question, cliquez sur l’un des choix de réponse puis tapez votre explication.&lt;/i&gt;"	"Pour répondre à la question, cliquez sur l’un des choix de réponse.&lt;/i&gt;"	"R544_question11_itemDirections_56fd7267087389.47807259_1_0"	"PISA_fra-BEL_REA_R544-Tesla_fr18_MS2022.xlf"
"304"	"S"	"D"	"R219_stimulus_stimulus_10_50c7b722de3999.76075255_0"	"PISA_fra-BEL_REA_R219-Employment_en15_MS2022.xlf"
"2101"	"Cette affirmation est-elle vraie ou fausse ?"	"Selon la brochure, cette affirmation est-elle vraie ou fausse ?"	"R545_question03_Q03tr1th1_56fc79295e5649.51517362_0"	"PISA_fra-BEL_REA_R545-MachuPicchu_fr18_MS2022.xlf"
"325"	"TO"	"AU"	"R219_stimulus_sect4Line3span4_50c7b722df0c39.27369797_0"	"PISA_fra-BEL_REA_R219-Employment_en15_MS2022.xlf"
"494"	"When they reached the summit, Amundsen had the excess dogs destroyed, keeping only eighteen for three sledges. On 10 December, they were just 112 kilometres from the South Pole. The altitude was decreasing."	"Au sommet, Amundsen fait abattre les chiens superflus, n'en gardant que dix-huit pour trois traîneaux. Le 10 décembre, ils ne sont plus qu'à environ 112 kilomètres du pôle Sud. L'altitude diminue."	"R220_stimulus_p3_50c7bff695f2e3.11405926_0"	"PISA_fra-BEL_REA_R220-SouthPole_en15_MS2022.xlf"
"2103"	"Fausse"	"Faux"	"R545_question03_Q03tr1th3_56fc79295e5cd9.02386534_0"	"PISA_fra-BEL_REA_R545-MachuPicchu_fr18_MS2022.xlf"
"4738"	"Et j’ai eu le privilège de l’écouter. »&lt;/i&gt;"	"Et j’ai eu le privilège de l’écouter.&amp;nbsp;&lt;/i&gt;»"	"R564_question06_q06p1_56fc790cefcf49.23330258_1_0"	"PISA_fra-BEL_REA_R564-SebastiaoSalgado_fr18_MS2022.xlf"
"2100"	"Cliquez sur &lt;b&gt;Vraie&lt;/b&gt; ou &lt;b&gt;Fausse&lt;/b&gt; pour chaque affirmation."	"Cliquez sur &lt;b&gt;Vrai&lt;/b&gt; ou &lt;b&gt;Faux&lt;/b&gt; pour chaque affirmation."	"R545_question03_Q03p1_56fc79295e5151.43519564_1_0"	"PISA_fra-BEL_REA_R545-MachuPicchu_fr18_MS2022.xlf"
"313"	"PHONE"	"TÉLÉPHONE"	"R219_stimulus_sect3Line2span3_50c7b722debd55.68885503_0"	"PISA_fra-BEL_REA_R219-Employment_en15_MS2022.xlf"
"5831"	"Pour répondre à la question, cliquez sur l’un des choix de réponse puis tapez votre explication.&lt;/i&gt;"	"Tapez votre réponse à la question.&lt;/i&gt;"	"q6R569_question_q06itemDirections_56fc78d5652cb8.65914329_1_0"	"PISA_fra-BEL_REA_R569-TheCleanup_fr18_MS2022.xlf"
