"Segment"	"en-ZZ"	"el-CY"	"ID"	"File"
"674"	"Paul"	"Παύλος"	"M800_stimulus_tr1td2_5135f0e7129cb7.90604971_0"	"PISA_ell-QCY_MAT_M800-ComputerGame_en15_MS2022.xlf"
"462"	"&lt;i&gt;Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Να χρησιμοποιήσεις τα αριθμητικά πλήκτρα, για να πληκτρολογήσεις την απάντησή σου.&lt;/i&gt;"	"Q1M464_question_Q1itemDirections_5135f0e4dd7641.73985314_0"	"PISA_ell-QCY_MAT_M464-Fence_en15_MS2022.xlf"
"334"	"Statement"	"Πρόταση"	"Q1M420_question_Q1tr1th1_5135f0e2da5012.63886974_0"	"PISA_ell-QCY_MAT_M420-Transport_en15_MS2022.xlf"
"677"	"Meagan"	"Μαρία"	"M800_stimulus_tr1td5_5135f0e712ab19.49564539_0"	"PISA_ell-QCY_MAT_M800-ComputerGame_en15_MS2022.xlf"
"1062"	"A"	"Κ"	"Q1M943_question_label2_50c7832eab2101.27070947_0"	"PISA_ell-QCY_MAT_M943-Arches_en15_MS2022.xlf"
"471"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Για να απαντήσεις στην ερώτηση, να κάνεις κλικ σε μια επιλογή.&lt;/i&gt;"	"Q1M474_question_Q1itemDirections_5135f0e50b2754.15565796_0"	"PISA_ell-QCY_MAT_M474-RunningTime_en15_MS2022.xlf"
"1345"	"India"	"Καναδάς"	"M955_stimulus_tr7td1_5135f0eca13de0.03213427_0"	"PISA_ell-QCY_MAT_M955-Migration_en15_MS2022.xlf"
"1214"	"∠"	"&lt;span class=&quot;normal&quot;&gt;Οι γωνίες &lt;/span&gt;"	"M949_stimulus_stimulus_2_5135f0eae13011.26771631_0"	"PISA_ell-QCY_MAT_M949-RoofTrussDesign_en15_MS2022.xlf"
"274"	"Statement"	"Πρόταση"	"Q1M408_question_Q1tr1th1_5135f0e1cd1dc7.88068175_0"	"PISA_ell-QCY_MAT_M408-Lotteries_en15_MS2022.xlf"
"1313"	"&lt;i&gt;Refer to &quot;Migration&quot; on the right. Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Να ανατρέξεις στο κείμενο &quot;Μετανάστευση&quot; στα δεξιά. Να πληκτρολογήσεις την απάντησή σου στην ερώτηση.&lt;/i&gt;"	"Q2M955_question_Q2itemDirections_5135f0ec95eb12.10044148_0"	"PISA_ell-QCY_MAT_M955-Migration_en15_MS2022.xlf"
"1433"	"M982 Employment Data Q3"	"M982 ΔΕΔΟΜΕΝΑ ΑΠΑΣΧΟΛΗΣΗΣ Q4"	"Q4M982_question_unknownID_5135f0ee0723e9.70068857_0"	"PISA_ell-QCY_MAT_M982-EmploymentData_en15_MS2022.xlf"
"1248"	"&lt;br /&gt; &lt;br /&gt; Show how you found your answer.&lt;br /&gt;"	"&lt;br /&gt; &lt;br /&gt;Να εξηγήσεις την απάντησή σου.&lt;br /&gt;"	"Q3M953_question_Q3itemStem_50c77e1d1af049.47022724_0"	"PISA_ell-QCY_MAT_M953-FluTest_en15_MS2022.xlf"
"676"	"Neil"	"Νίκος"	"M800_stimulus_tr1td4_5135f0e712a638.31282285_0"	"PISA_ell-QCY_MAT_M800-ComputerGame_en15_MS2022.xlf"
"1336"	"Canada"	"Γερμανία"	"M955_stimulus_tr4td1_5135f0eca10259.34964666_0"	"PISA_ell-QCY_MAT_M955-Migration_en15_MS2022.xlf"
"675"	"Patricia"	"Πηνελόπη"	"M800_stimulus_tr1td3_5135f0e712a171.36491997_0"	"PISA_ell-QCY_MAT_M800-ComputerGame_en15_MS2022.xlf"
"1228"	"X"	"Λ"	"M949_stimulus_label10_5135f0eae1b1c9.03268640_0"	"PISA_ell-QCY_MAT_M949-RoofTrussDesign_en15_MS2022.xlf"
"1339"	"China"	"Ηνωμένες Πολιτείες"	"M955_stimulus_tr5td1_5135f0eca11769.90193009_0"	"PISA_ell-QCY_MAT_M955-Migration_en15_MS2022.xlf"
