"Segment"	"en-ZZ"	"is-IS"	"ID"	"File"
"2246"	"High"	"Miklar"	"js_translation_high_51940bae34b560.40161506_0"	"PISA_isl-ISL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2339"	"select"	"Veldu"	"question3_1_o3_0_51940bae4043d8.73867895_0"	"PISA_isl-ISL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2452"	"Medium"	"Miðlungs"	"stimulus2_1_stimulus2_37_51940bae4fb717.07805933_0"	"PISA_isl-ISL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"556"	"No&lt;br /&gt;treatment"	"enginn&lt;br /&gt;áburður"	"S438_stimulus2_chem6_50ec5641036554.02542218_0"	"PISA_isl-ISL_SCI_S438-GreenParks_en15_MS2022.xlf"
"2451"	"Low"	"Litlar"	"stimulus2_1_stimulus2_36_51940bae4fb421.47656771_0"	"PISA_isl-ISL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2541"	"&lt;b&gt;Oil Spills&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Oíumengun&lt;/b&gt;&lt;br /&gt; Spurning"	"S638_question5_itemTitle5_51804fe18b9630.39685907_0"	"PISA_isl-ISL_SCI_S638-OilSpills_en15_MS2022.xlf"
"566"	"No&lt;br /&gt;treatment"	"enginn&lt;br /&gt;áburður"	"S438_stimulus2_chem11_50ec56410388d2.84827974_0"	"PISA_isl-ISL_SCI_S438-GreenParks_en15_MS2022.xlf"
"2244"	"Low"	"Litlar"	"js_translation_low_51940bae34a947.00199980_0"	"PISA_isl-ISL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2374"	"select"	"Veldu"	"question5_1_o5b_0_51940bae44bb33.45794359_0"	"PISA_isl-ISL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2375"	"increase"	"meiri"	"question5_1_o5b_1_51940bae44bde1.09195708_0"	"PISA_isl-ISL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2976"	"Caterpillar"	"Lirfa"	"S657_question1_source1_518050dc4065d2.43433896_0"	"PISA_isl-ISL_SCI_S657-InvasiveSpecies_en15_MS2022.xlf"
"2453"	"High"	"Miklar"	"stimulus2_1_stimulus2_38_51940bae4fba04.81742995_0"	"PISA_isl-ISL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2387"	"&lt;b&gt;Save the Fish&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Bjargið fiskinum&lt;/b&gt;&lt;br /&gt; Spurning"	"question6_1_itemTitle06_51940bae4756a1.46889475_0"	"PISA_isl-ISL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2243"	"None"	"Engar"	"js_translation_none_51940bae34a2a5.02729819_0"	"PISA_isl-ISL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2458"	"High"	"Miklar"	"stimulus2_1_stimulus2_46_51940bae4fd1e3.66045354_0"	"PISA_isl-ISL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2546"	"S629 Solar Cooker"	"S629 Sólareldavél"	"S629_stimulus0_unknownID_51804fe18d9562.55221986_0"	"PISA_isl-ISL_SCI_S638-OilSpills_en15_MS2022.xlf"
"936"	"lower"	"lægra"	"S602_question4_S602Q04SELECT32_515e3a71ecff57.11412426_0"	"PISA_isl-ISL_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2455"	"None"	"Engar"	"stimulus2_1_stimulus2_43_51940bae4fc8e8.55900256_0"	"PISA_isl-ISL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1523"	"Medium"	"Miðlungs"	"js_translation_slopeMedium_5193d356223111.88387023_0"	"PISA_isl-ISL_SCI_S615-Tsunami_en15_MS2022.xlf"
