"Segment"	"en-ZZ"	"ar-QA"	"ID"	"File"
"409"	"&lt;i&gt;Refer to the documents in &quot;South Pole&quot; on the right. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;ارجع الى وثائق القطب الجنوبي على اليسار. اضغط على احد الخيارات للاجابة على السؤال.&lt;/i&gt;"	"R220_question_itemDirections_50d374bb7e1ad4.26926821_0"	"PISA_ara-QAT_REA_R220-SouthPole_en15_MS2022.xlf"
"4632"	"Type your answers to the questions."	"اكتب إجاباتك عن السؤال."	"R563_question10_q10itemDirections_56fc786b4e31f5.41702157_1_0"	"PISA_ara-QAT_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"1545"	"Tutors for All"	"معلمو التقوية للجميع"	"Q08R542_question_question8_6_56fc7821105e50.84474711_0"	"PISA_ara-QAT_REA_R542-BulletinBoard_en18_MS2022.xlf"
"4515"	"Refer to the different webpages of the website on the right."	"ارجع إلى صفحات شبكة الإنترنت المختلفة للموقع الإلكتروني على اليسار."	"R563_question02_q02itemDirections_56fc786b3ef669.06586663_0_0"	"PISA_ara-QAT_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"1903"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"اضغط على أحد الخيارات ثم اكتب شرحا للإجابة عن السؤال &lt;/i&gt;."	"R544_question12_itemDirections_56fc78216b9a04.98619256_1_0"	"PISA_ara-QAT_REA_R544-Tesla_en18_MS2022.xlf"
"2375"	"Zedtown High’s favourite fiction genres of books"	"أنواع الكتب الأدبية  المفضلة في مدرسة  مدينة زد الثانوية"	"R547_question10_chartTitle_56fc782e14aac4.83822508_0"	"PISA_ara-QAT_REA_R547-BookSurvey_en18_MS2022.xlf"
"1636"	"Question"	"سؤال"	"R543_question1_itemTitle_56fc782131aca6.78376814_1_0"	"PISA_ara-QAT_REA_R543-Nobel_en18_MS2022.xlf"
"2374"	"Each nominated book must cost less than 25 zeds"	"يجب ألا تزيد تكلفة الكتاب المرشح على 25 زداً"	"R547_question10_q10l1i4_56fc782e14a4a6.26695589_0"	"PISA_ara-QAT_REA_R547-BookSurvey_en18_MS2022.xlf"
"320"	"LOCATION"	"الموقع"	"R219_stimulus_sect4Line2span2_50d36df9b8c404.81747289_0"	"PISA_ara-QAT_REA_R219-Employment_en15_MS2022.xlf"
"5123"	"✓ &lt;i&gt;Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes.&lt;/i&gt;"	"&amp;check; &lt;i&gt;تذكر اختيار مربع &lt;b&gt;واحد أو أكثر&lt;/b&gt;.&lt;/i&gt;"	"R566_question08_q08p2_56fc786b8e20a7.54435316_0"	"PISA_ara-QAT_REA_R566-SkelligRocks_en18_MS2022.xlf"
"6174"	"&lt;i&gt;Read the information below."	"&lt;i&gt;اقرا المعلومات الواردة أدناه."	"q00body_q00itemDirections_56fd23111a5057.38756393_0_0"	"PISA_ara-QAT_REA_R590-Sentences01_en18_MS2022.xlf"
"3218"	"Then click on the NEXT arrow.&lt;/i&gt;"	"ثم اضغط على سهم &quot;التالي&quot;.&lt;/i&gt;"	"question00b_1_itemDirections0b_56fc784a5b0b61.65001921_1_0"	"PISA_ara-QAT_REA_R553-HealthForum_en18_MS2022.xlf"
"4500"	"Then click on the NEXT arrow."	"ثم اضغط على سهم &quot;التالي&quot;."	"q00-body_q00-itemDirections_56fc786b3bd0d1.16007011_1_0"	"PISA_ara-QAT_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"1049"	"&gt; For purchases between £60 and £149.99, Work Right will reimburse you £20.&lt;br /&gt; &gt; For purchases between £150 and £299.99, Work Right will reimburse you £50.&lt;br /&gt; &gt; For purchases of £300 or more, Work Right will reimburse you £100.&lt;br /&gt;"	"&gt; للمشتريات من 600 ريال وحتى 1499 ريال ستسترد من ورك رايت على &lt;span id=&quot;q3key&quot;&gt;200&lt;/span&gt; ريالاً.&lt;br /&gt; &gt;  للمشتريات من 1500ريال وحتى 2999 ريال ستسترد من ورك رايت على 500 ريالاً.&lt;br /&gt; &gt; للمشتريات من 3000 فأكثر ستسترد من ورك رايت على 1000 ريالاً.&lt;br /&gt;"	"R466_stimulus_line5_50d37b69328e82.33888221_0"	"PISA_ara-QAT_REA_R466-WorkRight_en15_MS2022.xlf"
"2723"	"Home"	"الصفحة الرئيسية"	"R550_hours_hours_l1_56fc785ccf6140.31847109_0"	"PISA_ara-QAT_REA_R550-CliffPalace_en18_MS2022.xlf"
"4508"	"Refer to the different webpages of the website on the right."	"ارجع إلى صفحات شبكة الإنترنت المختلفة للموقع الإلكتروني على اليسار."	"R563_question01_q01itemDirections_56fc786b3d91e6.22628556_0_0"	"PISA_ara-QAT_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"2245"	"Then click on the Next arrow."	"ثم اضغط على سهم &quot;التالي&quot;."	"q00bbody_question00b_1_56fc782e013a23.58004393_1_0"	"PISA_ara-QAT_REA_R547-BookSurvey_en18_MS2022.xlf"
"3378"	"Then click on the NEXT arrow.&lt;/i&gt;"	"ثم اضغط على سهم &quot; التالي &quot;. &lt;/i&gt;"	"question00_itemDirections00_56fc783ab76215.52042641_1_0"	"PISA_ara-QAT_REA_R556-Microlending_en18_MS2022.xlf"
"1014"	"WORK RIGHT"	"عمر ورك رايت"	"R466_stimulus_stimulus_1_50d37b69301c50.53451796_0"	"PISA_ara-QAT_REA_R466-WorkRight_en15_MS2022.xlf"
"4617"	"Refer to the different webpages of the website on the right."	"ارجع إلى صفحات شبكة الإنترنت المختلفة للموقع الإلكتروني على اليسار."	"R563_question09_q09itemDirections_56fc786b4ba5d3.14167925_0_0"	"PISA_ara-QAT_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5929"	"Then click on the NEXT arrow."	"ثم اضغط على سهم &quot;التالي&quot;."	"q00b-body_q00b-itemDirections_56fc787975ae90.73732058_1_0"	"PISA_ara-QAT_REA_R570-TheFavour_en18_MS2022.xlf"
"1477"	"Yes, that’s my plan, but I’m more interested in the tutoring post..."	"نعم ، كانت هذه خطتي، ولكنني أكثر اهتماما بإعلان دروس التقوية ..."	"Q02R542_question_Convp7_56fc782107fe14.69518872_1_0"	"PISA_ara-QAT_REA_R542-BulletinBoard_en18_MS2022.xlf"
