"Segment"	"en-ZZ"	"et-EE"	"ID"	"File"
"2374"	"select"	"Vali"	"question5_1_o5b_0_51940bae44bb33.45794359_0"	"PISA_est-EST_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"572"	"+&lt;br /&gt;ammonium&lt;br /&gt;sulfate"	"+&lt;br /&gt;ammoonium-&lt;br /&gt;sulfaat"	"S438_stimulus2_chem14_50ec55ef7645e1.60125725_0"	"PISA_est-EST_SCI_S438-GreenParks_en15_MS2022.xlf"
"1732"	"tornadoes"	"Tornaadod"	"S620_stimulus2_title2_51740713acb467.06985728_0"	"PISA_est-EST_SCI_S620-Tornadoes_en15_MS2022.xlf"
"1681"	"May"	"mai"	"S620_Q2_xq25_51740713a0a6b5.88203009_0"	"PISA_est-EST_SCI_S620-Tornadoes_en15_MS2022.xlf"
"2630"	"Incandescent light bulbs"	"Hõõgpirnidele"	"question5_1_question5_5_51940c102667c4.89967001_0"	"PISA_est-EST_SCI_S643-LightBulbs_en15_MS2022.xlf"
"1355"	"Newly hatched birds are in nests"	"Koorunud linnupojad&lt;br /&gt;on pesades"	"S607_stimulus1_sl12_517407135d10a1.35506100_0"	"PISA_est-EST_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"2370"	"select"	"Vali"	"question5_1_o5_0_51940bae44b0b3.00306533_0"	"PISA_est-EST_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2198"	"&lt;i&gt;Run the simulation to collect data based on the information below.  Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"&lt;i&gt;Lähtudes alltoodud infost, vii andmete kogumiseks läbi simulatsioon. Küsimusele vastamiseks klõpsa ühte vastusevarianti ja seejärel kirjuta põhjendus. &lt;/i&gt;"	"question4_1_itemDirections04_5193fde5a25bd9.17476160_0"	"PISA_est-EST_SCI_S634-Vaccination_en15_MS2022.xlf"
"1699"	"S620 Tornadoes Q03"	"S620 Tornaadod K04"	"S620_question3_unknownID_51740713a2e581.39006046_0"	"PISA_est-EST_SCI_S620-Tornadoes_en15_MS2022.xlf"
"737"	"No"	"EI"	"S498_question3_question3_2_50ec5c5f9053b8.92261047_0"	"PISA_est-EST_SCI_S498-ExperimentalDigestion_en15_MS2022.xlf"
"736"	"Yes"	"JAH"	"S498_question3_question3_1_50ec5c5f904fe6.85679323_0"	"PISA_est-EST_SCI_S498-ExperimentalDigestion_en15_MS2022.xlf"
"2631"	"CFL light bulbs"	"Säästupirnidele"	"question5_1_question5_6_51940c10266be3.09555400_0"	"PISA_est-EST_SCI_S643-LightBulbs_en15_MS2022.xlf"
"794"	"The provision of assistance to victims of natural disasters"	"Loodusõnnetuste ohvrite abistamine"	"S514_question3_tr4td1_50ed2945f30f11.86775271_0"	"PISA_est-EST_SCI_S514-DevelopmentAndDisaster_en15_MS2022.xlf"
"792"	"The use of science to predict natural disasters"	"Loodusõnnetuste ennustamine teaduslike meetodite abil"	"S514_question3_tr2td1_50ed2945f301e3.05627760_0"	"PISA_est-EST_SCI_S514-DevelopmentAndDisaster_en15_MS2022.xlf"
"2525"	"Can this question be answered by scientific experiments?"	"Kas sellele küsimusele on võimalik vastata teaduslike katsetega?"	"S638_question4_Q4_tr1th1_51804fe1883fb9.47923889_0"	"PISA_est-EST_SCI_S638-OilSpills_en15_MS2022.xlf"
"2339"	"select"	"Vali"	"question3_1_o3_0_51940bae4043d8.73867895_0"	"PISA_est-EST_SCI_S635-SaveTheFish_en15_MS2022.xlf"
