"Segment"	"en-ZZ"	"he-IL"	"ID"	"File"
"4580"	"D"	"ת"	"MA154_stimulus1_img1bLbl2_5c9d2165588dd1.17990179_0"	"PISA_heb-ISR_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"2526"	"Read the introduction."	"קראו את ההקדמה,"	"question0a_1_itemDirections00_5c9d214b76c282.48085737_0_0"	"PISA_heb-ISR_MAT_MA129-ShelvingUnit_en21_MS2022.xlf"
"2186"	"Read the introduction."	"קראו את ההקדמה,"	"question0a_1_itemDirections00_5c9d214b4ef0e1.47653790_0_0"	"PISA_heb-ISR_MAT_MA126-Robot_en21_MS2022.xlf"
"2990"	"Using the number keys, type your answers to the question."	"הקלידו את תשובתכם לשאלה בעזרת מקשי המספרים."	"MA133Q02_question_q2itemDirections_5c9d2164239bf8.41097975_1_0"	"PISA_heb-ISR_MAT_MA133-ArrangingTables_en21_MS2022.xlf"
"5075"	"Statement"	"שאלה"	"q1MA161_question_q1tr1th1_5c9d2137a0deb4.05869160_0"	"PISA_heb-ISR_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"1039"	"84+"	"+85"	"MA113S02_stimulus_tr10td7_5c9d214a666350.37673801_0"	"PISA_heb-ISR_MAT_MA113-HeartRate_en21_MS2022.xlf"
"4590"	"D"	"ת"	"MA154_stimulus2_img2Lbl2_5c9d2165598ae0.74047303_0"	"PISA_heb-ISR_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"593"	"Click on a choice to answer the question."	"סמנו את תשובתכם."	"MA108q02_question_q02itemDirections_5c9d2136c1f750.90859666_2_0"	"PISA_heb-ISR_MAT_MA108-Fountains_en21_MS2022.xlf"
"3488"	"Click on one or more boxes to answer the question."	"כדי לענות על השאלה, סמנו שתי תשובות."	"q3CMA137_question_q3itemDirections_5c9d2164739181.43159279_1_0"	"PISA_heb-ISR_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"1378"	"Read the introduction."	"קראו את ההקדמה,"	"question0a_1_itemDirections00_5c9d214aab7211.94558881_0_0"	"PISA_heb-ISR_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"4679"	"Use drag and drop to answer the question."	"כדי לענות על השאלה, גררו את שמות כלי הרכב אל המקום המתאים בטבלה."	"q1MA157_question_q1itemDirections_5c9d216571a4f9.75837745_1_0"	"PISA_heb-ISR_MAT_MA157-Tyres_en21_MS2022.xlf"
"1171"	"Then click on the NEXT arrow."	"ולאחר מכן לחצו על החץ &quot;הבא&quot;."	"question0a_1_itemDirections00_5c9d214a819cf9.74104060_1_0"	"PISA_heb-ISR_MAT_MA114-Honey_en21_MS2022.xlf"
"4515"	"Click on a choice to answer the question."	"סמנו את תשובתכם."	"MA153q02_question_q02itemDirections_5c9d213746bb12.40931470_2_0"	"PISA_heb-ISR_MAT_MA153-Gears_en21_MS2022.xlf"
"2527"	"Then click on the NEXT arrow."	"ולאחר מכן לחצו על החץ &quot;הבא&quot;."	"question0a_1_itemDirections00_5c9d214b76c282.48085737_1_0"	"PISA_heb-ISR_MAT_MA129-ShelvingUnit_en21_MS2022.xlf"
"1170"	"Read the introduction."	"קראו את ההקדמה,"	"question0a_1_itemDirections00_5c9d214a819cf9.74104060_0_0"	"PISA_heb-ISR_MAT_MA114-Honey_en21_MS2022.xlf"
"4904"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"סמנו &lt;b&gt;כן&lt;/b&gt; או &lt;b&gt;לא&lt;/b&gt; עבור כל היגד."	"q1MA160_question_q1p1_5c9d21377c3598.13096072_1_0"	"PISA_heb-ISR_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"4591"	"A"	"ע"	"MA154_stimulus2_img2Lbl3_5c9d2165598be7.99281808_0"	"PISA_heb-ISR_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"1878"	"Use drag and drop to answer the question."	"כדי לענות על השאלה, גררו את כוכבי הלכת אל המקומות המתאימים."	"MA128_question1_q1itemDirections_5c9d214b319101.94990115_1_0"	"PISA_heb-ISR_MAT_MA123-SolarSystem_en21_MS2022.xlf"
"4598"	"A"	"ע"	"MA154_stimulus3_img2Lbl3_5c9d21655aa3a4.29260706_0"	"PISA_heb-ISR_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
