"Segment"	"en-ZZ"	"de-DE"	"ID"	"File"
"5037"	"Type your answer to the question."	"Gib deine Antwort auf die Frage ein. &lt;/i&gt;"	"R566_question02_q02itemDirections_56fc786b806f13.34096544_1_0"	"PISA_deu-DEU_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5780"	"Location"	"Ort"	"q2R569_question_q02r1c2_56fc78794f4067.23543123_0"	"PISA_deu-DEU_REA_R569-TheCleanup_en18_MS2022.xlf"
"5571"	"Type your answer to the question."	"Gib deine Antwort auf die Frage ein.&lt;/i&gt;"	"R568_question04_q04itemDirections_56fc784aa79954.99366440_1_0"	"PISA_deu-DEU_REA_R568-SpaceDebris_en18_MS2022.xlf"
"2898"	"Type your answer to the question."	"Gib deine Antworten auf die Frage ein."	"R550_question09_q09itemDirections_56fc785ced99f2.99132393_1_0"	"PISA_deu-DEU_REA_R550-CliffPalace_en18_MS2022.xlf"
"5217"	"✓ &lt;i&gt;Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes.&lt;/i&gt;"	"&amp;check;&lt;i&gt;  Vergiss nicht, &lt;b&gt;ein oder mehrere&lt;/b&gt; Kästchen auszuwählen.&lt;/i&gt;"	"R567_question01_q01p2_56fc78790bc0f7.07074059_0"	"PISA_deu-DEU_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"3929"	"Click on a search result to answer the question."	"Klicke auf ein Suchergebnis, um die Frage zu beantworten."	"R560_question01_q01itemDirections_56fc784a78e486.20169494_1_0"	"PISA_deu-DEU_REA_R560-GarbagePatch_en18_MS2022.xlf"
"5825"	"Playground"	"Beim Spielplatz."	"q5R569_question_question05_4_56fc7879535184.90433446_0"	"PISA_deu-DEU_REA_R569-TheCleanup_en18_MS2022.xlf"
"4916"	"Type your answer to the question.&lt;/i&gt;"	"Gib deine Antwort auf die Frage ein. &lt;/i&gt;"	"R565_question9_itemDirections_56fc785d64abb5.53582901_1_0"	"PISA_deu-DEU_REA_R565-SittingDisease_en18_MS2022.xlf"
"5013"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q00c-body_q00c-itemDirections_56fc786b7db3f5.52043399_1_0"	"PISA_deu-DEU_REA_R566-SkelligRocks_en18_MS2022.xlf"
"4029"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q00bbody_q00bitemDirections_56fc784a8325e9.36857198_1_0"	"PISA_deu-DEU_REA_R560-GarbagePatch_en18_MS2022.xlf"
"3786"	"Click on a choice to answer the question."	"Klicke eine Antwort an, um die Frage zu beantworten.&lt;/i&gt;"	"R559_question01_q01itemDirections_56fc783b245423.47469729_1_0"	"PISA_deu-DEU_REA_R559-NaliniNadkarni_en18_MS2022.xlf"
"5924"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q00a-body_q00a-itemDirections_56fc787974a2a3.06881981_1_0"	"PISA_deu-DEU_REA_R570-TheFavour_en18_MS2022.xlf"
"4113"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q00b-body_q00b-p1_56fc785d264c41.70943658_1_0"	"PISA_deu-DEU_REA_R561-OlympicFlag_en18_MS2022.xlf"
"5578"	"Click on a search result to answer the question."	"Klicke auf ein Suchergebnis, um die Frage zu beantworten."	"R568_question05_q05itemDirections_56fc784aa8cd49.98790140_1_0"	"PISA_deu-DEU_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5106"	"✓ &lt;i&gt;Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes.&lt;/i&gt;"	"&amp;check;&lt;i&gt;  Vergiss nicht, &lt;b&gt;ein oder mehrere&lt;/b&gt; Kästchen auszuwählen.&lt;/i&gt;"	"R566_question07_q07p2_56fc786b8be128.35981027_0"	"PISA_deu-DEU_REA_R566-SkelligRocks_en18_MS2022.xlf"
"4314"	"Type your answer to the question."	"Gib deine Antworten auf die Frage ein. &lt;/i&gt;"	"R562_question04_q04itemDirections_56fc783b43b603.36272366_1_0"	"PISA_deu-DEU_REA_R562-OpeningNight_en18_MS2022.xlf"
"3674"	"Type your answer to the question.&lt;/i&gt;"	"Gib deine Antwort auf die Frage ein.&lt;/i&gt;"	"R558_question4_itemDirections_56fc786b0c9040.22539487_1_0"	"PISA_deu-DEU_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"2296"	"Type your answer to the question.&lt;/i&gt;"	"Gib deine Antwort auf die Frage ein.&lt;/i&gt;"	"R547_question01_itemDirections_56fc782e0a01b6.54291375_1_0"	"PISA_deu-DEU_REA_R547-BookSurvey_en18_MS2022.xlf"
"5637"	"Type your answer to the question."	"Gib deine Antwort auf die Frage ein.&lt;/i&gt;"	"R568_question09_q09itemDirections_56fc784aaf50f2.75963302_1_0"	"PISA_deu-DEU_REA_R568-SpaceDebris_en18_MS2022.xlf"
