"Segment"	"en-ZZ"	"be-BY"	"ID"	"File"
"2131"	"&lt;b&gt;Vaccination and Spreading of Disease&lt;/b&gt;&lt;br /&gt; Introduction"	"&lt;b&gt;Вакцынацыя і распаўсюджванне хваробы&lt;/b&gt;&lt;br /&gt; Уводзіны"	"question000_1_itemTitle000_56f9ce1655c4c2.80103985_0"	"PISA_bel-BLR_SCI_S634-Vaccination_en18_MS2022.xlf"
"1385"	"Is damage to acacia trees caused mainly by elephants?"	"Ці толькі сланы ў большасці сваёй робяць шкоду дрэвам акацыі?"	"S603_question5_question5_1_56f9ce15e88305.92903148_0"	"PISA_bel-BLR_SCI_S607-BirdsAndCaterpillars_en18_MS2022.xlf"
"135"	"&lt;i&gt;Refer to &quot;Wild Oat Grass&quot; on the right. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Звярніцеся да тэксту &quot;Дзікі авёс&quot; справа. Адзначце выбраны варыянт, каб адказаць на пытанне.&lt;/i&gt;"	"S408_question4_itemDirections_4_56f9ce094ae9f7.99815022_0"	"PISA_bel-BLR_SCI_S408-WildOatGrass_en18_MS2022.xlf"
"2954"	"Venus"	"Венеры"	"S648_question2_o2_1_56f9ce16af61a3.48743852_0"	"PISA_bel-BLR_SCI_S648-HabitableZone_en18_MS2022.xlf"
"1057"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt; Адзначце выбраны варыянт, каб адказаць на пытанне. &lt;/i&gt;"	"S603_question4_itemDirections4_56f9ce15c7db21.50138191_0"	"PISA_bel-BLR_SCI_S603-ElephantsAndAcaciaTrees_en18_MS2022.xlf"
"970"	"lower"	"ніжэйшая"	"S602_question4_S602Q04SELECT32_56f9ce15bbcfa5.65709848_0"	"PISA_bel-BLR_SCI_S602-UrbanHeatIslandEffect_en18_MS2022.xlf"
"339"	"&lt;i&gt;Click on the choices in the table to answer the question.&lt;/i&gt;"	"&lt;i&gt;Адзначце выбраныя варыянты ў табліцы, каб адказаць на пытанне.&lt;/i&gt;"	"S415_question3_itemDirections3_56f9ce095a9ff3.11970720_0"	"PISA_bel-BLR_SCI_S415-SolarPowerGeneration_en18_MS2022.xlf"
"2299"	"Medium"	"Сярэдні"	"stimulus2_1_stimulus2_45_56f9ce16669c70.41899028_0"	"PISA_bel-BLR_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"806"	"The use of science to predict natural disasters"	"Звярнуцца да навукі, каб прадбачыць стыхійныя бедствы"	"S514_question3_tr2td1_56f9ce098c1df5.97411417_0"	"PISA_bel-BLR_SCI_S514-DevelopmentAndDisaster_en18_MS2022.xlf"
"1600"	"&lt;b&gt;Understanding Tsunamis&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Зразумець цунамі&lt;/b&gt;&lt;br /&gt;Пытанне"	"question6_1_itemTitle06_56f9ce160d1189.22972917_0"	"PISA_bel-BLR_SCI_S615-Tsunami_en18_MS2022.xlf"
"1386"	"Are fences the best way to protect acacia trees from elephants?"	"Ці з'яўляюцца заборы найлепшым сродкам аховы дрэваў ад сланоў?"	"S603_question5_question5_2_56f9ce15e88716.93227019_0"	"PISA_bel-BLR_SCI_S607-BirdsAndCaterpillars_en18_MS2022.xlf"
"2293"	"Low"	"Нізкі"	"stimulus2_1_stimulus2_36_56f9ce16668414.44622309_0"	"PISA_bel-BLR_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"2675"	"To run this simulation, you can use the following controls:"	"Каб выканаць сімуляцыю, вы можаце выкарыстаць наступныя элементы кіравання:"	"menu_1_menuP2_56fd8ed9302e42.75991188_0"	"PISA_bel-BLR_SCI_S643-LightBulbs_en18_MS2022.xlf"
"200"	"&lt;i&gt;Click on the choices in the table to answer the question.&lt;/i&gt;"	"&lt;i&gt;Адзначце выбраныя варыянты ў табліцы, каб адказаць на пытанне.&lt;/i&gt;"	"S413_question2_itemDirections2_56f9ce094f6844.17403567_0"	"PISA_bel-BLR_SCI_S413-PlasticAge_en18_MS2022.xlf"
"2300"	"High"	"Высокі"	"stimulus2_1_stimulus2_46_56f9ce16669f10.14873255_0"	"PISA_bel-BLR_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"941"	"&lt;b&gt;Urban Heat Island Effect&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Эфект гарадскога вострава цяпла &lt;/b&gt;&lt;br /&gt; Пытанне"	"S602_question2_qitemTitle2_56f9ce15b98aa7.56643861_0"	"PISA_bel-BLR_SCI_S602-UrbanHeatIslandEffect_en18_MS2022.xlf"
"2120"	"Good!&lt;br /&gt; Please click on the NEXT arrow to continue."	"Добра!&lt;br /&gt; Калі ласка, націсніце на стрэлку ДАЛЕЙ, каб працягнуць."	"stimulus_1_dialogMsgText2_56f9ce16534058.49538271_0"	"PISA_bel-BLR_SCI_S634-Vaccination_en18_MS2022.xlf"
"808"	"The provision of assistance to victims of natural disasters"	"Забяспечыць дапамогу ахвярам стыхійных бедстваў"	"S514_question3_tr4td1_56f9ce098c2d05.56836438_0"	"PISA_bel-BLR_SCI_S514-DevelopmentAndDisaster_en18_MS2022.xlf"
"969"	"higher"	"вышэйшая"	"S602_question4_S602Q04SELECT31_56f9ce15bbcd36.52698381_0"	"PISA_bel-BLR_SCI_S602-UrbanHeatIslandEffect_en18_MS2022.xlf"
"1044"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Адзначце выбраны варыянт, каб адказаць на пытанне. &lt;/i&gt;"	"S603_question3_itemDirections3_56f9ce15c68491.54901858_0"	"PISA_bel-BLR_SCI_S603-ElephantsAndAcaciaTrees_en18_MS2022.xlf"
"959"	"&lt;b&gt;Urban Heat Island Effect&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Эфект гарадскога вострава цяпла &lt;/b&gt;&lt;br /&gt; Пытанне"	"S602_question4_qitemTitle4_56f9ce15bbb252.48106373_0"	"PISA_bel-BLR_SCI_S602-UrbanHeatIslandEffect_en18_MS2022.xlf"
"2712"	"Good!&lt;br /&gt; Please click on the NEXT arrow to continue."	"Добра!&lt;br /&gt; Калі ласка, націсніце на стрэлку ДАЛЕЙ, каб працягнуць."	"sim_1_dialogMsgText2_56fd8ed9326734.20421959_0"	"PISA_bel-BLR_SCI_S643-LightBulbs_en18_MS2022.xlf"
