"Segment"	"en-ZZ"	"ru-EE"	"ID"	"File"
"4929"	"Mathematics"	"Математический"	"q2MA160_question_question02_13_5c9d21377dd6f6.01697125_0"	"PISA_rus-EST_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"1432"	"Click on the choices in the table to answer the question."	"Выберите ответы в таблице и нажмите на них."	"MA117_question04_q04itemDirections_5c9d214ab14856.16755359_1_0"	"PISA_rus-EST_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"3912"	"Click on the choices in the table to answer the question."	"Выберите ответы в таблице и нажмите на них."	"q3MA144_question_q3itemDirections_5c9d2164d14836.39405170_1_0"	"PISA_rus-EST_MAT_MA144-Yogurt_en21_MS2022.xlf"
"5075"	"Statement"	"Вопрос"	"q1MA161_question_q1tr1th1_5c9d2137a0deb4.05869160_0"	"PISA_rus-EST_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"5190"	"Click on a choice and then type an explanation to answer the question."	"Выберите ответ и нажмите на него, а затем напечатайте объяснение к выбранному ответу."	"q4MA161_question_q4itemDirections_5c9d2137a76b55.99656517_2_0"	"PISA_rus-EST_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"1039"	"84+"	"85+"	"MA113S02_stimulus_tr10td7_5c9d214a666350.37673801_0"	"PISA_rus-EST_MAT_MA113-HeartRate_en21_MS2022.xlf"
"1558"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔ Помните, что можно выбрать &lt;b&gt;один или более&lt;/b&gt; вариантов ответа."	"MA120_question3_Q03p3_5c9d214ae4afb4.01507702_0"	"PISA_rus-EST_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"4766"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Для каждого утверждения нажмите &lt;b&gt;Верно&lt;/b&gt; или &lt;b&gt;Неверно&lt;/b&gt;."	"q2MA158_question_q2p2_5c9d21657cb501.68112298_0"	"PISA_rus-EST_MAT_MA158-EyeColour_en21_MS2022.xlf"
"1132"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each of the statements in the table below."	"Нажмите &lt;b&gt;«Верно»&lt;/b&gt; или &lt;b&gt; «Неверно»&lt;/b&gt; для каждого утверждения в приведенной ниже таблице."	"Q02MA113_question_Q02P2_5c9d214a6c3ca7.40682286_0"	"PISA_rus-EST_MAT_MA113-HeartRate_en21_MS2022.xlf"
"4932"	"Agriculture"	"Сельскохозяйственный"	"q2MA160_question_question02_15_5c9d21377ddb03.03861880_0"	"PISA_rus-EST_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"1545"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔ Помните, что можно выбрать &lt;b&gt;один или более&lt;/b&gt; вариантов ответа."	"MA120_question2_Q02p3_5c9d214ae38a80.91484290_0"	"PISA_rus-EST_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"4580"	"D"	"П"	"MA154_stimulus1_img1bLbl2_5c9d2165588dd1.17990179_0"	"PISA_rus-EST_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"5147"	"Select from the drop-down menus to answer the question."	"Выберите ответ на вопрос из выпадающих меню."	"q3MA160_question_q3itemDirections_5c9d2137a54ef3.72087436_2_0"	"PISA_rus-EST_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"956"	"To run this simulation, follow these steps:"	"Чтобы использовать этот калькулятор, выполните следующие действия:"	"menu_1_aMenu_part1_p1_5c9d2136e90d65.41091853_0"	"PISA_rus-EST_MAT_MA112-Metabolism_en21_MS2022.xlf"
"2708"	"Use drag and drop to answer the question."	"Для ответа на вопрос с помощью мыши перетащите подходящую степень вероятности в ячейку таблицы."	"MA130_question1_q01itemDirections_5c9d214b8a46d8.20840124_1_0"	"PISA_rus-EST_MAT_MA130-SleepNReactionTime_en21_MS2022.xlf"
"4679"	"Use drag and drop to answer the question."	"Для ответа на вопрос с помощью мыши перетащите названия транспортных средств в таблицу."	"q1MA157_question_q1itemDirections_5c9d216571a4f9.75837745_1_0"	"PISA_rus-EST_MAT_MA157-Tyres_en21_MS2022.xlf"
"4590"	"D"	"П"	"MA154_stimulus2_img2Lbl2_5c9d2165598ae0.74047303_0"	"PISA_rus-EST_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"1878"	"Use drag and drop to answer the question."	"Для ответа на вопрос с помощью мыши перетащите подходящие планеты в правильные места схемы."	"MA128_question1_q1itemDirections_5c9d214b319101.94990115_1_0"	"PISA_rus-EST_MAT_MA123-SolarSystem_en21_MS2022.xlf"
"4904"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Нажмите &lt;b&gt;«Да»&lt;/b&gt; или &lt;b&gt;«Нет»&lt;/b&gt; для каждого утверждения."	"q1MA160_question_q1p1_5c9d21377c3598.13096072_1_0"	"PISA_rus-EST_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"4918"	"Select from the drop-down menus to answer the question."	"Выберите ответ на вопрос из выпадающих меню."	"q2MA160_question_q2itemDirections_5c9d21377dca25.20636236_2_0"	"PISA_rus-EST_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"4591"	"A"	"Д"	"MA154_stimulus2_img2Lbl3_5c9d2165598be7.99281808_0"	"PISA_rus-EST_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"1130"	"Click on the choices in the table to answer the question."	"Выберите ответы в таблице и нажмите на них."	"Q02MA113_question_Q02itemDirections_5c9d214a6c39e7.02495684_1_0"	"PISA_rus-EST_MAT_MA113-HeartRate_en21_MS2022.xlf"
"4422"	"Click on the choices in the table to answer the question."	"Выберите ответы в таблице и нажмите на них."	"q1MA152_question_q1itemDirections_5c9d21654f6b95.79333200_1_0"	"PISA_rus-EST_MAT_MA152-TheBetterDeal_en21_MS2022.xlf"
"4867"	"Were you employed during the academic year?"	"Работали ли вы в течение учебного года?"	"q00body_q0p3_5c9d213777a552.36690745_0"	"PISA_rus-EST_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"4380"	"Click on the choices in the table to answer the question."	"Выберите ответы в таблице и нажмите на них."	"q1MA151_question_q1itemDirections_5c9d2165424791.67979223_1_0"	"PISA_rus-EST_MAT_MA151-MovingOut_en21_MS2022.xlf"
"4581"	"A"	"Д"	"MA154_stimulus1_img1bLbl3_5c9d2165588ed8.45765769_0"	"PISA_rus-EST_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"3217"	"Using the number keys, type your answers to the question."	"Воспользуйтесь клавишами с цифрами, чтобы напечатать ответ на вопрос."	"Q2MA134_question_Q2ItmDirP1Id_5c9d216433ba20.91339777_1_0"	"PISA_rus-EST_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"2990"	"Using the number keys, type your answers to the question."	"Воспользуйтесь клавишами с цифрами, чтобы напечатать ответ на вопрос."	"MA133Q02_question_q2itemDirections_5c9d2164239bf8.41097975_1_0"	"PISA_rus-EST_MAT_MA133-ArrangingTables_en21_MS2022.xlf"
"891"	"To run this simulation, follow these steps:"	"Чтобы использовать этот калькулятор, выполните следующие действия:"	"q00body_q0p1_5c9d2136e26543.48980409_0"	"PISA_rus-EST_MAT_MA112-Metabolism_en21_MS2022.xlf"
"3913"	"Are the following statements true or false?"	"Являются ли утверждения в приведенной ниже таблице верными или неверными?"	"q3MA144_question_q3p1_5c9d2164d149f9.75927623_0_0"	"PISA_rus-EST_MAT_MA144-Yogurt_en21_MS2022.xlf"
"2732"	"Click on the choices in the table to answer the question."	"Выберите ответы в таблице и нажмите на них."	"MA130_question02_itemDirectionsQ02_5c9d214b8c2531.90987341_1_0"	"PISA_rus-EST_MAT_MA130-SleepNReactionTime_en21_MS2022.xlf"
"4939"	"Mathematics"	"Математический"	"q2MA160_question_question02_22_5c9d21377de2f4.33135877_0"	"PISA_rus-EST_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"4598"	"A"	"Д"	"MA154_stimulus3_img2Lbl3_5c9d21655aa3a4.29260706_0"	"PISA_rus-EST_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"2480"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Нажмите &lt;b&gt;«Верно»&lt;/b&gt; или &lt;b&gt;«Неверно»&lt;/b&gt; для каждого утверждения."	"MA128q04_question_q4p1_5c9d21372dc083.05811723_1_0"	"PISA_rus-EST_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"4922"	"Agriculture"	"Сельскохозяйственный"	"q2MA160_question_question02_6_5c9d21377dcfb6.94851687_0"	"PISA_rus-EST_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"3864"	"269 kJ"	"276 кДж"	"MA144_stimulusb_rr3c2_5c9d2164ccaf11.37166809_0"	"PISA_rus-EST_MAT_MA144-Yogurt_en21_MS2022.xlf"
"3488"	"Click on one or more boxes to answer the question."	"Выберите два варианта ответа на вопрос и нажмите на них."	"q3CMA137_question_q3itemDirections_5c9d2164739181.43159279_1_0"	"PISA_rus-EST_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"4764"	"Click on the choices in the table to answer the question."	"Выберите ответы в таблице и нажмите на них."	"q2MA158_question_q2itemDirections_5c9d21657cb1d1.11526137_1_0"	"PISA_rus-EST_MAT_MA158-EyeColour_en21_MS2022.xlf"
"4337"	"United Kingdom"	"Соединенное Королевство"	"MA151_stimulus_cntLbl20_5c9d21654089f0.65656520_0"	"PISA_rus-EST_MAT_MA151-MovingOut_en21_MS2022.xlf"
"525"	"Answer:"	"Ответ в градусах:"	"MA107Q02_question_Q02MA107AnsId_5c9d2136b04652.63699371_0"	"PISA_rus-EST_MAT_MA107-FieldOfVision_en21_MS2022.xlf"
"2416"	"Select from the drop-down menus to answer the question."	"Выберите ответ на вопрос из выпадающих меню."	"Q1MA122_question_Q1ItmDirP1Id_5c9d21372895a9.88816326_1_0"	"PISA_rus-EST_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"3288"	"Use drag and drop to answer the question."	"Для ответа на вопрос с помощью мыши перетащите буквы в соответствующие места на графике."	"CMA135_question3_q3itemDirections_5c9d216451d087.67360697_0"	"PISA_rus-EST_MAT_MA135-ElectricBicycle_en21_MS2022.xlf"
"4578"	"A"	"Д"	"MA154_stimulus1_img1aLbl3_5c9d2165588bc7.82795793_0"	"PISA_rus-EST_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4242"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"&lt;i&gt;Помните, что можно выбрать &lt;b&gt;один или более&lt;/b&gt; вариантов ответа.&lt;/i&gt;"	"q1MA149_question_q1p3_5c9d21652ae817.33454873_0"	"PISA_rus-EST_MAT_MA149-FloorArea_en21_MS2022.xlf"
"2448"	"Using the number keys, type your answers to the question."	"Воспользуйтесь клавишами с цифрами, чтобы напечатать ответы на вопрос."	"MA128q02_question_q02itemDirections_5c9d21372a66a8.78895134_1_0"	"PISA_rus-EST_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"4577"	"D"	"П"	"MA154_stimulus1_img1aLbl2_5c9d2165588ab8.21634755_0"	"PISA_rus-EST_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4597"	"D"	"П"	"MA154_stimulus3_img2Lbl2_5c9d21655aa2b4.02398709_0"	"PISA_rus-EST_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"5402"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Нажмите &lt;b&gt;«Да»&lt;/b&gt; или &lt;b&gt;«Нет»&lt;/b&gt; для каждого утверждения."	"q3MA160_question_q3p2_5c9d2137d54e96.19323569_1_0"	"PISA_rus-EST_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"3914"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Для каждого утверждения нажмите &lt;b&gt;Верно&lt;/b&gt; или &lt;b&gt;Неверно&lt;/b&gt;."	"q3MA144_question_q3p1_5c9d2164d149f9.75927623_1_0"	"PISA_rus-EST_MAT_MA144-Yogurt_en21_MS2022.xlf"
"3721"	"Type your answer to the question."	"Напечатайте ваш ответ на вопрос."	"MA142_questionq2_q2itemDirections_5c9d2164b45da3.19087883_1_0"	"PISA_rus-EST_MAT_MA142-WaterReservoir_en21_MS2022.xlf"
"3981"	"Litres"	"Литры"	"MA146_stimulus3_liters_5c9d2164e9e439.48235083_0"	"PISA_rus-EST_MAT_MA146-Fuel_en21_MS2022.xlf"
"4948"	"Agriculture"	"Сельскохозяйственный"	"q3MA160_question_question03_5_5c9d21377f8502.68715278_0"	"PISA_rus-EST_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
